event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
001 日常（脚架）,10,10,10,10,1,2,1,BM 3-12X40,9.895,0.073,169314,16753
001 日常（脚架）,10,10,10,10,1,2,5,EOT 506,9.941,0.073,169314,16832
001 日常（脚架）,10,10,10,10,1,2,9,AMP COMPM2,10.123,0.073,169314,17140
001 日常（脚架）,10,10,10,10,1,2,13,PEQ-2,7.232,0.063,169314,12244
001 日常（脚架）,10,10,10,10,1,2,37,IOP T1外骨骼,1.611,0.031,169314,2728
001 日常（脚架）,10,10,10,10,1,2,55,IOP X1外骨骼,1.672,0.031,169314,2831
001 日常（脚架）,10,10,10,10,1,2,63,AC1消音器,7.011,0.062,169314,11871
001 日常（脚架）,10,10,10,10,1,2,87,破旧披风,4.619,0.051,169314,7820
001 日常（脚架）,10,10,10,10,1,3,2,LRA 2-12x50,4.327,0.049,169314,7327
001 日常（脚架）,10,10,10,10,1,3,6,EOT 512,4.288,0.049,169314,7261
001 日常（脚架）,10,10,10,10,1,3,10,AMP COMPM4,4.256,0.049,169314,7206
001 日常（脚架）,10,10,10,10,1,3,14,PEQ-5,2.752,0.040,169314,4659
001 日常（脚架）,10,10,10,10,1,3,38,IOP T2外骨骼,0.313,0.014,169314,530
001 日常（脚架）,10,10,10,10,1,3,42,Type1防弹插板,3.585,0.045,169314,6070
001 日常（脚架）,10,10,10,10,1,3,56,IOP X2外骨骼,0.306,0.013,169314,518
001 日常（脚架）,10,10,10,10,1,3,64,AC2消音器,1.740,0.032,169314,2946
001 日常（脚架）,10,10,10,10,1,3,88,伪装披风,1.918,0.033,169314,3247
001 日常（脚架）,10,10,10,10,1,3,222,RMR红点,6.046,0.058,169314,10237
001 日常（脚架）,10,10,10,10,1,3,232,试制运算芯片,8.397,0.067,169314,14217
001 日常（脚架）,10,10,10,10,1,4,3,PSO-1,1.032,0.025,169314,1747
001 日常（脚架）,10,10,10,10,1,4,7,EOT 516,1.019,0.024,169314,1726
001 日常（脚架）,10,10,10,10,1,4,11,COG M150,1.006,0.024,169314,1704
001 日常（脚架）,10,10,10,10,1,4,15,PEQ-15,0.794,0.022,169314,1344
001 日常（脚架）,10,10,10,10,1,4,39,IOP T3外骨骼,0.040,0.005,169314,68
001 日常（脚架）,10,10,10,10,1,4,43,Type2防弹插板,0.479,0.017,169314,811
001 日常（脚架）,10,10,10,10,1,4,57,IOP X3外骨骼,0.032,0.004,169314,55
001 日常（脚架）,10,10,10,10,1,4,65,AC3消音器,0.534,0.018,169314,904
001 日常（脚架）,10,10,10,10,1,4,89,城市迷彩披风,0.484,0.017,169314,819
001 日常（脚架）,10,10,10,10,1,4,223,RMR T2红点,1.912,0.033,169314,3238
001 日常（脚架）,10,10,10,10,1,4,233,#1运算芯片,1.568,0.030,169314,2655
001 日常（脚架）,10,10,10,10,1,5,4,VFL 6-24X56,0.112,0.008,169314,190
001 日常（脚架）,10,10,10,10,1,5,8,EOT 518,0.114,0.008,169314,193
001 日常（脚架）,10,10,10,10,1,5,12,ITI MARS,0.103,0.008,169314,175
001 日常（脚架）,10,10,10,10,1,5,16,PEQ-16A,0.049,0.005,169314,83
001 日常（脚架）,10,10,10,10,1,5,40,IOP T4外骨骼,0.003,0.001,169314,5
001 日常（脚架）,10,10,10,10,1,5,44,Type3防弹插板,0.044,0.005,169314,74
001 日常（脚架）,10,10,10,10,1,5,58,IOP X4外骨骼,0.001,0.001,169314,2
001 日常（脚架）,10,10,10,10,1,5,66,AC4消音器,0.072,0.007,169314,122
001 日常（脚架）,10,10,10,10,1,5,90,热光学迷彩披风,0.128,0.009,169314,216
001 日常（脚架）,10,10,10,10,1,5,224,RMR T4红点,0.178,0.010,169314,301
001 日常（脚架）,10,10,10,10,1,5,234,#2运算芯片,0.107,0.008,169314,182
001 日常（脚架）,10,10,10,10,1,5,305,SF武器灯改,0.039,0.005,169314,66
001 日常（脚架）,10,10,10,10,1,5,309,专注芯片,0.116,0.008,169314,197
001 日常（脚架）,10,10,10,300,1,2,13,PEQ-2,8.514,0.676,1703,145
001 日常（脚架）,10,10,10,300,1,2,37,IOP T1外骨骼,3.288,0.432,1703,56
001 日常（脚架）,10,10,10,300,1,2,55,IOP X1外骨骼,3.053,0.417,1703,52
001 日常（脚架）,10,10,10,300,1,2,63,AC1消音器,10.159,0.732,1703,173
001 日常（脚架）,10,10,10,300,1,2,87,破旧披风,6.224,0.585,1703,106
001 日常（脚架）,10,10,10,300,1,3,14,PEQ-5,4.756,0.516,1703,81
001 日常（脚架）,10,10,10,300,1,3,38,IOP T2外骨骼,1.116,0.254,1703,19
001 日常（脚架）,10,10,10,300,1,3,42,Type1防弹插板,10.041,0.728,1703,171
001 日常（脚架）,10,10,10,300,1,3,56,IOP X2外骨骼,1.644,0.308,1703,28
001 日常（脚架）,10,10,10,300,1,3,64,AC2消音器,3.230,0.428,1703,55
001 日常（脚架）,10,10,10,300,1,3,88,伪装披风,2.819,0.401,1703,48
001 日常（脚架）,10,10,10,300,1,3,222,RMR红点,13.095,0.817,1703,223
001 日常（脚架）,10,10,10,300,1,3,232,试制运算芯片,14.680,0.857,1703,250
001 日常（脚架）,10,10,10,300,1,4,15,PEQ-15,1.057,0.248,1703,18
001 日常（脚架）,10,10,10,300,1,4,39,IOP T3外骨骼,0.528,0.176,1703,9
