event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
005 圣建（23国庆）,10,10,10,10,1,2,1,BM 3-12X40,7.650,0.385,4771,365
005 圣建（23国庆）,10,10,10,10,1,2,5,EOT 506,6.770,0.364,4771,323
005 圣建（23国庆）,10,10,10,10,1,2,9,AMP COMPM2,6.875,0.366,4771,328
005 圣建（23国庆）,10,10,10,10,1,2,13,PEQ-2,5.953,0.343,4771,284
005 圣建（23国庆）,10,10,10,10,1,2,37,IOP T1外骨骼,2.159,0.210,4771,103
005 圣建（23国庆）,10,10,10,10,1,2,55,IOP X1外骨骼,1.719,0.188,4771,82
005 圣建（23国庆）,10,10,10,10,1,2,63,AC1消音器,5.554,0.332,4771,265
005 圣建（23国庆）,10,10,10,10,1,2,87,破旧披风,6.540,0.358,4771,312
005 圣建（23国庆）,10,10,10,10,1,3,2,LRA 2-12x50,4.800,0.309,4771,229
005 圣建（23国庆）,10,10,10,10,1,3,6,EOT 512,4.821,0.310,4771,230
005 圣建（23国庆）,10,10,10,10,1,3,10,AMP COMPM4,5.261,0.323,4771,251
005 圣建（23国庆）,10,10,10,10,1,3,14,PEQ-5,4.297,0.294,4771,205
005 圣建（23国庆）,10,10,10,10,1,3,38,IOP T2外骨骼,1.551,0.179,4771,74
005 圣建（23国庆）,10,10,10,10,1,3,42,Type1防弹插板,3.123,0.252,4771,149
005 圣建（23国庆）,10,10,10,10,1,3,56,IOP X2外骨骼,1.509,0.176,4771,72
005 圣建（23国庆）,10,10,10,10,1,3,64,AC2消音器,3.731,0.274,4771,178
005 圣建（23国庆）,10,10,10,10,1,3,88,伪装披风,4.192,0.290,4771,200
005 圣建（23国庆）,10,10,10,10,1,3,222,RMR红点,5.848,0.340,4771,279
005 圣建（23国庆）,10,10,10,10,1,3,232,试制运算芯片,3.961,0.282,4771,189
005 圣建（23国庆）,10,10,10,10,1,4,3,PSO-1,1.362,0.168,4771,65
005 圣建（23国庆）,10,10,10,10,1,4,7,EOT 516,1.279,0.163,4771,61
005 圣建（23国庆）,10,10,10,10,1,4,11,COG M150,1.383,0.169,4771,66
005 圣建（23国庆）,10,10,10,10,1,4,15,PEQ-15,1.132,0.153,4771,54
005 圣建（23国庆）,10,10,10,10,1,4,39,IOP T3外骨骼,0.377,0.089,4771,18
005 圣建（23国庆）,10,10,10,10,1,4,43,Type2防弹插板,0.817,0.130,4771,39
005 圣建（23国庆）,10,10,10,10,1,4,57,IOP X3外骨骼,0.377,0.089,4771,18
005 圣建（23国庆）,10,10,10,10,1,4,65,AC3消音器,0.985,0.143,4771,47
005 圣建（23国庆）,10,10,10,10,1,4,89,城市迷彩披风,1.237,0.160,4771,59
005 圣建（23国庆）,10,10,10,10,1,4,223,RMR T2红点,1.237,0.160,4771,59
005 圣建（23国庆）,10,10,10,10,1,4,233,#1运算芯片,0.964,0.141,4771,46
005 圣建（23国庆）,10,10,10,10,1,5,4,VFL 6-24X56,0.063,0.036,4771,3
005 圣建（23国庆）,10,10,10,10,1,5,8,EOT 518,0.356,0.086,4771,17
005 圣建（23国庆）,10,10,10,10,1,5,12,ITI MARS,0.252,0.073,4771,12
005 圣建（23国庆）,10,10,10,10,1,5,16,PEQ-16A,0.189,0.063,4771,9
005 圣建（23国庆）,10,10,10,10,1,5,40,IOP T4外骨骼,0.042,0.030,4771,2
005 圣建（23国庆）,10,10,10,10,1,5,44,Type3防弹插板,0.210,0.066,4771,10
005 圣建（23国庆）,10,10,10,10,1,5,58,IOP X4外骨骼,0.021,0.021,4771,1
005 圣建（23国庆）,10,10,10,10,1,5,66,AC4消音器,0.314,0.081,4771,15
005 圣建（23国庆）,10,10,10,10,1,5,90,热光学迷彩披风,0.293,0.078,4771,14
005 圣建（23国庆）,10,10,10,10,1,5,224,RMR T4红点,0.231,0.069,4771,11
005 圣建（23国庆）,10,10,10,10,1,5,234,#2运算芯片,0.147,0.055,4771,7
005 圣建（23国庆）,10,10,10,10,1,5,305,SF武器灯改,0.231,0.069,4771,11
005 圣建（23国庆）,10,10,10,10,1,5,309,专注芯片,0.189,0.063,4771,9
005 圣建（23国庆）,10,150,90,100,1,2,1,BM 3-12X40,0.409,0.113,3175,13
005 圣建（23国庆）,10,150,90,100,1,2,5,EOT 506,0.441,0.118,3175,14
005 圣建（23国庆）,10,150,90,100,1,2,9,AMP COMPM2,0.409,0.113,3175,13
005 圣建（23国庆）,10,150,90,100,1,2,13,PEQ-2,0.441,0.118,3175,14
005 圣建（23国庆）,10,150,90,100,1,2,17,M61穿甲弹,17.480,0.674,3175,555
005 圣建（23国庆）,10,150,90,100,1,2,29,FMJ高速弹,1.984,0.247,3175,63
005 圣建（23国庆）,10,150,90,100,1,2,37,IOP T1外骨骼,0.598,0.137,3175,19
005 圣建（23国庆）,10,150,90,100,1,2,55,IOP X1外骨骼,0.378,0.109,3175,12
005 圣建（23国庆）,10,150,90,100,1,2,63,AC1消音器,0.378,0.109,3175,12
005 圣建（23国庆）,10,150,90,100,1,2,69,ILM空尖弹,0.787,0.157,3175,25
005 圣建（23国庆）,10,150,90,100,1,2,73,#1猎鹿弹,1.197,0.193,3175,38
005 圣建（23国庆）,10,150,90,100,1,2,77,BK独头弹,1.984,0.247,3175,63
005 圣建（23国庆）,10,150,90,100,1,2,87,破旧披风,0.567,0.133,3175,18
005 圣建（23国庆）,10,150,90,100,1,3,2,LRA 2-12x50,0.220,0.083,3175,7
005 圣建（23国庆）,10,150,90,100,1,3,6,EOT 512,0.220,0.083,3175,7
005 圣建（23国庆）,10,150,90,100,1,3,10,AMP COMPM4,0.346,0.104,3175,11
005 圣建（23国庆）,10,150,90,100,1,3,14,PEQ-5,0.346,0.104,3175,11
005 圣建（23国庆）,10,150,90,100,1,3,18,M993穿甲弹,17.764,0.678,3175,564
005 圣建（23国庆）,10,150,90,100,1,3,30,JSP高速弹,1.795,0.236,3175,57
005 圣建（23国庆）,10,150,90,100,1,3,38,IOP T2外骨骼,0.535,0.129,3175,17
005 圣建（23国庆）,10,150,90,100,1,3,42,Type1防弹插板,1.354,0.205,3175,43
005 圣建（23国庆）,10,150,90,100,1,3,56,IOP X2外骨骼,0.472,0.122,3175,15
005 圣建（23国庆）,10,150,90,100,1,3,64,AC2消音器,0.693,0.147,3175,22
005 圣建（23国庆）,10,150,90,100,1,3,70,ILM空尖弹,0.535,0.129,3175,17
005 圣建（23国庆）,10,150,90,100,1,3,74,#0猎鹿弹,1.606,0.223,3175,51
005 圣建（23国庆）,10,150,90,100,1,3,78,FST独头弹,1.197,0.193,3175,38
005 圣建（23国庆）,10,150,90,100,1,3,88,伪装披风,0.472,0.122,3175,15
005 圣建（23国庆）,10,150,90,100,1,3,222,RMR红点,1.071,0.183,3175,34
005 圣建（23国庆）,10,150,90,100,1,3,232,试制运算芯片,0.724,0.150,3175,23
005 圣建（23国庆）,10,150,90,100,1,4,3,PSO-1,0.283,0.094,3175,9
005 圣建（23国庆）,10,150,90,100,1,4,7,EOT 516,0.031,0.031,3175,1
005 圣建（23国庆）,10,150,90,100,1,4,11,COG M150,0.252,0.089,3175,8
005 圣建（23国庆）,10,150,90,100,1,4,15,PEQ-15,0.189,0.077,3175,6
005 圣建（23国庆）,10,150,90,100,1,4,19,Mk169穿甲弹,14.268,0.621,3175,453
005 圣建（23国庆）,10,150,90,100,1,4,31,JHP高速弹,1.071,0.183,3175,34
005 圣建（23国庆）,10,150,90,100,1,4,39,IOP T3外骨骼,0.252,0.089,3175,8
005 圣建（23国庆）,10,150,90,100,1,4,43,Type2防弹插板,0.693,0.147,3175,22
