event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
006 圣建（24春节）,10,10,10,10,1,2,1,BM 3-12X40,7.756,0.389,4732,367
006 圣建（24春节）,10,10,10,10,1,2,5,EOT 506,7.185,0.375,4732,340
006 圣建（24春节）,10,10,10,10,1,2,9,AMP COMPM2,7.460,0.382,4732,353
006 圣建（24春节）,10,10,10,10,1,2,13,PEQ-2,5.664,0.336,4732,268
006 圣建（24春节）,10,10,10,10,1,2,37,IOP T1外骨骼,1.965,0.202,4732,93
006 圣建（24春节）,10,10,10,10,1,2,55,IOP X1外骨骼,2.008,0.204,4732,95
006 圣建（24春节）,10,10,10,10,1,2,63,AC1消音器,5.283,0.325,4732,250
006 圣建（24春节）,10,10,10,10,1,2,87,破旧披风,5.664,0.336,4732,268
006 圣建（24春节）,10,10,10,10,1,3,2,LRA 2-12x50,5.008,0.317,4732,237
006 圣建（24春节）,10,10,10,10,1,3,6,EOT 512,5.452,0.330,4732,258
006 圣建（24春节）,10,10,10,10,1,3,10,AMP COMPM4,4.755,0.309,4732,225
006 圣建（24春节）,10,10,10,10,1,3,14,PEQ-5,4.142,0.290,4732,196
006 圣建（24春节）,10,10,10,10,1,3,38,IOP T2外骨骼,1.627,0.184,4732,77
006 圣建（24春节）,10,10,10,10,1,3,42,Type1防弹插板,3.423,0.264,4732,162
006 圣建（24春节）,10,10,10,10,1,3,56,IOP X2外骨骼,1.564,0.180,4732,74
006 圣建（24春节）,10,10,10,10,1,3,64,AC2消音器,3.888,0.281,4732,184
006 圣建（24春节）,10,10,10,10,1,3,88,伪装披风,4.057,0.287,4732,192
006 圣建（24春节）,10,10,10,10,1,3,222,RMR红点,5.642,0.335,4732,267
006 圣建（24春节）,10,10,10,10,1,3,232,试制运算芯片,3.888,0.281,4732,184
006 圣建（24春节）,10,10,10,10,1,4,3,PSO-1,1.691,0.187,4732,80
006 圣建（24春节）,10,10,10,10,1,4,7,EOT 516,1.226,0.160,4732,58
006 圣建（24春节）,10,10,10,10,1,4,11,COG M150,1.289,0.164,4732,61
006 圣建（24春节）,10,10,10,10,1,4,15,PEQ-15,1.479,0.175,4732,70
006 圣建（24春节）,10,10,10,10,1,4,39,IOP T3外骨骼,0.402,0.092,4732,19
006 圣建（24春节）,10,10,10,10,1,4,43,Type2防弹插板,0.866,0.135,4732,41
006 圣建（24春节）,10,10,10,10,1,4,57,IOP X3外骨骼,0.423,0.094,4732,20
006 圣建（24春节）,10,10,10,10,1,4,65,AC3消音器,1.057,0.149,4732,50
006 圣建（24春节）,10,10,10,10,1,4,89,城市迷彩披风,1.099,0.152,4732,52
006 圣建（24春节）,10,10,10,10,1,4,223,RMR T2红点,1.226,0.160,4732,58
006 圣建（24春节）,10,10,10,10,1,4,233,#1运算芯片,0.951,0.141,4732,45
006 圣建（24春节）,10,10,10,10,1,5,4,VFL 6-24X56,0.106,0.047,4732,5
006 圣建（24春节）,10,10,10,10,1,5,8,EOT 518,0.190,0.063,4732,9
006 圣建（24春节）,10,10,10,10,1,5,12,ITI MARS,0.190,0.063,4732,9
006 圣建（24春节）,10,10,10,10,1,5,16,PEQ-16A,0.148,0.056,4732,7
006 圣建（24春节）,10,10,10,10,1,5,40,IOP T4外骨骼,0.021,0.021,4732,1
006 圣建（24春节）,10,10,10,10,1,5,44,Type3防弹插板,0.169,0.060,4732,8
006 圣建（24春节）,10,10,10,10,1,5,58,IOP X4外骨骼,0.063,0.037,4732,3
006 圣建（24春节）,10,10,10,10,1,5,66,AC4消音器,0.254,0.073,4732,12
006 圣建（24春节）,10,10,10,10,1,5,90,热光学迷彩披风,0.085,0.042,4732,4
006 圣建（24春节）,10,10,10,10,1,5,224,RMR T4红点,0.211,0.067,4732,10
006 圣建（24春节）,10,10,10,10,1,5,234,#2运算芯片,0.127,0.052,4732,6
006 圣建（24春节）,10,10,10,10,1,5,305,SF武器灯改,0.169,0.060,4732,8
006 圣建（24春节）,10,10,10,10,1,5,309,专注芯片,0.127,0.052,4732,6
006 圣建（24春节）,10,150,90,100,1,2,1,BM 3-12X40,0.289,0.118,2075,6
006 圣建（24春节）,10,150,90,100,1,2,5,EOT 506,0.578,0.166,2075,12
006 圣建（24春节）,10,150,90,100,1,2,9,AMP COMPM2,0.289,0.118,2075,6
006 圣建（24春节）,10,150,90,100,1,2,13,PEQ-2,0.434,0.144,2075,9
006 圣建（24春节）,10,150,90,100,1,2,17,M61穿甲弹,18.651,0.855,2075,387
006 圣建（24春节）,10,150,90,100,1,2,29,FMJ高速弹,2.313,0.330,2075,48
006 圣建（24春节）,10,150,90,100,1,2,37,IOP T1外骨骼,0.241,0.108,2075,5
006 圣建（24春节）,10,150,90,100,1,2,55,IOP X1外骨骼,0.530,0.159,2075,11
006 圣建（24春节）,10,150,90,100,1,2,63,AC1消音器,0.578,0.166,2075,12
006 圣建（24春节）,10,150,90,100,1,2,69,ILM空尖弹,0.819,0.198,2075,17
006 圣建（24春节）,10,150,90,100,1,2,73,#1猎鹿弹,1.301,0.249,2075,27
006 圣建（24春节）,10,150,90,100,1,2,77,BK独头弹,1.301,0.249,2075,27
006 圣建（24春节）,10,150,90,100,1,2,87,破旧披风,0.482,0.152,2075,10
006 圣建（24春节）,10,150,90,100,1,3,2,LRA 2-12x50,0.434,0.144,2075,9
006 圣建（24春节）,10,150,90,100,1,3,6,EOT 512,0.241,0.108,2075,5
006 圣建（24春节）,10,150,90,100,1,3,10,AMP COMPM4,0.434,0.144,2075,9
006 圣建（24春节）,10,150,90,100,1,3,14,PEQ-5,0.434,0.144,2075,9
006 圣建（24春节）,10,150,90,100,1,3,18,M993穿甲弹,17.880,0.841,2075,371
006 圣建（24春节）,10,150,90,100,1,3,30,JSP高速弹,1.398,0.258,2075,29
006 圣建（24春节）,10,150,90,100,1,3,38,IOP T2外骨骼,0.337,0.127,2075,7
006 圣建（24春节）,10,150,90,100,1,3,42,Type1防弹插板,1.108,0.230,2075,23
006 圣建（24春节）,10,150,90,100,1,3,56,IOP X2外骨骼,0.386,0.136,2075,8
006 圣建（24春节）,10,150,90,100,1,3,64,AC2消音器,0.434,0.144,2075,9
006 圣建（24春节）,10,150,90,100,1,3,70,ILM空尖弹,1.060,0.225,2075,22
006 圣建（24春节）,10,150,90,100,1,3,74,#0猎鹿弹,1.060,0.225,2075,22
