event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
006 日常（周年后修复）,10,10,10,10,1,2,1,BM 3-12X40,7.326,0.048,296567,21726
006 日常（周年后修复）,10,10,10,10,1,2,5,EOT 506,7.301,0.048,296567,21651
006 日常（周年后修复）,10,10,10,10,1,2,9,AMP COMPM2,7.272,0.048,296567,21566
006 日常（周年后修复）,10,10,10,10,1,2,13,PEQ-2,6.212,0.044,296567,18422
006 日常（周年后修复）,10,10,10,10,1,2,17,M61穿甲弹,0.002,0.001,296567,6
006 日常（周年后修复）,10,10,10,10,1,2,29,FMJ高速弹,0.004,0.001,296567,13
006 日常（周年后修复）,10,10,10,10,1,2,37,IOP T1外骨骼,2.175,0.027,296567,6449
006 日常（周年后修复）,10,10,10,10,1,2,55,IOP X1外骨骼,2.150,0.027,296567,6377
006 日常（周年后修复）,10,10,10,10,1,2,63,AC1消音器,5.637,0.042,296567,16716
006 日常（周年后修复）,10,10,10,10,1,2,69,ILM空尖弹,0.004,0.001,296567,13
006 日常（周年后修复）,10,10,10,10,1,2,73,#1猎鹿弹,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,10,1,2,87,破旧披风,6.615,0.046,296567,19617
006 日常（周年后修复）,10,10,10,10,1,3,2,LRA 2-12x50,5.296,0.041,296567,15706
006 日常（周年后修复）,10,10,10,10,1,3,6,EOT 512,5.268,0.041,296567,15622
006 日常（周年后修复）,10,10,10,10,1,3,10,AMP COMPM4,5.296,0.041,296567,15707
006 日常（周年后修复）,10,10,10,10,1,3,14,PEQ-5,4.524,0.038,296567,13418
006 日常（周年后修复）,10,10,10,10,1,3,18,M993穿甲弹,0.001,0.000,296567,2
006 日常（周年后修复）,10,10,10,10,1,3,30,JSP高速弹,0.003,0.001,296567,9
006 日常（周年后修复）,10,10,10,10,1,3,38,IOP T2外骨骼,1.540,0.023,296567,4567
006 日常（周年后修复）,10,10,10,10,1,3,42,Type1防弹插板,3.413,0.033,296567,10122
006 日常（周年后修复）,10,10,10,10,1,3,56,IOP X2外骨骼,1.510,0.022,296567,4479
006 日常（周年后修复）,10,10,10,10,1,3,64,AC2消音器,3.990,0.036,296567,11832
006 日常（周年后修复）,10,10,10,10,1,3,70,ILM空尖弹,0.002,0.001,296567,7
006 日常（周年后修复）,10,10,10,10,1,3,74,#0猎鹿弹,0.001,0.000,296567,2
006 日常（周年后修复）,10,10,10,10,1,3,78,FST独头弹,0.001,0.001,296567,4
006 日常（周年后修复）,10,10,10,10,1,3,88,伪装披风,4.691,0.039,296567,13913
006 日常（周年后修复）,10,10,10,10,1,3,222,RMR红点,5.677,0.042,296567,16836
006 日常（周年后修复）,10,10,10,10,1,3,232,试制运算芯片,4.060,0.036,296567,12041
006 日常（周年后修复）,10,10,10,10,1,3,306,Mk3喉缩管,0.002,0.001,296567,7
006 日常（周年后修复）,10,10,10,10,1,3,312,HD50脚架,0.001,0.001,296567,3
006 日常（周年后修复）,10,10,10,10,1,4,3,PSO-1,0.977,0.018,296567,2897
006 日常（周年后修复）,10,10,10,10,1,4,7,EOT 516,0.953,0.018,296567,2826
006 日常（周年后修复）,10,10,10,10,1,4,11,COG M150,0.955,0.018,296567,2833
006 日常（周年后修复）,10,10,10,10,1,4,15,PEQ-15,0.795,0.016,296567,2358
006 日常（周年后修复）,10,10,10,10,1,4,31,JHP高速弹,0.001,0.000,296567,2
006 日常（周年后修复）,10,10,10,10,1,4,39,IOP T3外骨骼,0.270,0.010,296567,801
006 日常（周年后修复）,10,10,10,10,1,4,43,Type2防弹插板,0.617,0.014,296567,1829
006 日常（周年后修复）,10,10,10,10,1,4,57,IOP X3外骨骼,0.282,0.010,296567,837
006 日常（周年后修复）,10,10,10,10,1,4,65,AC3消音器,0.726,0.016,296567,2154
006 日常（周年后修复）,10,10,10,10,1,4,71,ILM空尖弹,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,10,1,4,75,#00猎鹿弹,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,10,1,4,89,城市迷彩披风,0.839,0.017,296567,2488
006 日常（周年后修复）,10,10,10,10,1,4,223,RMR T2红点,1.020,0.018,296567,3024
006 日常（周年后修复）,10,10,10,10,1,4,226,M33狙击弹,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,10,1,4,233,#1运算芯片,0.705,0.015,296567,2092
006 日常（周年后修复）,10,10,10,10,1,5,4,VFL 6-24X56,0.153,0.007,296567,453
006 日常（周年后修复）,10,10,10,10,1,5,8,EOT 518,0.175,0.008,296567,519
006 日常（周年后修复）,10,10,10,10,1,5,12,ITI MARS,0.168,0.008,296567,497
006 日常（周年后修复）,10,10,10,10,1,5,16,PEQ-16A,0.128,0.007,296567,379
006 日常（周年后修复）,10,10,10,10,1,5,20,Mk211高爆穿甲弹,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,10,1,5,40,IOP T4外骨骼,0.052,0.004,296567,155
006 日常（周年后修复）,10,10,10,10,1,5,44,Type3防弹插板,0.110,0.006,296567,325
006 日常（周年后修复）,10,10,10,10,1,5,58,IOP X4外骨骼,0.047,0.004,296567,138
006 日常（周年后修复）,10,10,10,10,1,5,66,AC4消音器,0.232,0.009,296567,688
006 日常（周年后修复）,10,10,10,10,1,5,68,IOP极限弹链箱,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,10,1,5,90,热光学迷彩披风,0.187,0.008,296567,555
006 日常（周年后修复）,10,10,10,10,1,5,224,RMR T4红点,0.191,0.008,296567,566
006 日常（周年后修复）,10,10,10,10,1,5,234,#2运算芯片,0.148,0.007,296567,438
006 日常（周年后修复）,10,10,10,10,1,5,305,SF武器灯改,0.141,0.007,296567,419
006 日常（周年后修复）,10,10,10,10,1,5,309,专注芯片,0.153,0.007,296567,453
006 日常（周年后修复）,10,10,10,10,1,5,311,M200X LRF,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,10,1,5,314,HD100脚架,0.000,0.000,296567,1
006 日常（周年后修复）,10,10,10,300,1,2,1,BM 3-12X40,3.530,0.356,2691,95
006 日常（周年后修复）,10,10,10,300,1,2,5,EOT 506,3.233,0.341,2691,87
006 日常（周年后修复）,10,10,10,300,1,2,9,AMP COMPM2,3.419,0.350,2691,92
006 日常（周年后修复）,10,10,10,300,1,2,13,PEQ-2,4.274,0.390,2691,115
006 日常（周年后修复）,10,10,10,300,1,2,37,IOP T1外骨骼,2.638,0.309,2691,71
006 日常（周年后修复）,10,10,10,300,1,2,55,IOP X1外骨骼,2.490,0.300,2691,67
006 日常（周年后修复）,10,10,10,300,1,2,63,AC1消音器,4.980,0.419,2691,134
006 日常（周年后修复）,10,10,10,300,1,2,87,破旧披风,6.169,0.464,2691,166
006 日常（周年后修复）,10,10,10,300,1,3,2,LRA 2-12x50,1.895,0.263,2691,51
006 日常（周年后修复）,10,10,10,300,1,3,6,EOT 512,1.932,0.265,2691,52
006 日常（周年后修复）,10,10,10,300,1,3,10,AMP COMPM4,2.341,0.291,2691,63
006 日常（周年后修复）,10,10,10,300,1,3,14,PEQ-5,1.672,0.247,2691,45
006 日常（周年后修复）,10,10,10,300,1,3,38,IOP T2外骨骼,1.598,0.242,2691,43
006 日常（周年后修复）,10,10,10,300,1,3,42,Type1防弹插板,4.088,0.382,2691,110
006 日常（周年后修复）,10,10,10,300,1,3,56,IOP X2外骨骼,1.301,0.218,2691,35
006 日常（周年后修复）,10,10,10,300,1,3,64,AC2消音器,2.936,0.325,2691,79
006 日常（周年后修复）,10,10,10,300,1,3,88,伪装披风,2.861,0.321,2691,77
006 日常（周年后修复）,10,10,10,300,1,3,222,RMR红点,5.054,0.422,2691,136
006 日常（周年后修复）,10,10,10,300,1,3,232,试制运算芯片,3.196,0.339,2691,86
006 日常（周年后修复）,10,10,10,300,1,4,3,PSO-1,2.044,0.273,2691,55
006 日常（周年后修复）,10,10,10,300,1,4,7,EOT 516,1.858,0.260,2691,50
006 日常（周年后修复）,10,10,10,300,1,4,11,COG M150,1.747,0.252,2691,47
006 日常（周年后修复）,10,10,10,300,1,4,15,PEQ-15,1.747,0.252,2691,47
006 日常（周年后修复）,10,10,10,300,1,4,39,IOP T3外骨骼,1.598,0.242,2691,43
006 日常（周年后修复）,10,10,10,300,1,4,43,Type2防弹插板,2.973,0.327,2691,80
006 日常（周年后修复）,10,10,10,300,1,4,57,IOP X3外骨骼,1.486,0.233,2691,40
006 日常（周年后修复）,10,10,10,300,1,4,65,AC3消音器,2.267,0.287,2691,61
006 日常（周年后修复）,10,10,10,300,1,4,67,IOP大容量弹链箱,5.314,0.432,2691,143
006 日常（周年后修复）,10,10,10,300,1,4,79,WAD独头弹,0.037,0.037,2691,1
006 日常（周年后修复）,10,10,10,300,1,4,89,城市迷彩披风,3.493,0.354,2691,94
006 日常（周年后修复）,10,10,10,300,1,4,223,RMR T2红点,5.314,0.432,2691,143
006 日常（周年后修复）,10,10,10,300,1,4,233,#1运算芯片,2.378,0.294,2691,64
006 日常（周年后修复）,10,10,10,300,1,5,4,VFL 6-24X56,0.223,0.091,2691,6
006 日常（周年后修复）,10,10,10,300,1,5,8,EOT 518,0.446,0.128,2691,12
006 日常（周年后修复）,10,10,10,300,1,5,12,ITI MARS,0.409,0.123,2691,11
006 日常（周年后修复）,10,10,10,300,1,5,16,PEQ-16A,0.409,0.123,2691,11
006 日常（周年后修复）,10,10,10,300,1,5,40,IOP T4外骨骼,0.446,0.128,2691,12
006 日常（周年后修复）,10,10,10,300,1,5,44,Type3防弹插板,0.818,0.174,2691,22
006 日常（周年后修复）,10,10,10,300,1,5,58,IOP X4外骨骼,0.409,0.123,2691,11
006 日常（周年后修复）,10,10,10,300,1,5,66,AC4消音器,0.892,0.181,2691,24
006 日常（周年后修复）,10,10,10,300,1,5,68,IOP极限弹链箱,0.929,0.185,2691,25
006 日常（周年后修复）,10,10,10,300,1,5,90,热光学迷彩披风,0.595,0.148,2691,16
006 日常（周年后修复）,10,10,10,300,1,5,224,RMR T4红点,0.818,0.174,2691,22
006 日常（周年后修复）,10,10,10,300,1,5,234,#2运算芯片,0.743,0.166,2691,20
006 日常（周年后修复）,10,10,10,300,1,5,305,SF武器灯改,0.483,0.134,2691,13
006 日常（周年后修复）,10,10,10,300,1,5,309,专注芯片,0.520,0.139,2691,14
006 日常（周年后修复）,10,150,90,100,0,2,17,M61穿甲弹,36.620,0.267,32638,11952
006 日常（周年后修复）,10,150,90,100,0,3,18,M993穿甲弹,36.323,0.266,32638,11855
006 日常（周年后修复）,10,150,90,100,0,4,19,Mk169穿甲弹,11.137,0.174,32638,3635
006 日常（周年后修复）,10,150,90,100,0,4,226,M33狙击弹,10.776,0.172,32638,3517
006 日常（周年后修复）,10,150,90,100,0,5,20,Mk211高爆穿甲弹,2.564,0.087,32638,837
006 日常（周年后修复）,10,150,90,100,0,5,227,M1022狙击弹,2.580,0.088,32638,842
006 日常（周年后修复）,10,150,90,100,1,2,1,BM 3-12X40,0.331,0.035,26905,89
006 日常（周年后修复）,10,150,90,100,1,2,5,EOT 506,0.264,0.031,26905,71
006 日常（周年后修复）,10,150,90,100,1,2,9,AMP COMPM2,0.357,0.036,26905,96
006 日常（周年后修复）,10,150,90,100,1,2,13,PEQ-2,0.379,0.037,26905,102
006 日常（周年后修复）,10,150,90,100,1,2,17,M61穿甲弹,28.567,0.275,26905,7686
006 日常（周年后修复）,10,150,90,100,1,2,29,FMJ高速弹,1.669,0.078,26905,449
006 日常（周年后修复）,10,150,90,100,1,2,37,IOP T1外骨骼,0.409,0.039,26905,110
006 日常（周年后修复）,10,150,90,100,1,2,55,IOP X1外骨骼,0.368,0.037,26905,99
006 日常（周年后修复）,10,150,90,100,1,2,63,AC1消音器,0.446,0.041,26905,120
006 日常（周年后修复）,10,150,90,100,1,2,69,ILM空尖弹,0.580,0.046,26905,156
006 日常（周年后修复）,10,150,90,100,1,2,73,#1猎鹿弹,1.115,0.064,26905,300
006 日常（周年后修复）,10,150,90,100,1,2,77,BK独头弹,1.044,0.062,26905,281
006 日常（周年后修复）,10,150,90,100,1,2,87,破旧披风,0.387,0.038,26905,104
