event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
007 圣建（24周年）,10,10,10,10,1,2,1,BM 3-12X40,7.070,0.419,3748,265
007 圣建（24周年）,10,10,10,10,1,2,5,EOT 506,6.937,0.415,3748,260
007 圣建（24周年）,10,10,10,10,1,2,9,AMP COMPM2,7.444,0.429,3748,279
007 圣建（24周年）,10,10,10,10,1,2,13,PEQ-2,5.950,0.386,3748,223
007 圣建（24周年）,10,10,10,10,1,2,37,IOP T1外骨骼,2.161,0.237,3748,81
007 圣建（24周年）,10,10,10,10,1,2,55,IOP X1外骨骼,2.028,0.230,3748,76
007 圣建（24周年）,10,10,10,10,1,2,63,AC1消音器,5.390,0.369,3748,202
007 圣建（24周年）,10,10,10,10,1,2,87,破旧披风,6.697,0.408,3748,251
007 圣建（24周年）,10,10,10,10,1,3,2,LRA 2-12x50,5.229,0.364,3748,196
007 圣建（24周年）,10,10,10,10,1,3,6,EOT 512,5.096,0.359,3748,191
007 圣建（24周年）,10,10,10,10,1,3,10,AMP COMPM4,5.603,0.376,3748,210
007 圣建（24周年）,10,10,10,10,1,3,14,PEQ-5,4.055,0.322,3748,152
007 圣建（24周年）,10,10,10,10,1,3,38,IOP T2外骨骼,1.681,0.210,3748,63
007 圣建（24周年）,10,10,10,10,1,3,42,Type1防弹插板,3.549,0.302,3748,133
007 圣建（24周年）,10,10,10,10,1,3,56,IOP X2外骨骼,1.201,0.178,3748,45
007 圣建（24周年）,10,10,10,10,1,3,64,AC2消音器,3.682,0.308,3748,138
007 圣建（24周年）,10,10,10,10,1,3,88,伪装披风,4.776,0.348,3748,179
007 圣建（24周年）,10,10,10,10,1,3,222,RMR红点,4.803,0.349,3748,180
007 圣建（24周年）,10,10,10,10,1,3,232,试制运算芯片,3.815,0.313,3748,143
007 圣建（24周年）,10,10,10,10,1,4,3,PSO-1,1.201,0.178,3748,45
007 圣建（24周年）,10,10,10,10,1,4,7,EOT 516,1.521,0.200,3748,57
007 圣建（24周年）,10,10,10,10,1,4,11,COG M150,1.041,0.166,3748,39
007 圣建（24周年）,10,10,10,10,1,4,15,PEQ-15,0.934,0.157,3748,35
007 圣建（24周年）,10,10,10,10,1,4,39,IOP T3外骨骼,0.507,0.116,3748,19
007 圣建（24周年）,10,10,10,10,1,4,43,Type2防弹插板,0.720,0.138,3748,27
007 圣建（24周年）,10,10,10,10,1,4,57,IOP X3外骨骼,0.374,0.100,3748,14
007 圣建（24周年）,10,10,10,10,1,4,65,AC3消音器,0.774,0.143,3748,29
007 圣建（24周年）,10,10,10,10,1,4,89,城市迷彩披风,0.827,0.148,3748,31
007 圣建（24周年）,10,10,10,10,1,4,223,RMR T2红点,1.307,0.186,3748,49
007 圣建（24周年）,10,10,10,10,1,4,233,#1运算芯片,1.227,0.180,3748,46
007 圣建（24周年）,10,10,10,10,1,5,4,VFL 6-24X56,0.160,0.065,3748,6
007 圣建（24周年）,10,10,10,10,1,5,8,EOT 518,0.240,0.080,3748,9
007 圣建（24周年）,10,10,10,10,1,5,12,ITI MARS,0.107,0.053,3748,4
007 圣建（24周年）,10,10,10,10,1,5,16,PEQ-16A,0.320,0.092,3748,12
007 圣建（24周年）,10,10,10,10,1,5,40,IOP T4外骨骼,0.027,0.027,3748,1
007 圣建（24周年）,10,10,10,10,1,5,44,Type3防弹插板,0.133,0.060,3748,5
007 圣建（24周年）,10,10,10,10,1,5,58,IOP X4外骨骼,0.027,0.027,3748,1
007 圣建（24周年）,10,10,10,10,1,5,66,AC4消音器,0.347,0.096,3748,13
007 圣建（24周年）,10,10,10,10,1,5,90,热光学迷彩披风,0.240,0.080,3748,9
007 圣建（24周年）,10,10,10,10,1,5,224,RMR T4红点,0.374,0.100,3748,14
007 圣建（24周年）,10,10,10,10,1,5,234,#2运算芯片,0.213,0.075,3748,8
007 圣建（24周年）,10,10,10,10,1,5,305,SF武器灯改,0.107,0.053,3748,4
007 圣建（24周年）,10,10,10,10,1,5,309,专注芯片,0.107,0.053,3748,4
007 圣建（24周年）,10,150,90,100,1,2,1,BM 3-12X40,0.244,0.141,1230,3
007 圣建（24周年）,10,150,90,100,1,2,5,EOT 506,0.081,0.081,1230,1
007 圣建（24周年）,10,150,90,100,1,2,9,AMP COMPM2,0.163,0.115,1230,2
007 圣建（24周年）,10,150,90,100,1,2,13,PEQ-2,0.407,0.181,1230,5
007 圣建（24周年）,10,150,90,100,1,2,17,M61穿甲弹,17.398,1.080,1230,214
007 圣建（24周年）,10,150,90,100,1,2,29,FMJ高速弹,1.545,0.351,1230,19
007 圣建（24周年）,10,150,90,100,1,2,37,IOP T1外骨骼,0.244,0.141,1230,3
007 圣建（24周年）,10,150,90,100,1,2,55,IOP X1外骨骼,0.407,0.181,1230,5
007 圣建（24周年）,10,150,90,100,1,2,63,AC1消音器,0.488,0.199,1230,6
007 圣建（24周年）,10,150,90,100,1,2,69,ILM空尖弹,0.976,0.280,1230,12
007 圣建（24周年）,10,150,90,100,1,2,73,#1猎鹿弹,1.138,0.302,1230,14
007 圣建（24周年）,10,150,90,100,1,2,77,BK独头弹,1.057,0.291,1230,13
007 圣建（24周年）,10,150,90,100,1,2,87,破旧披风,0.650,0.229,1230,8
007 圣建（24周年）,10,150,90,100,1,3,2,LRA 2-12x50,0.894,0.268,1230,11
007 圣建（24周年）,10,150,90,100,1,3,6,EOT 512,0.325,0.162,1230,4
007 圣建（24周年）,10,150,90,100,1,3,10,AMP COMPM4,0.488,0.199,1230,6
007 圣建（24周年）,10,150,90,100,1,3,14,PEQ-5,0.325,0.162,1230,4
007 圣建（24周年）,10,150,90,100,1,3,18,M993穿甲弹,18.211,1.100,1230,224
007 圣建（24周年）,10,150,90,100,1,3,30,JSP高速弹,1.951,0.394,1230,24
007 圣建（24周年）,10,150,90,100,1,3,38,IOP T2外骨骼,0.650,0.229,1230,8
007 圣建（24周年）,10,150,90,100,1,3,42,Type1防弹插板,1.220,0.313,1230,15
