event,mp,ammo,mre,part,input_level,type,fairy_id,name,mean%,stdev%,fairy_total,fairy_count
000 开始记录,500,500,500,500,1,属性类,1,勇士妖精,7.668,0.043,377693,28960
000 开始记录,500,500,500,500,1,属性类,2,暴怒妖精,7.846,0.044,377693,29633
000 开始记录,500,500,500,500,1,防御类,3,盾甲妖精,7.331,0.042,377693,27687
000 开始记录,500,500,500,500,1,防御类,4,护盾妖精,7.661,0.043,377693,28934
000 开始记录,500,500,500,500,1,防御类,6,嘲讽妖精,7.412,0.043,377693,27996
000 开始记录,500,500,500,500,1,狂暴类,7,狙击妖精,7.710,0.043,377693,29119
000 开始记录,500,500,500,500,1,狂暴类,8,炮击妖精,7.527,0.043,377693,28429
000 开始记录,500,500,500,500,1,狂暴类,9,空袭妖精,7.742,0.043,377693,29242
000 开始记录,500,500,500,500,1,增益类,15,指挥妖精,7.572,0.043,377693,28599
000 开始记录,500,500,500,500,1,增益类,16,搜救妖精,7.649,0.043,377693,28889
000 开始记录,500,500,500,500,1,增益类,17,照明妖精,7.798,0.044,377693,29451
000 开始记录,500,500,500,500,1,防御类,24,立盾妖精,8.596,0.046,377693,32468
000 开始记录,500,500,500,500,1,防御类,25,双生妖精,7.489,0.043,377693,28286
000 开始记录,500,1000,750,500,1,属性类,1,勇士妖精,7.464,0.283,8628,644
000 开始记录,500,1000,750,500,1,属性类,2,暴怒妖精,8.774,0.305,8628,757
000 开始记录,500,1000,750,500,1,防御类,3,盾甲妖精,5.575,0.247,8628,481
000 开始记录,500,1000,750,500,1,防御类,4,护盾妖精,5.760,0.251,8628,497
000 开始记录,500,1000,750,500,1,防御类,6,嘲讽妖精,5.726,0.250,8628,494
000 开始记录,500,1000,750,500,1,狂暴类,7,狙击妖精,12.251,0.353,8628,1057
000 开始记录,500,1000,750,500,1,狂暴类,8,炮击妖精,12.575,0.357,8628,1085
000 开始记录,500,1000,750,500,1,狂暴类,9,空袭妖精,11.625,0.345,8628,1003
000 开始记录,500,1000,750,500,1,增益类,15,指挥妖精,5.795,0.252,8628,500
000 开始记录,500,1000,750,500,1,增益类,16,搜救妖精,6.236,0.260,8628,538
000 开始记录,500,1000,750,500,1,增益类,17,照明妖精,5.586,0.247,8628,482
000 开始记录,500,1000,750,500,1,防御类,24,立盾妖精,6.919,0.273,8628,597
000 开始记录,500,1000,750,500,1,防御类,25,双生妖精,5.714,0.250,8628,493
000 开始记录,500,2000,3000,1500,1,属性类,1,勇士妖精,4.806,0.108,39530,1900
000 开始记录,500,2000,3000,1500,1,属性类,2,暴怒妖精,4.913,0.109,39530,1942
000 开始记录,500,2000,3000,1500,1,防御类,3,盾甲妖精,4.394,0.103,39530,1737
000 开始记录,500,2000,3000,1500,1,防御类,4,护盾妖精,4.647,0.106,39530,1837
000 开始记录,500,2000,3000,1500,1,防御类,6,嘲讽妖精,4.614,0.106,39530,1824
000 开始记录,500,2000,3000,1500,1,狂暴类,7,狙击妖精,5.350,0.113,39530,2115
000 开始记录,500,2000,3000,1500,1,狂暴类,8,炮击妖精,5.335,0.113,39530,2109
000 开始记录,500,2000,3000,1500,1,狂暴类,9,空袭妖精,5.477,0.114,39530,2165
000 开始记录,500,2000,3000,1500,1,战役类,12,布雷妖精,9.633,0.148,39530,3808
000 开始记录,500,2000,3000,1500,1,战役类,13,火箭妖精,9.330,0.146,39530,3688
000 开始记录,500,2000,3000,1500,1,战役类,14,工事妖精,9.421,0.147,39530,3724
000 开始记录,500,2000,3000,1500,1,增益类,15,指挥妖精,5.140,0.111,39530,2032
000 开始记录,500,2000,3000,1500,1,增益类,16,搜救妖精,4.933,0.109,39530,1950
000 开始记录,500,2000,3000,1500,1,增益类,17,照明妖精,4.928,0.109,39530,1948
000 开始记录,500,2000,3000,1500,1,战役类,23,连击妖精,8.358,0.139,39530,3304
000 开始记录,500,2000,3000,1500,1,防御类,24,立盾妖精,4.288,0.102,39530,1695
000 开始记录,500,2000,3000,1500,1,防御类,25,双生妖精,4.432,0.104,39530,1752
000 开始记录,500,2000,3000,1500,2,属性类,1,勇士妖精,3.129,0.298,3420,107
000 开始记录,500,2000,3000,1500,2,属性类,2,暴怒妖精,3.275,0.304,3420,112
000 开始记录,500,2000,3000,1500,2,防御类,3,盾甲妖精,3.304,0.306,3420,113
000 开始记录,500,2000,3000,1500,2,防御类,4,护盾妖精,3.684,0.322,3420,126
000 开始记录,500,2000,3000,1500,2,防御类,6,嘲讽妖精,3.158,0.299,3420,108
000 开始记录,500,2000,3000,1500,2,狂暴类,7,狙击妖精,3.830,0.328,3420,131
000 开始记录,500,2000,3000,1500,2,狂暴类,8,炮击妖精,4.386,0.350,3420,150
000 开始记录,500,2000,3000,1500,2,狂暴类,9,空袭妖精,3.918,0.332,3420,134
000 开始记录,500,2000,3000,1500,2,战役类,12,布雷妖精,13.713,0.588,3420,469
000 开始记录,500,2000,3000,1500,2,战役类,13,火箭妖精,14.006,0.593,3420,479
000 开始记录,500,2000,3000,1500,2,战役类,14,工事妖精,14.415,0.601,3420,493
000 开始记录,500,2000,3000,1500,2,增益类,15,指挥妖精,3.830,0.328,3420,131
000 开始记录,500,2000,3000,1500,2,增益类,16,搜救妖精,3.772,0.326,3420,129
000 开始记录,500,2000,3000,1500,2,增益类,17,照明妖精,4.561,0.357,3420,156
000 开始记录,500,2000,3000,1500,2,战役类,23,连击妖精,10.760,0.530,3420,368
000 开始记录,500,2000,3000,1500,2,防御类,24,立盾妖精,3.187,0.300,3420,109
000 开始记录,500,2000,3000,1500,2,防御类,25,双生妖精,3.070,0.295,3420,105
000 开始记录,500,2000,3000,1500,3,属性类,1,勇士妖精,1.690,0.317,1657,28
000 开始记录,500,2000,3000,1500,3,属性类,2,暴怒妖精,1.569,0.305,1657,26
000 开始记录,500,2000,3000,1500,3,防御类,3,盾甲妖精,1.509,0.299,1657,25
000 开始记录,500,2000,3000,1500,3,防御类,4,护盾妖精,1.147,0.261,1657,19
000 开始记录,500,2000,3000,1500,3,防御类,6,嘲讽妖精,1.328,0.281,1657,22
000 开始记录,500,2000,3000,1500,3,狂暴类,7,狙击妖精,1.992,0.343,1657,33
000 开始记录,500,2000,3000,1500,3,狂暴类,8,炮击妖精,1.629,0.311,1657,27
000 开始记录,500,2000,3000,1500,3,狂暴类,9,空袭妖精,1.448,0.293,1657,24
000 开始记录,500,2000,3000,1500,3,战役类,12,布雷妖精,19.493,0.973,1657,323
000 开始记录,500,2000,3000,1500,3,战役类,13,火箭妖精,22.752,1.030,1657,377
000 开始记录,500,2000,3000,1500,3,战役类,14,工事妖精,18.890,0.961,1657,313
000 开始记录,500,2000,3000,1500,3,增益类,15,指挥妖精,1.750,0.322,1657,29
000 开始记录,500,2000,3000,1500,3,增益类,16,搜救妖精,1.207,0.268,1657,20
000 开始记录,500,2000,3000,1500,3,增益类,17,照明妖精,1.388,0.287,1657,23
000 开始记录,500,2000,3000,1500,3,战役类,23,连击妖精,19.071,0.965,1657,316
000 开始记录,500,2000,3000,1500,3,防御类,24,立盾妖精,1.690,0.317,1657,28
000 开始记录,500,2000,3000,1500,3,防御类,25,双生妖精,1.448,0.293,1657,24
000 开始记录,750,500,1000,500,1,属性类,1,勇士妖精,5.402,0.312,5257,284
000 开始记录,750,500,1000,500,1,属性类,2,暴怒妖精,6.620,0.343,5257,348
000 开始记录,750,500,1000,500,1,防御类,3,盾甲妖精,5.840,0.323,5257,307
000 开始记录,750,500,1000,500,1,防御类,4,护盾妖精,6.334,0.336,5257,333
000 开始记录,750,500,1000,500,1,防御类,6,嘲讽妖精,6.411,0.338,5257,337
000 开始记录,750,500,1000,500,1,狂暴类,7,狙击妖精,6.068,0.329,5257,319
000 开始记录,750,500,1000,500,1,狂暴类,8,炮击妖精,6.030,0.328,5257,317
000 开始记录,750,500,1000,500,1,狂暴类,9,空袭妖精,6.030,0.328,5257,317
000 开始记录,750,500,1000,500,1,增益类,15,指挥妖精,13.239,0.467,5257,696
000 开始记录,750,500,1000,500,1,增益类,16,搜救妖精,11.585,0.441,5257,609
000 开始记录,750,500,1000,500,1,增益类,17,照明妖精,13.981,0.478,5257,735
000 开始记录,750,500,1000,500,1,防御类,24,立盾妖精,5.935,0.326,5257,312
000 开始记录,750,500,1000,500,1,防御类,25,双生妖精,6.525,0.341,5257,343
000 开始记录,750,1000,500,500,1,属性类,1,勇士妖精,11.306,0.447,5024,568
000 开始记录,750,1000,500,500,1,属性类,2,暴怒妖精,11.684,0.453,5024,587
000 开始记录,750,1000,500,500,1,防御类,3,盾甲妖精,6.330,0.343,5024,318
000 开始记录,750,1000,500,500,1,防御类,4,护盾妖精,8.539,0.394,5024,429
000 开始记录,750,1000,500,500,1,防御类,6,嘲讽妖精,6.648,0.351,5024,334
000 开始记录,750,1000,500,500,1,狂暴类,7,狙击妖精,7.205,0.365,5024,362
000 开始记录,750,1000,500,500,1,狂暴类,8,炮击妖精,9.057,0.405,5024,455
000 开始记录,750,1000,500,500,1,狂暴类,9,空袭妖精,6.190,0.340,5024,311
000 开始记录,750,1000,500,500,1,增益类,15,指挥妖精,5.792,0.330,5024,291
000 开始记录,750,1000,500,500,1,增益类,16,搜救妖精,6.350,0.344,5024,319
000 开始记录,750,1000,500,500,1,增益类,17,照明妖精,5.533,0.323,5024,278
000 开始记录,750,1000,500,500,1,防御类,24,立盾妖精,8.798,0.400,5024,442
000 开始记录,750,1000,500,500,1,防御类,25,双生妖精,6.568,0.349,5024,330
000 开始记录,1000,750,500,500,1,属性类,1,勇士妖精,7.054,0.228,12659,893
000 开始记录,1000,750,500,500,1,属性类,2,暴怒妖精,7.141,0.229,12659,904
000 开始记录,1000,750,500,500,1,防御类,3,盾甲妖精,11.091,0.279,12659,1404
000 开始记录,1000,750,500,500,1,防御类,4,护盾妖精,11.138,0.280,12659,1410
000 开始记录,1000,750,500,500,1,防御类,6,嘲讽妖精,11.668,0.285,12659,1477
000 开始记录,1000,750,500,500,1,狂暴类,7,狙击妖精,5.324,0.200,12659,674
000 开始记录,1000,750,500,500,1,狂暴类,8,炮击妖精,5.514,0.203,12659,698
000 开始记录,1000,750,500,500,1,狂暴类,9,空袭妖精,4.992,0.194,12659,632
000 开始记录,1000,750,500,500,1,增益类,15,指挥妖精,5.206,0.197,12659,659
000 开始记录,1000,750,500,500,1,增益类,16,搜救妖精,5.719,0.206,12659,724
000 开始记录,1000,750,500,500,1,增益类,17,照明妖精,4.842,0.191,12659,613
000 开始记录,1000,750,500,500,1,防御类,24,立盾妖精,9.353,0.259,12659,1184
000 开始记录,1000,750,500,500,1,防御类,25,双生妖精,10.957,0.278,12659,1387
000 开始记录,2000,500,2000,1000,1,属性类,1,勇士妖精,5.693,0.330,4936,281
000 开始记录,2000,500,2000,1000,1,属性类,2,暴怒妖精,6.361,0.347,4936,314
000 开始记录,2000,500,2000,1000,1,防御类,3,盾甲妖精,6.442,0.349,4936,318
000 开始记录,2000,500,2000,1000,1,防御类,4,护盾妖精,6.402,0.348,4936,316
000 开始记录,2000,500,2000,1000,1,增援类,5,防御妖精,5.247,0.317,4936,259
000 开始记录,2000,500,2000,1000,1,防御类,6,嘲讽妖精,6.544,0.352,4936,323
000 开始记录,2000,500,2000,1000,1,狂暴类,7,狙击妖精,6.321,0.346,4936,312
000 开始记录,2000,500,2000,1000,1,狂暴类,8,炮击妖精,6.017,0.338,4936,297
000 开始记录,2000,500,2000,1000,1,狂暴类,9,空袭妖精,5.794,0.333,4936,286
000 开始记录,2000,500,2000,1000,1,增援类,10,增援妖精,5.207,0.316,4936,257
000 开始记录,2000,500,2000,1000,1,增援类,11,空降妖精,5.450,0.323,4936,269
000 开始记录,2000,500,2000,1000,1,增益类,15,指挥妖精,7.618,0.378,4936,376
000 开始记录,2000,500,2000,1000,1,增益类,16,搜救妖精,7.091,0.365,4936,350
000 开始记录,2000,500,2000,1000,1,增益类,17,照明妖精,8.023,0.387,4936,396
000 开始记录,2000,500,2000,1000,1,防御类,24,立盾妖精,5.389,0.321,4936,266
000 开始记录,2000,500,2000,1000,1,防御类,25,双生妖精,6.402,0.348,4936,316
000 开始记录,2000,2000,2000,1000,1,属性类,1,勇士妖精,5.326,0.097,53703,2860
000 开始记录,2000,2000,2000,1000,1,属性类,2,暴怒妖精,5.199,0.096,53703,2792
000 开始记录,2000,2000,2000,1000,1,防御类,3,盾甲妖精,5.700,0.100,53703,3061
000 开始记录,2000,2000,2000,1000,1,防御类,4,护盾妖精,5.530,0.099,53703,2970
000 开始记录,2000,2000,2000,1000,1,增援类,5,防御妖精,4.704,0.091,53703,2526
000 开始记录,2000,2000,2000,1000,1,防御类,6,嘲讽妖精,5.462,0.098,53703,2933
000 开始记录,2000,2000,2000,1000,1,狂暴类,7,狙击妖精,5.182,0.096,53703,2783
000 开始记录,2000,2000,2000,1000,1,狂暴类,8,炮击妖精,5.333,0.097,53703,2864
