event,mp,ammo,mre,part,input_level,rank,gun_id,name,rank_total,rank_count,gun_total,gun_count,mean,stdev
000开始记录,30,30,30,30,0,2,2,M1911,18337,12857,12876,1549,0.0843493633,0.0020140102
000开始记录,30,30,30,30,0,2,5,纳甘左轮,18337,12857,12876,1551,0.0844582714,0.0020151324
000开始记录,30,30,30,30,0,2,9,P38,18337,12857,12876,1525,0.0830424655,0.0020004586
000开始记录,30,30,30,30,0,2,10,PPK,18337,12857,12876,1562,0.0850572663,0.0020212852
000开始记录,30,30,30,30,0,2,17,M3,18337,12857,12876,57,0.0031038823,0.0004109526
000开始记录,30,30,30,30,0,2,21,PPSh-41,18337,12857,12876,26,0.0014158060,0.0002778846
000开始记录,30,30,30,30,0,2,24,PP-2000,18337,12857,12876,51,0.0027771579,0.0003888130
000开始记录,30,30,30,30,0,2,25,MP40,18337,12857,12876,47,0.0025593416,0.0003733123
000开始记录,30,30,30,30,0,2,31,伯莱塔38型,18337,12857,12876,47,0.0025593416,0.0003733123
000开始记录,30,30,30,30,0,2,33,m45,18337,12857,12876,55,0.0029949742,0.0004037100
000开始记录,30,30,30,30,0,2,90,FNP-9,18337,12857,12876,1555,0.0846760877,0.0020173735
000开始记录,30,30,30,30,0,2,91,MP-446,18337,12857,12876,1592,0.0866908885,0.0020379015
000开始记录,30,30,30,30,0,2,92,幽灵M4,18337,12857,12876,49,0.0026682497,0.0003811427
000开始记录,30,30,30,30,0,2,93,IDW,18337,12857,12876,51,0.0027771579,0.0003888130
000开始记录,30,30,30,30,0,2,94,64式,18337,12857,12876,54,0.0029405201,0.0004000386
000开始记录,30,30,30,30,0,2,139,布伦·坦,18337,12857,12876,1554,0.0846216337,0.0020168136
000开始记录,30,30,30,30,0,2,141,USP-C,18337,12857,12876,1551,0.0844582714,0.0020151324
000开始记录,30,30,30,30,0,3,3,M9,18337,4248,4300,720,0.0387900433,0.0013228686
000开始记录,30,30,30,30,0,3,6,托卡列夫,18337,4248,4300,353,0.0190178962,0.0009724511
000开始记录,30,30,30,30,0,3,8,马卡洛夫,18337,4248,4300,360,0.0193950216,0.0009811769
000开始记录,30,30,30,30,0,3,11,P08,18337,4248,4300,734,0.0395442941,0.0013330615
000开始记录,30,30,30,30,0,3,12,C96,18337,4248,4300,705,0.0379819174,0.0013117474
000开始记录,30,30,30,30,0,3,13,92式,18337,4248,4300,357,0.0192333964,0.0009774509
000开始记录,30,30,30,30,0,3,14,阿斯特拉左轮,18337,4248,4300,749,0.0403524200,0.0013437872
000开始记录,30,30,30,30,0,3,18,MAC-10,18337,4248,4300,30,0.0016162518,0.0002948312
000开始记录,30,30,30,30,0,3,22,PPS-43,18337,4248,4300,23,0.0012391264,0.0002583637
000开始记录,30,30,30,30,0,3,27,蝎式,18337,4248,4300,40,0.0021550024,0.0003400440
000开始记录,30,30,30,30,0,3,32,微型乌兹,18337,4248,4300,38,0.0020472523,0.0003315115
000开始记录,30,30,30,30,0,3,123,P99,18337,4248,4300,191,0.0102901365,0.0007298050
000开始记录,30,30,30,30,0,4,1,柯尔特左轮,18337,790,802,444,0.0238510448,0.0007574602
000开始记录,30,30,30,30,0,4,26,MP5,18337,790,802,20,0.0010743714,0.0002374296
000开始记录,30,30,30,30,0,4,99,Mk23,18337,790,802,338,0.0181568764,0.0007521899
000开始记录,30,30,30,30,0,5,16,汤姆森,18337,442,450,6,0.0003213903,0.0001303329
000开始记录,30,30,30,30,0,5,96,灰熊MkⅤ,18337,442,450,197,0.0105523138,0.0005639501
000开始记录,30,30,30,30,0,5,126,NZ75,18337,442,450,108,0.0057850248,0.0004853788
000开始记录,30,30,30,30,0,5,233,Px4 风暴,18337,442,450,91,0.0048744191,0.0004564680
000开始记录,30,30,30,30,0,5,260,PA-15,18337,442,450,48,0.0025711221,0.0003507889
000开始记录,100,400,400,200,0,2,17,M3,12719,6932,6936,249,0.0195657207,0.0012210732
000开始记录,100,400,400,200,0,2,21,PPSh-41,12719,6932,6936,113,0.0088792226,0.0008308835
000开始记录,100,400,400,200,0,2,24,PP-2000,12719,6932,6936,243,0.0190942575,0.0012068112
000开始记录,100,400,400,200,0,2,25,MP40,12719,6932,6936,242,0.0190156803,0.0012044152
000开始记录,100,400,400,200,0,2,31,伯莱塔38型,12719,6932,6936,231,0.0181513312,0.0011776873
000开始记录,100,400,400,200,0,2,33,m45,12719,6932,6936,227,0.0178370225,0.0011677935
