event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
000 开始记录,30,30,30,30,0,2,2,M1911,8.435,0.201,18337,12857,12876,1549
000 开始记录,30,30,30,30,0,2,5,纳甘左轮,8.446,0.202,18337,12857,12876,1551
000 开始记录,30,30,30,30,0,2,9,P38,8.304,0.200,18337,12857,12876,1525
000 开始记录,30,30,30,30,0,2,10,PPK,8.506,0.202,18337,12857,12876,1562
000 开始记录,30,30,30,30,0,2,17,M3,0.310,0.041,18337,12857,12876,57
000 开始记录,30,30,30,30,0,2,21,PPSh-41,0.142,0.028,18337,12857,12876,26
000 开始记录,30,30,30,30,0,2,24,PP-2000,0.278,0.039,18337,12857,12876,51
000 开始记录,30,30,30,30,0,2,25,MP40,0.256,0.037,18337,12857,12876,47
000 开始记录,30,30,30,30,0,2,31,伯莱塔38型,0.256,0.037,18337,12857,12876,47
000 开始记录,30,30,30,30,0,2,33,m45,0.299,0.040,18337,12857,12876,55
000 开始记录,30,30,30,30,0,2,90,FNP-9,8.468,0.202,18337,12857,12876,1555
000 开始记录,30,30,30,30,0,2,91,MP-446,8.669,0.204,18337,12857,12876,1592
000 开始记录,30,30,30,30,0,2,92,幽灵M4,0.267,0.038,18337,12857,12876,49
000 开始记录,30,30,30,30,0,2,93,IDW,0.278,0.039,18337,12857,12876,51
000 开始记录,30,30,30,30,0,2,94,64式,0.294,0.040,18337,12857,12876,54
000 开始记录,30,30,30,30,0,2,139,布伦·坦,8.462,0.202,18337,12857,12876,1554
000 开始记录,30,30,30,30,0,2,141,USP-C,8.446,0.202,18337,12857,12876,1551
000 开始记录,30,30,30,30,0,3,3,M9,3.879,0.132,18337,4248,4300,720
000 开始记录,30,30,30,30,0,3,6,托卡列夫,1.902,0.097,18337,4248,4300,353
000 开始记录,30,30,30,30,0,3,8,马卡洛夫,1.940,0.098,18337,4248,4300,360
000 开始记录,30,30,30,30,0,3,11,P08,3.954,0.133,18337,4248,4300,734
000 开始记录,30,30,30,30,0,3,12,C96,3.798,0.131,18337,4248,4300,705
000 开始记录,30,30,30,30,0,3,13,92式,1.923,0.098,18337,4248,4300,357
000 开始记录,30,30,30,30,0,3,14,阿斯特拉左轮,4.035,0.134,18337,4248,4300,749
000 开始记录,30,30,30,30,0,3,18,MAC-10,0.162,0.029,18337,4248,4300,30
000 开始记录,30,30,30,30,0,3,22,PPS-43,0.124,0.026,18337,4248,4300,23
000 开始记录,30,30,30,30,0,3,27,蝎式,0.216,0.034,18337,4248,4300,40
