event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
001 人形UP（玛姬）,100,400,400,200,0,2,17,M3,1.383,0.111,9796,3809,4274,152
001 人形UP（玛姬）,100,400,400,200,0,2,21,PPSh-41,1.128,0.100,9796,3809,4274,124
001 人形UP（玛姬）,100,400,400,200,0,2,24,PP-2000,1.474,0.114,9796,3809,4274,162
001 人形UP（玛姬）,100,400,400,200,0,2,25,MP40,1.383,0.111,9796,3809,4274,152
001 人形UP（玛姬）,100,400,400,200,0,2,31,伯莱塔38型,1.447,0.113,9796,3809,4274,159
001 人形UP（玛姬）,100,400,400,200,0,2,33,m45,1.483,0.114,9796,3809,4274,163
001 人形UP（玛姬）,100,400,400,200,0,2,63,G3,4.203,0.185,9796,3809,4274,462
001 人形UP（玛姬）,100,400,400,200,0,2,68,L85A1,4.340,0.188,9796,3809,4274,477
001 人形UP（玛姬）,100,400,400,200,0,2,71,加利尔,4.813,0.197,9796,3809,4274,529
001 人形UP（玛姬）,100,400,400,200,0,2,74,SIG-510,4.667,0.194,9796,3809,4274,513
001 人形UP（玛姬）,100,400,400,200,0,2,92,幽灵M4,1.437,0.113,9796,3809,4274,158
001 人形UP（玛姬）,100,400,400,200,0,2,93,IDW,1.401,0.111,9796,3809,4274,154
001 人形UP（玛姬）,100,400,400,200,0,2,94,64式,1.492,0.115,9796,3809,4274,164
001 人形UP（玛姬）,100,400,400,200,0,2,107,F2000,4.176,0.185,9796,3809,4274,459
001 人形UP（玛姬）,100,400,400,200,0,2,133,63式,4.058,0.183,9796,3809,4274,446
001 人形UP（玛姬）,100,400,400,200,0,3,18,MAC-10,1.215,0.097,9796,1974,2472,149
001 人形UP（玛姬）,100,400,400,200,0,3,22,PPS-43,0.921,0.085,9796,1974,2472,113
001 人形UP（玛姬）,100,400,400,200,0,3,27,蝎式,1.206,0.097,9796,1974,2472,148
001 人形UP（玛姬）,100,400,400,200,0,3,32,微型乌兹,1.369,0.102,9796,1974,2472,168
001 人形UP（玛姬）,100,400,400,200,0,3,58,AK-47,4.304,0.167,9796,1974,2472,528
001 人形UP（玛姬）,100,400,400,200,0,3,61,StG44,4.084,0.164,9796,1974,2472,501
001 人形UP（玛姬）,100,400,400,200,0,3,70,FNC,4.133,0.164,9796,1974,2472,507
001 人形UP（玛姬）,100,400,400,200,0,3,105,OTs-12,2.918,0.143,9796,1974,2472,358
001 人形UP（玛姬）,100,400,400,200,0,4,26,MP5,1.252,0.096,9796,2533,3407,165
001 人形UP（玛姬）,100,400,400,200,0,4,60,AS Val,2.042,0.120,9796,2533,3407,269
001 人形UP（玛姬）,100,400,400,200,0,4,64,G36,0.759,0.075,9796,2533,3407,100
001 人形UP（玛姬）,100,400,400,200,0,4,66,56-1式,1.958,0.118,9796,2533,3407,258
001 人形UP（玛姬）,100,400,400,200,0,4,69,FAMAS,2.193,0.124,9796,2533,3407,289
001 人形UP（玛姬）,100,400,400,200,0,4,72,TAR-21,1.434,0.102,9796,2533,3407,189
001 人形UP（玛姬）,100,400,400,200,0,4,118,9A-91,2.193,0.124,9796,2533,3407,289
001 人形UP（玛姬）,100,400,400,200,0,4,171,利贝罗勒,1.480,0.103,9796,2533,3407,195
001 人形UP（玛姬）,100,400,400,200,0,4,216,XM8,1.973,0.118,9796,2533,3407,260
001 人形UP（玛姬）,100,400,400,200,0,4,237,SAR-21,2.262,0.126,9796,2533,3407,298
001 人形UP（玛姬）,100,400,400,200,0,4,262,EM-2,2.049,0.120,9796,2533,3407,270
