event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
006 圣建（23周年）,100,400,400,200,0,2,17,M3,1.422,0.083,19761,6890,7011,286
006 圣建（23周年）,100,400,400,200,0,2,21,PPSh-41,0.840,0.064,19761,6890,7011,169
006 圣建（23周年）,100,400,400,200,0,2,24,PP-2000,1.373,0.081,19761,6890,7011,276
006 圣建（23周年）,100,400,400,200,0,2,25,MP40,1.477,0.084,19761,6890,7011,297
006 圣建（23周年）,100,400,400,200,0,2,31,伯莱塔38型,1.636,0.088,19761,6890,7011,329
006 圣建（23周年）,100,400,400,200,0,2,33,m45,1.427,0.083,19761,6890,7011,287
006 圣建（23周年）,100,400,400,200,0,2,63,G3,3.993,0.133,19761,6890,7011,803
006 圣建（23周年）,100,400,400,200,0,2,68,L85A1,3.979,0.133,19761,6890,7011,800
006 圣建（23周年）,100,400,400,200,0,2,71,加利尔,4.078,0.134,19761,6890,7011,820
006 圣建（23周年）,100,400,400,200,0,2,74,SIG-510,3.745,0.129,19761,6890,7011,753
006 圣建（23周年）,100,400,400,200,0,2,92,幽灵M4,1.651,0.089,19761,6890,7011,332
006 圣建（23周年）,100,400,400,200,0,2,93,IDW,1.706,0.090,19761,6890,7011,343
006 圣建（23周年）,100,400,400,200,0,2,94,64式,1.512,0.085,19761,6890,7011,304
006 圣建（23周年）,100,400,400,200,0,2,107,F2000,3.755,0.129,19761,6890,7011,755
006 圣建（23周年）,100,400,400,200,0,2,133,63式,2.273,0.103,19761,6890,7011,457
006 圣建（23周年）,100,400,400,200,0,3,18,MAC-10,1.141,0.070,19761,2641,2835,242
006 圣建（23周年）,100,400,400,200,0,3,22,PPS-43,0.622,0.053,19761,2641,2835,132
006 圣建（23周年）,100,400,400,200,0,3,27,蝎式,1.122,0.070,19761,2641,2835,238
006 圣建（23周年）,100,400,400,200,0,3,32,微型乌兹,1.212,0.072,19761,2641,2835,257
006 圣建（23周年）,100,400,400,200,0,3,58,AK-47,2.706,0.101,19761,2641,2835,574
006 圣建（23周年）,100,400,400,200,0,3,61,StG44,2.536,0.099,19761,2641,2835,538
006 圣建（23周年）,100,400,400,200,0,3,70,FNC,2.692,0.101,19761,2641,2835,571
006 圣建（23周年）,100,400,400,200,0,3,105,OTs-12,1.334,0.075,19761,2641,2835,283
006 圣建（23周年）,100,400,400,200,0,4,26,MP5,1.917,0.093,19761,6311,6630,398
006 圣建（23周年）,100,400,400,200,0,4,60,AS Val,2.534,0.106,19761,6311,6630,526
006 圣建（23周年）,100,400,400,200,0,4,64,G36,1.036,0.070,19761,6311,6630,215
006 圣建（23周年）,100,400,400,200,0,4,66,56-1式,2.645,0.108,19761,6311,6630,549
