event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
010 人形UP（82式）,100,400,400,200,0,2,17,M3,1.764,0.057,49324,21565,22575,911
010 人形UP（82式）,100,400,400,200,0,2,21,PPSh-41,1.048,0.045,49324,21565,22575,541
010 人形UP（82式）,100,400,400,200,0,2,24,PP-2000,1.801,0.058,49324,21565,22575,930
010 人形UP（82式）,100,400,400,200,0,2,25,MP40,1.712,0.057,49324,21565,22575,884
010 人形UP（82式）,100,400,400,200,0,2,31,伯莱塔38型,1.743,0.057,49324,21565,22575,900
010 人形UP（82式）,100,400,400,200,0,2,33,m45,1.675,0.056,49324,21565,22575,865
010 人形UP（82式）,100,400,400,200,0,2,63,G3,4.850,0.092,49324,21565,22575,2504
010 人形UP（82式）,100,400,400,200,0,2,68,L85A1,4.966,0.092,49324,21565,22575,2564
010 人形UP（82式）,100,400,400,200,0,2,71,加利尔,5.061,0.093,49324,21565,22575,2613
010 人形UP（82式）,100,400,400,200,0,2,74,SIG-510,5.121,0.094,49324,21565,22575,2644
010 人形UP（82式）,100,400,400,200,0,2,92,幽灵M4,1.710,0.057,49324,21565,22575,883
010 人形UP（82式）,100,400,400,200,0,2,93,IDW,1.784,0.058,49324,21565,22575,921
010 人形UP（82式）,100,400,400,200,0,2,94,64式,1.737,0.057,49324,21565,22575,897
010 人形UP（82式）,100,400,400,200,0,2,107,F2000,5.165,0.094,49324,21565,22575,2667
010 人形UP（82式）,100,400,400,200,0,2,133,63式,3.585,0.080,49324,21565,22575,1851
010 人形UP（82式）,100,400,400,200,0,3,18,MAC-10,1.395,0.048,49324,9283,10668,791
010 人形UP（82式）,100,400,400,200,0,3,22,PPS-43,0.854,0.038,49324,9283,10668,484
010 人形UP（82式）,100,400,400,200,0,3,27,蝎式,1.318,0.047,49324,9283,10668,747
010 人形UP（82式）,100,400,400,200,0,3,32,微型乌兹,1.406,0.048,49324,9283,10668,797
010 人形UP（82式）,100,400,400,200,0,3,58,AK-47,3.904,0.074,49324,9283,10668,2213
010 人形UP（82式）,100,400,400,200,0,3,61,StG44,3.749,0.073,49324,9283,10668,2125
010 人形UP（82式）,100,400,400,200,0,3,70,FNC,3.934,0.074,49324,9283,10668,2230
010 人形UP（82式）,100,400,400,200,0,3,105,OTs-12,2.260,0.059,49324,9283,10668,1281
010 人形UP（82式）,100,400,400,200,0,4,26,MP5,0.898,0.039,49324,11584,13311,509
010 人形UP（82式）,100,400,400,200,0,4,60,AS Val,1.482,0.050,49324,11584,13311,840
010 人形UP（82式）,100,400,400,200,0,4,64,G36,0.653,0.034,49324,11584,13311,370
010 人形UP（82式）,100,400,400,200,0,4,66,56-1式,1.569,0.051,49324,11584,13311,889
010 人形UP（82式）,100,400,400,200,0,4,69,FAMAS,1.572,0.051,49324,11584,13311,891
010 人形UP（82式）,100,400,400,200,0,4,72,TAR-21,1.113,0.043,49324,11584,13311,631
010 人形UP（82式）,100,400,400,200,0,4,118,9A-91,1.574,0.051,49324,11584,13311,892
010 人形UP（82式）,100,400,400,200,0,4,171,利贝罗勒,1.134,0.044,49324,11584,13311,643
010 人形UP（82式）,100,400,400,200,0,4,216,XM8,1.505,0.050,49324,11584,13311,853
010 人形UP（82式）,100,400,400,200,0,4,237,SAR-21,1.554,0.051,49324,11584,13311,881
010 人形UP（82式）,100,400,400,200,0,4,262,EM-2,1.519,0.050,49324,11584,13311,861
010 人形UP（82式）,100,400,400,200,0,4,288,CR-21,1.471,0.049,49324,11584,13311,834
010 人形UP（82式）,100,400,400,200,0,4,330,FX-05,1.517,0.050,49324,11584,13311,860
010 人形UP（82式）,100,400,400,200,0,4,349,AK74M,1.583,0.051,49324,11584,13311,897
010 人形UP（82式）,100,400,400,200,0,4,382,MSBS,1.456,0.049,49324,11584,13311,825
010 人形UP（82式）,100,400,400,200,0,4,394,CM901,2.885,0.067,49324,11584,13311,1635
010 人形UP（82式）,100,400,400,200,0,5,16,汤姆森,0.387,0.025,49324,6892,8342,231
010 人形UP（82式）,100,400,400,200,0,5,62,G41,0.628,0.032,49324,6892,8342,375
010 人形UP（82式）,100,400,400,200,0,5,65,HK416,0.615,0.031,49324,6892,8342,367
010 人形UP（82式）,100,400,400,200,0,5,106,FAL,0.436,0.027,49324,6892,8342,260
