event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
011 圣建（23国庆）,100,400,400,200,0,2,17,M3,1.499,0.118,9980,3206,3321,155
011 圣建（23国庆）,100,400,400,200,0,2,21,PPSh-41,0.929,0.094,9980,3206,3321,96
011 圣建（23国庆）,100,400,400,200,0,2,24,PP-2000,1.345,0.112,9980,3206,3321,139
011 圣建（23国庆）,100,400,400,200,0,2,25,MP40,1.499,0.118,9980,3206,3321,155
011 圣建（23国庆）,100,400,400,200,0,2,31,伯莱塔38型,1.606,0.122,9980,3206,3321,166
011 圣建（23国庆）,100,400,400,200,0,2,33,m45,1.451,0.116,9980,3206,3321,150
011 圣建（23国庆）,100,400,400,200,0,2,63,G3,3.415,0.172,9980,3206,3321,353
011 圣建（23国庆）,100,400,400,200,0,2,68,L85A1,3.347,0.171,9980,3206,3321,346
011 圣建（23国庆）,100,400,400,200,0,2,71,加利尔,3.395,0.172,9980,3206,3321,351
011 圣建（23国庆）,100,400,400,200,0,2,74,SIG-510,3.318,0.170,9980,3206,3321,343
011 圣建（23国庆）,100,400,400,200,0,2,92,幽灵M4,1.548,0.120,9980,3206,3321,160
011 圣建（23国庆）,100,400,400,200,0,2,93,IDW,1.654,0.124,9980,3206,3321,171
011 圣建（23国庆）,100,400,400,200,0,2,94,64式,1.673,0.124,9980,3206,3321,173
011 圣建（23国庆）,100,400,400,200,0,2,107,F2000,3.569,0.176,9980,3206,3321,369
011 圣建（23国庆）,100,400,400,200,0,2,133,63式,1.877,0.131,9980,3206,3321,194
011 圣建（23国庆）,100,400,400,200,0,3,18,MAC-10,1.090,0.097,9980,1159,1215,114
011 圣建（23国庆）,100,400,400,200,0,3,22,PPS-43,0.583,0.073,9980,1159,1215,61
011 圣建（23国庆）,100,400,400,200,0,3,27,蝎式,1.090,0.097,9980,1159,1215,114
011 圣建（23国庆）,100,400,400,200,0,3,32,微型乌兹,1.214,0.102,9980,1159,1215,127
011 圣建（23国庆）,100,400,400,200,0,3,58,AK-47,2.074,0.128,9980,1159,1215,217
011 圣建（23国庆）,100,400,400,200,0,3,61,StG44,2.122,0.129,9980,1159,1215,222
011 圣建（23国庆）,100,400,400,200,0,3,70,FNC,2.227,0.132,9980,1159,1215,233
011 圣建（23国庆）,100,400,400,200,0,3,105,OTs-12,1.214,0.102,9980,1159,1215,127
011 圣建（23国庆）,100,400,400,200,0,4,26,MP5,2.024,0.137,9980,3449,3518,206
011 圣建（23国庆）,100,400,400,200,0,4,60,AS Val,2.476,0.151,9980,3449,3518,252
011 圣建（23国庆）,100,400,400,200,0,4,64,G36,0.943,0.095,9980,3449,3518,96
011 圣建（23国庆）,100,400,400,200,0,4,66,56-1式,2.446,0.150,9980,3449,3518,249
011 圣建（23国庆）,100,400,400,200,0,4,69,FAMAS,2.240,0.144,9980,3449,3518,228
011 圣建（23国庆）,100,400,400,200,0,4,72,TAR-21,1.690,0.126,9980,3449,3518,172
011 圣建（23国庆）,100,400,400,200,0,4,118,9A-91,2.338,0.147,9980,3449,3518,238
011 圣建（23国庆）,100,400,400,200,0,4,171,利贝罗勒,1.729,0.128,9980,3449,3518,176
011 圣建（23国庆）,100,400,400,200,0,4,216,XM8,2.181,0.142,9980,3449,3518,222
011 圣建（23国庆）,100,400,400,200,0,4,237,SAR-21,2.407,0.149,9980,3449,3518,245
011 圣建（23国庆）,100,400,400,200,0,4,262,EM-2,2.299,0.146,9980,3449,3518,234
011 圣建（23国庆）,100,400,400,200,0,4,288,CR-21,2.132,0.141,9980,3449,3518,217
011 圣建（23国庆）,100,400,400,200,0,4,330,FX-05,2.515,0.152,9980,3449,3518,256
011 圣建（23国庆）,100,400,400,200,0,4,349,AK74M,2.485,0.151,9980,3449,3518,253
011 圣建（23国庆）,100,400,400,200,0,4,382,MSBS,2.387,0.148,9980,3449,3518,243
011 圣建（23国庆）,100,400,400,200,0,4,394,CM901,2.269,0.145,9980,3449,3518,231
011 圣建（23国庆）,100,400,400,200,0,5,16,汤姆森,0.847,0.085,9980,2166,2460,96
011 圣建（23国庆）,100,400,400,200,0,5,62,G41,0.970,0.091,9980,2166,2460,110
011 圣建（23国庆）,100,400,400,200,0,5,65,HK416,0.962,0.090,9980,2166,2460,109
011 圣建（23国庆）,100,400,400,200,0,5,106,FAL,0.750,0.080,9980,2166,2460,85
011 圣建（23国庆）,100,400,400,200,0,5,122,G11,0.600,0.072,9980,2166,2460,68
011 圣建（23国庆）,100,400,400,200,0,5,129,95式,0.794,0.082,9980,2166,2460,90
011 圣建（23国庆）,100,400,400,200,0,5,130,97式,0.662,0.076,9980,2166,2460,75
011 圣建（23国庆）,100,400,400,200,0,5,172,RFB,0.618,0.073,9980,2166,2460,70
011 圣建（23国庆）,100,400,400,200,0,5,181,T91,0.653,0.075,9980,2166,2460,74
011 圣建（23国庆）,100,400,400,200,0,5,194,K2,0.715,0.078,9980,2166,2460,81
011 圣建（23国庆）,100,400,400,200,0,5,196,Zas M21,0.970,0.091,9980,2166,2460,110
011 圣建（23国庆）,100,400,400,200,0,5,205,AN-94,0.573,0.070,9980,2166,2460,65
011 圣建（23国庆）,100,400,400,200,0,5,206,AK-12,0.600,0.072,9980,2166,2460,68
011 圣建（23国庆）,100,400,400,200,0,5,214,ADS,0.741,0.080,9980,2166,2460,84
011 圣建（23国庆）,100,400,400,200,0,5,215,MDR,0.820,0.084,9980,2166,2460,93
011 圣建（23国庆）,100,400,400,200,0,5,236,K11,0.820,0.084,9980,2166,2460,93
011 圣建（23国庆）,100,400,400,200,0,5,243,64式自,1.085,0.096,9980,2166,2460,123
011 圣建（23国庆）,100,400,400,200,0,5,287,SIG-556,0.706,0.078,9980,2166,2460,80
011 圣建（23国庆）,100,400,400,200,0,5,290,89式自,0.573,0.070,9980,2166,2460,65
011 圣建（23国庆）,100,400,400,200,0,5,293,AK-15,0.538,0.068,9980,2166,2460,61
011 圣建（23国庆）,100,400,400,200,0,5,306,AK-阿尔法,0.697,0.077,9980,2166,2460,79
011 圣建（23国庆）,100,400,400,200,0,5,313,S-ACR,1.068,0.095,9980,2166,2460,121
011 圣建（23国庆）,100,400,400,200,0,5,338,SIG MCX,1.023,0.093,9980,2166,2460,116
011 圣建（23国庆）,100,400,400,200,0,5,356,A-545,0.856,0.085,9980,2166,2460,97
011 圣建（23国庆）,100,400,400,200,0,5,365,SCR,0.838,0.085,9980,2166,2460,95
011 圣建（23国庆）,100,400,400,200,0,5,378,SCAR-L,0.671,0.076,9980,2166,2460,76
011 圣建（23国庆）,100,400,400,200,0,5,390,HK433,0.909,0.088,9980,2166,2460,103
011 圣建（23国庆）,100,400,400,200,0,5,393,贝奥武夫,0.644,0.075,9980,2166,2460,73
011 圣建（23国庆）,130,130,130,30,0,2,2,M1911,4.848,0.232,7748,3687,3877,395
011 圣建（23国庆）,130,130,130,30,0,2,5,纳甘左轮,4.590,0.227,7748,3687,3877,374
011 圣建（23国庆）,130,130,130,30,0,2,9,P38,4.406,0.222,7748,3687,3877,359
011 圣建（23国庆）,130,130,130,30,0,2,10,PPK,4.345,0.221,7748,3687,3877,354
011 圣建（23国庆）,130,130,130,30,0,2,17,M3,1.461,0.132,7748,3687,3877,119
011 圣建（23国庆）,130,130,130,30,0,2,21,PPSh-41,0.736,0.095,7748,3687,3877,60
011 圣建（23国庆）,130,130,130,30,0,2,24,PP-2000,1.215,0.121,7748,3687,3877,99
011 圣建（23国庆）,130,130,130,30,0,2,25,MP40,1.117,0.116,7748,3687,3877,91
011 圣建（23国庆）,130,130,130,30,0,2,31,伯莱塔38型,1.350,0.127,7748,3687,3877,110
011 圣建（23国庆）,130,130,130,30,0,2,33,m45,1.399,0.130,7748,3687,3877,114
011 圣建（23国庆）,130,130,130,30,0,2,90,FNP-9,4.652,0.228,7748,3687,3877,379
011 圣建（23国庆）,130,130,130,30,0,2,91,MP-446,4.775,0.231,7748,3687,3877,389
011 圣建（23国庆）,130,130,130,30,0,2,92,幽灵M4,1.559,0.137,7748,3687,3877,127
011 圣建（23国庆）,130,130,130,30,0,2,93,IDW,1.362,0.128,7748,3687,3877,111
011 圣建（23国庆）,130,130,130,30,0,2,94,64式,1.289,0.125,7748,3687,3877,105
011 圣建（23国庆）,130,130,130,30,0,2,139,布伦·坦,3.965,0.212,7748,3687,3877,323
011 圣建（23国庆）,130,130,130,30,0,2,141,USP-C,4.517,0.225,7748,3687,3877,368
011 圣建（23国庆）,130,130,130,30,0,3,3,M9,2.193,0.146,7748,1317,1535,198
011 圣建（23国庆）,130,130,130,30,0,3,6,托卡列夫,1.340,0.117,7748,1317,1535,121
011 圣建（23国庆）,130,130,130,30,0,3,8,马卡洛夫,1.473,0.123,7748,1317,1535,133
011 圣建（23国庆）,130,130,130,30,0,3,11,P08,2.226,0.147,7748,1317,1535,201
011 圣建（23国庆）,130,130,130,30,0,3,12,C96,2.104,0.143,7748,1317,1535,190
011 圣建（23国庆）,130,130,130,30,0,3,13,92式,1.340,0.117,7748,1317,1535,121
011 圣建（23国庆）,130,130,130,30,0,3,14,阿斯特拉左轮,2.215,0.147,7748,1317,1535,200
011 圣建（23国庆）,130,130,130,30,0,3,18,MAC-10,0.886,0.097,7748,1317,1535,80
011 圣建（23国庆）,130,130,130,30,0,3,22,PPS-43,0.498,0.073,7748,1317,1535,45
011 圣建（23国庆）,130,130,130,30,0,3,27,蝎式,0.864,0.096,7748,1317,1535,78
011 圣建（23国庆）,130,130,130,30,0,3,32,微型乌兹,0.974,0.101,7748,1317,1535,88
011 圣建（23国庆）,130,130,130,30,0,3,123,P99,0.886,0.097,7748,1317,1535,80
011 圣建（23国庆）,130,130,130,30,0,4,1,柯尔特左轮,2.905,0.177,7748,1968,2116,242
011 圣建（23国庆）,130,130,130,30,0,4,7,斯捷奇金,1.548,0.133,7748,1968,2116,129
011 圣建（23国庆）,130,130,130,30,0,4,26,MP5,1.765,0.141,7748,1968,2116,147
011 圣建（23国庆）,130,130,130,30,0,4,99,Mk23,2.353,0.161,7748,1968,2116,196
011 圣建（23国庆）,130,130,130,30,0,4,100,P7,2.221,0.157,7748,1968,2116,185
011 圣建（23国庆）,130,130,130,30,0,4,168,喷火,1.993,0.149,7748,1968,2116,166
011 圣建（23国庆）,130,130,130,30,0,4,212,K5,1.272,0.121,7748,1968,2116,106
011 圣建（23国庆）,130,130,130,30,0,4,248,杰里科,1.873,0.145,7748,1968,2116,156
011 圣建（23国庆）,130,130,130,30,0,4,269,P30,1.909,0.146,7748,1968,2116,159
011 圣建（23国庆）,130,130,130,30,0,4,310,Rex-0-1,1.176,0.117,7748,1968,2116,98
011 圣建（23国庆）,130,130,130,30,0,4,346,CZ 100,2.629,0.169,7748,1968,2116,219
011 圣建（23国庆）,130,130,130,30,0,4,354,ZiP .22,2.461,0.164,7748,1968,2116,205
011 圣建（23国庆）,130,130,130,30,0,4,379,P10C,1.296,0.122,7748,1968,2116,108
011 圣建（23国庆）,130,130,130,30,0,5,16,汤姆森,0.740,0.087,7748,776,920,68
011 圣建（23国庆）,130,130,130,30,0,5,96,灰熊MkⅤ,1.829,0.128,7748,776,920,168
011 圣建（23国庆）,130,130,130,30,0,5,97,M950A,1.012,0.100,7748,776,920,93
011 圣建（23国庆）,130,130,130,30,0,5,114,维尔德MkⅡ,1.230,0.109,7748,776,920,113
011 圣建（23国庆）,130,130,130,30,0,5,126,NZ75,0.914,0.095,7748,776,920,84
011 圣建（23国庆）,130,130,130,30,0,5,183,竞争者,0.425,0.067,7748,776,920,39
011 圣建（23国庆）,130,130,130,30,0,5,233,Px4 风暴,1.023,0.100,7748,776,920,94
011 圣建（23国庆）,130,130,130,30,0,5,260,PA-15,0.664,0.082,7748,776,920,61
011 圣建（23国庆）,130,130,130,30,0,5,285,C-93,0.457,0.069,7748,776,920,42
011 圣建（23国庆）,130,130,130,30,0,5,303,HP-35,1.002,0.099,7748,776,920,92
011 圣建（23国庆）,130,130,130,30,0,5,375,柯尔特沃克,0.719,0.085,7748,776,920,66
011 圣建（23国庆）,400,100,400,200,0,2,17,M3,1.234,0.109,9677,3505,3639,124
011 圣建（23国庆）,400,100,400,200,0,2,21,PPSh-41,0.657,0.080,9677,3505,3639,66
011 圣建（23国庆）,400,100,400,200,0,2,24,PP-2000,1.204,0.108,9677,3505,3639,121
011 圣建（23国庆）,400,100,400,200,0,2,25,MP40,1.463,0.119,9677,3505,3639,147
011 圣建（23国庆）,400,100,400,200,0,2,31,伯莱塔38型,1.354,0.114,9677,3505,3639,136
011 圣建（23国庆）,400,100,400,200,0,2,33,m45,1.443,0.118,9677,3505,3639,145
011 圣建（23国庆）,400,100,400,200,0,2,40,SVT-38,4.170,0.192,9677,3505,3639,419
011 圣建（23国庆）,400,100,400,200,0,2,41,西蒙诺夫,3.772,0.184,9677,3505,3639,379
011 圣建（23国庆）,400,100,400,200,0,2,47,G43,3.961,0.188,9677,3505,3639,398
011 圣建（23国庆）,400,100,400,200,0,2,51,FN-49,4.290,0.195,9677,3505,3639,431
011 圣建（23国庆）,400,100,400,200,0,2,52,BM59,3.932,0.188,9677,3505,3639,395
011 圣建（23国庆）,400,100,400,200,0,2,63,G3,0.766,0.087,9677,3505,3639,77
011 圣建（23国庆）,400,100,400,200,0,2,68,L85A1,0.836,0.091,9677,3505,3639,84
011 圣建（23国庆）,400,100,400,200,0,2,71,加利尔,0.896,0.094,9677,3505,3639,90
011 圣建（23国庆）,400,100,400,200,0,2,74,SIG-510,1.035,0.100,9677,3505,3639,104
011 圣建（23国庆）,400,100,400,200,0,2,92,幽灵M4,1.115,0.104,9677,3505,3639,112
011 圣建（23国庆）,400,100,400,200,0,2,93,IDW,1.314,0.113,9677,3505,3639,132
011 圣建（23国庆）,400,100,400,200,0,2,94,64式,1.274,0.111,9677,3505,3639,128
011 圣建（23国庆）,400,100,400,200,0,2,107,F2000,0.946,0.096,9677,3505,3639,95
011 圣建（23国庆）,400,100,400,200,0,2,133,63式,0.557,0.074,9677,3505,3639,56
011 圣建（23国庆）,400,100,400,200,0,3,18,MAC-10,0.982,0.095,9677,1417,1506,101
011 圣建（23国庆）,400,100,400,200,0,3,22,PPS-43,0.583,0.074,9677,1417,1506,60
011 圣建（23国庆）,400,100,400,200,0,3,27,蝎式,0.865,0.089,9677,1417,1506,89
011 圣建（23国庆）,400,100,400,200,0,3,32,微型乌兹,0.807,0.086,9677,1417,1506,83
011 圣建（23国庆）,400,100,400,200,0,3,34,M1加兰德,2.849,0.150,9677,1417,1506,293
011 圣建（23国庆）,400,100,400,200,0,3,37,M14,2.839,0.150,9677,1417,1506,292
011 圣建（23国庆）,400,100,400,200,0,3,44,SV-98,2.771,0.148,9677,1417,1506,285
011 圣建（23国庆）,400,100,400,200,0,3,58,AK-47,0.486,0.068,9677,1417,1506,50
011 圣建（23国庆）,400,100,400,200,0,3,61,StG44,0.525,0.070,9677,1417,1506,54
011 圣建（23国庆）,400,100,400,200,0,3,70,FNC,0.729,0.082,9677,1417,1506,75
011 圣建（23国庆）,400,100,400,200,0,3,95,汉阳造88式,0.895,0.091,9677,1417,1506,92
011 圣建（23国庆）,400,100,400,200,0,3,105,OTs-12,0.311,0.055,9677,1417,1506,32
011 圣建（23国庆）,400,100,400,200,0,4,26,MP5,1.947,0.136,9677,2983,3071,194
011 圣建（23国庆）,400,100,400,200,0,4,36,春田,3.312,0.173,9677,2983,3071,330
011 圣建（23国庆）,400,100,400,200,0,4,39,莫辛-纳甘,2.831,0.161,9677,2983,3071,282
011 圣建（23国庆）,400,100,400,200,0,4,42,PTRD,2.329,0.148,9677,2983,3071,232
011 圣建（23国庆）,400,100,400,200,0,4,43,SVD,1.024,0.100,9677,2983,3071,102
011 圣建（23国庆）,400,100,400,200,0,4,60,AS Val,0.642,0.080,9677,2983,3071,64
011 圣建（23国庆）,400,100,400,200,0,4,66,56-1式,0.582,0.076,9677,2983,3071,58
011 圣建（23国庆）,400,100,400,200,0,4,69,FAMAS,0.642,0.080,9677,2983,3071,64
011 圣建（23国庆）,400,100,400,200,0,4,118,9A-91,0.683,0.082,9677,2983,3071,68
011 圣建（23国庆）,400,100,400,200,0,4,184,T-5000,2.289,0.146,9677,2983,3071,228
011 圣建（23国庆）,400,100,400,200,0,4,216,XM8,0.662,0.081,9677,2983,3071,66
011 圣建（23国庆）,400,100,400,200,0,4,235,SPR A3G,2.891,0.163,9677,2983,3071,288
011 圣建（23国庆）,400,100,400,200,0,4,237,SAR-21,0.662,0.081,9677,2983,3071,66
011 圣建（23国庆）,400,100,400,200,0,4,247,K31,1.656,0.126,9677,2983,3071,165
011 圣建（23国庆）,400,100,400,200,0,4,262,EM-2,0.592,0.077,9677,2983,3071,59
011 圣建（23国庆）,400,100,400,200,0,4,270,四式,2.359,0.148,9677,2983,3071,235
011 圣建（23国庆）,400,100,400,200,0,4,288,CR-21,0.693,0.083,9677,2983,3071,69
011 圣建（23国庆）,400,100,400,200,0,4,305,塔布克,2.168,0.143,9677,2983,3071,216
011 圣建（23国庆）,400,100,400,200,0,4,330,FX-05,0.662,0.081,9677,2983,3071,66
011 圣建（23国庆）,400,100,400,200,0,4,349,AK74M,0.723,0.084,9677,2983,3071,72
011 圣建（23国庆）,400,100,400,200,0,4,382,MSBS,0.743,0.086,9677,2983,3071,74
011 圣建（23国庆）,400,100,400,200,0,4,394,CM901,0.733,0.085,9677,2983,3071,73
011 圣建（23国庆）,400,100,400,200,0,5,16,汤姆森,0.508,0.068,9677,1772,1948,54
011 圣建（23国庆）,400,100,400,200,0,5,46,Kar98k,0.837,0.087,9677,1772,1948,89
011 圣建（23国庆）,400,100,400,200,0,5,48,WA2000,0.959,0.093,9677,1772,1948,102
011 圣建（23国庆）,400,100,400,200,0,5,50,李-恩菲尔德,1.109,0.099,9677,1772,1948,118
011 圣建（23国庆）,400,100,400,200,0,5,53,NTW-20,1.231,0.104,9677,1772,1948,131
011 圣建（23国庆）,400,100,400,200,0,5,65,HK416,0.367,0.058,9677,1772,1948,39
011 圣建（23国庆）,400,100,400,200,0,5,122,G11,0.132,0.035,9677,1772,1948,14
011 圣建（23国庆）,400,100,400,200,0,5,128,M99,0.724,0.081,9677,1772,1948,77
011 圣建（23国庆）,400,100,400,200,0,5,148,IWS 2000,0.432,0.063,9677,1772,1948,46
011 圣建（23国庆）,400,100,400,200,0,5,197,卡尔卡诺M1891,0.799,0.085,9677,1772,1948,85
011 圣建（23国庆）,400,100,400,200,0,5,198,卡尔卡诺M91/38,0.461,0.065,9677,1772,1948,49
011 圣建（23国庆）,400,100,400,200,0,5,257,M200,1.072,0.098,9677,1772,1948,114
