event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
011 日常（82式）,30,30,30,30,0,2,2,M1911,9.035,0.207,18372,12999,13055,1667
011 日常（82式）,30,30,30,30,0,2,5,纳甘左轮,8.601,0.203,18372,12999,13055,1587
011 日常（82式）,30,30,30,30,0,2,9,P38,8.915,0.206,18372,12999,13055,1645
011 日常（82式）,30,30,30,30,0,2,10,PPK,8.303,0.200,18372,12999,13055,1532
011 日常（82式）,30,30,30,30,0,2,17,M3,0.271,0.038,18372,12999,13055,50
011 日常（82式）,30,30,30,30,0,2,21,PPSh-41,0.114,0.025,18372,12999,13055,21
011 日常（82式）,30,30,30,30,0,2,24,PP-2000,0.266,0.038,18372,12999,13055,49
011 日常（82式）,30,30,30,30,0,2,25,MP40,0.217,0.034,18372,12999,13055,40
011 日常（82式）,30,30,30,30,0,2,31,伯莱塔38型,0.244,0.036,18372,12999,13055,45
011 日常（82式）,30,30,30,30,0,2,33,m45,0.266,0.038,18372,12999,13055,49
011 日常（82式）,30,30,30,30,0,2,90,FNP-9,8.401,0.201,18372,12999,13055,1550
011 日常（82式）,30,30,30,30,0,2,91,MP-446,8.292,0.200,18372,12999,13055,1530
011 日常（82式）,30,30,30,30,0,2,92,幽灵M4,0.255,0.037,18372,12999,13055,47
011 日常（82式）,30,30,30,30,0,2,93,IDW,0.304,0.041,18372,12999,13055,56
011 日常（82式）,30,30,30,30,0,2,94,64式,0.260,0.038,18372,12999,13055,48
011 日常（82式）,30,30,30,30,0,2,139,布伦·坦,8.449,0.201,18372,12999,13055,1559
011 日常（82式）,30,30,30,30,0,2,141,USP-C,8.563,0.202,18372,12999,13055,1580
011 日常（82式）,30,30,30,30,0,3,3,M9,3.951,0.133,18372,4157,4192,732
011 日常（82式）,30,30,30,30,0,3,6,托卡列夫,1.932,0.098,18372,4157,4192,358
011 日常（82式）,30,30,30,30,0,3,8,马卡洛夫,1.976,0.099,18372,4157,4192,366
011 日常（82式）,30,30,30,30,0,3,11,P08,3.859,0.132,18372,4157,4192,715
011 日常（82式）,30,30,30,30,0,3,12,C96,3.552,0.127,18372,4157,4192,658
011 日常（82式）,30,30,30,30,0,3,13,92式,1.749,0.094,18372,4157,4192,324
011 日常（82式）,30,30,30,30,0,3,14,阿斯特拉左轮,4.005,0.134,18372,4157,4192,742
011 日常（82式）,30,30,30,30,0,3,18,MAC-10,0.146,0.028,18372,4157,4192,27
