event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
013 人形UP（FM24）,800,800,100,400,0,2,17,M3,1.417,0.041,79294,40034,40595,1139
013 人形UP（FM24）,800,800,100,400,0,2,21,PPSh-41,0.740,0.030,79294,40034,40595,595
013 人形UP（FM24）,800,800,100,400,0,2,24,PP-2000,1.399,0.041,79294,40034,40595,1125
013 人形UP（FM24）,800,800,100,400,0,2,25,MP40,1.364,0.041,79294,40034,40595,1097
013 人形UP（FM24）,800,800,100,400,0,2,31,伯莱塔38型,1.364,0.041,79294,40034,40595,1097
013 人形UP（FM24）,800,800,100,400,0,2,33,m45,1.373,0.041,79294,40034,40595,1104
013 人形UP（FM24）,800,800,100,400,0,2,63,G3,1.469,0.042,79294,40034,40595,1181
013 人形UP（FM24）,800,800,100,400,0,2,68,L85A1,1.436,0.042,79294,40034,40595,1155
013 人形UP（FM24）,800,800,100,400,0,2,71,加利尔,1.388,0.041,79294,40034,40595,1116
013 人形UP（FM24）,800,800,100,400,0,2,74,SIG-510,1.436,0.042,79294,40034,40595,1155
013 人形UP（FM24）,800,800,100,400,0,2,81,LWMMG,6.088,0.082,79294,40034,40595,4895
013 人形UP（FM24）,800,800,100,400,0,2,82,DP28,6.243,0.083,79294,40034,40595,5020
013 人形UP（FM24）,800,800,100,400,0,2,87,MG34,6.144,0.082,79294,40034,40595,4940
013 人形UP（FM24）,800,800,100,400,0,2,92,幽灵M4,1.334,0.040,79294,40034,40595,1073
013 人形UP（FM24）,800,800,100,400,0,2,93,IDW,1.441,0.042,79294,40034,40595,1159
013 人形UP（FM24）,800,800,100,400,0,2,94,64式,1.389,0.041,79294,40034,40595,1117
013 人形UP（FM24）,800,800,100,400,0,2,107,F2000,1.414,0.041,79294,40034,40595,1137
013 人形UP（FM24）,800,800,100,400,0,2,110,FG42,6.155,0.082,79294,40034,40595,4949
013 人形UP（FM24）,800,800,100,400,0,2,111,AAT-52,6.098,0.082,79294,40034,40595,4903
013 人形UP（FM24）,800,800,100,400,0,2,133,63式,0.793,0.031,79294,40034,40595,638
013 人形UP（FM24）,800,800,100,400,0,3,18,MAC-10,0.931,0.032,79294,16246,17294,786
013 人形UP（FM24）,800,800,100,400,0,3,22,PPS-43,0.512,0.024,79294,16246,17294,432
013 人形UP（FM24）,800,800,100,400,0,3,27,蝎式,0.942,0.033,79294,16246,17294,795
013 人形UP（FM24）,800,800,100,400,0,3,29,司登MkⅡ,0.977,0.033,79294,16246,17294,825
013 人形UP（FM24）,800,800,100,400,0,3,32,微型乌兹,0.960,0.033,79294,16246,17294,810
013 人形UP（FM24）,800,800,100,400,0,3,58,AK-47,0.836,0.031,79294,16246,17294,706
013 人形UP（FM24）,800,800,100,400,0,3,61,StG44,0.846,0.031,79294,16246,17294,714
013 人形UP（FM24）,800,800,100,400,0,3,70,FNC,0.852,0.031,79294,16246,17294,719
013 人形UP（FM24）,800,800,100,400,0,3,77,M2HB,2.033,0.047,79294,16246,17294,1716
013 人形UP（FM24）,800,800,100,400,0,3,80,M1919A4,3.689,0.060,79294,16246,17294,3114
013 人形UP（FM24）,800,800,100,400,0,3,86,MG42,3.753,0.060,79294,16246,17294,3168
013 人形UP（FM24）,800,800,100,400,0,3,89,布伦,3.753,0.060,79294,16246,17294,3168
013 人形UP（FM24）,800,800,100,400,0,3,105,OTs-12,0.404,0.022,79294,16246,17294,341
013 人形UP（FM24）,800,800,100,400,0,4,23,PP-90,0.253,0.017,79294,16539,17974,218
013 人形UP（FM24）,800,800,100,400,0,4,26,MP5,0.485,0.023,79294,16539,17974,418
013 人形UP（FM24）,800,800,100,400,0,4,60,AS Val,0.266,0.017,79294,16539,17974,229
013 人形UP（FM24）,800,800,100,400,0,4,66,56-1式,0.249,0.017,79294,16539,17974,215
013 人形UP（FM24）,800,800,100,400,0,4,69,FAMAS,0.249,0.017,79294,16539,17974,215
013 人形UP（FM24）,800,800,100,400,0,4,75,M1918,1.461,0.040,79294,16539,17974,1259
013 人形UP（FM24）,800,800,100,400,0,4,78,M60,1.440,0.039,79294,16539,17974,1241
013 人形UP（FM24）,800,800,100,400,0,4,85,PK,1.017,0.034,79294,16539,17974,876
013 人形UP（FM24）,800,800,100,400,0,4,88,MG3,1.405,0.039,79294,16539,17974,1211
013 人形UP（FM24）,800,800,100,400,0,4,101,UMP9,0.339,0.020,79294,16539,17974,292
013 人形UP（FM24）,800,800,100,400,0,4,103,UMP45,0.379,0.021,79294,16539,17974,327
013 人形UP（FM24）,800,800,100,400,0,4,118,9A-91,0.263,0.017,79294,16539,17974,227
013 人形UP（FM24）,800,800,100,400,0,4,121,Mk48,0.369,0.021,79294,16539,17974,318
013 人形UP（FM24）,800,800,100,400,0,4,137,PP-19-01,0.376,0.021,79294,16539,17974,324
013 人形UP（FM24）,800,800,100,400,0,4,149,AEK-999,1.055,0.034,79294,16539,17974,909
013 人形UP（FM24）,800,800,100,400,0,4,150,希普卡,0.414,0.022,79294,16539,17974,357
013 人形UP（FM24）,800,800,100,400,0,4,185,阿梅利,0.739,0.029,79294,16539,17974,637
013 人形UP（FM24）,800,800,100,400,0,4,199,80式,0.733,0.029,79294,16539,17974,632
013 人形UP（FM24）,800,800,100,400,0,4,216,XM8,0.260,0.017,79294,16539,17974,224
013 人形UP（FM24）,800,800,100,400,0,4,237,SAR-21,0.252,0.017,79294,16539,17974,217
013 人形UP（FM24）,800,800,100,400,0,4,262,EM-2,0.275,0.018,79294,16539,17974,237
013 人形UP（FM24）,800,800,100,400,0,4,264,绍沙,1.403,0.039,79294,16539,17974,1209
013 人形UP（FM24）,800,800,100,400,0,4,286,KAC-PDW,0.377,0.021,79294,16539,17974,325
013 人形UP（FM24）,800,800,100,400,0,4,288,CR-21,0.239,0.017,79294,16539,17974,206
013 人形UP（FM24）,800,800,100,400,0,4,304,SAF,0.383,0.021,79294,16539,17974,330
013 人形UP（FM24）,800,800,100,400,0,4,328,AR-57,0.252,0.017,79294,16539,17974,217
013 人形UP（FM24）,800,800,100,400,0,4,330,FX-05,0.261,0.017,79294,16539,17974,225
013 人形UP（FM24）,800,800,100,400,0,4,336,PPD-40,0.258,0.017,79294,16539,17974,222
013 人形UP（FM24）,800,800,100,400,0,4,349,AK74M,0.254,0.017,79294,16539,17974,219
013 人形UP（FM24）,800,800,100,400,0,4,355,维涅龙M2,0.373,0.021,79294,16539,17974,321
013 人形UP（FM24）,800,800,100,400,0,4,363,MPL,0.376,0.021,79294,16539,17974,324
013 人形UP（FM24）,800,800,100,400,0,4,364,MPK,0.408,0.022,79294,16539,17974,352
