event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
014 圣建（24春节）,30,30,30,30,0,2,2,M1911,7.583,0.306,7176,4583,4590,545
014 圣建（24春节）,30,30,30,30,0,2,5,纳甘左轮,8.112,0.315,7176,4583,4590,583
014 圣建（24春节）,30,30,30,30,0,2,9,P38,7.277,0.301,7176,4583,4590,523
014 圣建（24春节）,30,30,30,30,0,2,10,PPK,7.667,0.307,7176,4583,4590,551
014 圣建（24春节）,30,30,30,30,0,2,17,M3,0.278,0.062,7176,4583,4590,20
014 圣建（24春节）,30,30,30,30,0,2,21,PPSh-41,0.097,0.037,7176,4583,4590,7
014 圣建（24春节）,30,30,30,30,0,2,24,PP-2000,0.237,0.057,7176,4583,4590,17
014 圣建（24春节）,30,30,30,30,0,2,25,MP40,0.306,0.065,7176,4583,4590,22
014 圣建（24春节）,30,30,30,30,0,2,31,伯莱塔38型,0.376,0.072,7176,4583,4590,27
014 圣建（24春节）,30,30,30,30,0,2,33,m45,0.348,0.070,7176,4583,4590,25
014 圣建（24春节）,30,30,30,30,0,2,90,FNP-9,7.931,0.312,7176,4583,4590,570
014 圣建（24春节）,30,30,30,30,0,2,91,MP-446,7.945,0.312,7176,4583,4590,571
014 圣建（24春节）,30,30,30,30,0,2,92,幽灵M4,0.320,0.067,7176,4583,4590,23
014 圣建（24春节）,30,30,30,30,0,2,93,IDW,0.167,0.048,7176,4583,4590,12
014 圣建（24春节）,30,30,30,30,0,2,94,64式,0.209,0.054,7176,4583,4590,15
014 圣建（24春节）,30,30,30,30,0,2,139,布伦·坦,7.374,0.302,7176,4583,4590,530
014 圣建（24春节）,30,30,30,30,0,2,141,USP-C,7.639,0.307,7176,4583,4590,549
014 圣建（24春节）,30,30,30,30,0,3,3,M9,3.910,0.209,7176,1585,1638,290
014 圣建（24春节）,30,30,30,30,0,3,6,托卡列夫,2.036,0.159,7176,1585,1638,151
014 圣建（24春节）,30,30,30,30,0,3,8,马卡洛夫,1.807,0.150,7176,1585,1638,134
014 圣建（24春节）,30,30,30,30,0,3,11,P08,3.708,0.205,7176,1585,1638,275
014 圣建（24春节）,30,30,30,30,0,3,12,C96,3.627,0.203,7176,1585,1638,269
014 圣建（24春节）,30,30,30,30,0,3,13,92式,2.036,0.159,7176,1585,1638,151
014 圣建（24春节）,30,30,30,30,0,3,14,阿斯特拉左轮,3.331,0.196,7176,1585,1638,247
014 圣建（24春节）,30,30,30,30,0,3,18,MAC-10,0.202,0.052,7176,1585,1638,15
014 圣建（24春节）,30,30,30,30,0,3,22,PPS-43,0.162,0.047,7176,1585,1638,12
014 圣建（24春节）,30,30,30,30,0,3,27,蝎式,0.175,0.049,7176,1585,1638,13
014 圣建（24春节）,30,30,30,30,0,3,32,微型乌兹,0.243,0.057,7176,1585,1638,18
014 圣建（24春节）,30,30,30,30,0,3,123,P99,0.850,0.105,7176,1585,1638,63
014 圣建（24春节）,30,30,30,30,0,4,1,柯尔特左轮,4.891,0.178,7176,672,697,364
014 圣建（24春节）,30,30,30,30,0,4,26,MP5,0.349,0.067,7176,672,697,26
014 圣建（24春节）,30,30,30,30,0,4,99,Mk23,4.125,0.177,7176,672,697,307
014 圣建（24春节）,30,30,30,30,0,5,16,汤姆森,0.054,0.027,7176,336,348,4
014 圣建（24春节）,30,30,30,30,0,5,96,灰熊MkⅤ,2.180,0.125,7176,336,348,162
014 圣建（24春节）,30,30,30,30,0,5,126,NZ75,0.942,0.101,7176,336,348,70
014 圣建（24春节）,30,30,30,30,0,5,233,Px4 风暴,0.942,0.101,7176,336,348,70
014 圣建（24春节）,30,30,30,30,0,5,260,PA-15,0.565,0.082,7176,336,348,42
014 圣建（24春节）,100,400,400,200,0,2,17,M3,1.622,0.083,22089,7259,7335,362
014 圣建（24春节）,100,400,400,200,0,2,21,PPSh-41,0.856,0.061,22089,7259,7335,191
014 圣建（24春节）,100,400,400,200,0,2,24,PP-2000,1.680,0.085,22089,7259,7335,375
014 圣建（24春节）,100,400,400,200,0,2,25,MP40,1.694,0.085,22089,7259,7335,378
014 圣建（24春节）,100,400,400,200,0,2,31,伯莱塔38型,1.573,0.082,22089,7259,7335,351
