event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
015 日常（FM24）,30,30,30,30,0,2,2,M1911,8.686,0.114,58768,41371,41642,5138
015 日常（FM24）,30,30,30,30,0,2,5,纳甘左轮,8.475,0.112,58768,41371,41642,5013
015 日常（FM24）,30,30,30,30,0,2,9,P38,8.530,0.113,58768,41371,41642,5046
015 日常（FM24）,30,30,30,30,0,2,10,PPK,8.363,0.112,58768,41371,41642,4947
015 日常（FM24）,30,30,30,30,0,2,17,M3,0.286,0.022,58768,41371,41642,169
015 日常（FM24）,30,30,30,30,0,2,21,PPSh-41,0.169,0.017,58768,41371,41642,100
015 日常（FM24）,30,30,30,30,0,2,24,PP-2000,0.238,0.020,58768,41371,41642,141
015 日常（FM24）,30,30,30,30,0,2,25,MP40,0.249,0.020,58768,41371,41642,147
015 日常（FM24）,30,30,30,30,0,2,31,伯莱塔38型,0.277,0.022,58768,41371,41642,164
015 日常（FM24）,30,30,30,30,0,2,33,m45,0.260,0.021,58768,41371,41642,154
015 日常（FM24）,30,30,30,30,0,2,90,FNP-9,8.485,0.112,58768,41371,41642,5019
015 日常（FM24）,30,30,30,30,0,2,91,MP-446,8.351,0.112,58768,41371,41642,4940
015 日常（FM24）,30,30,30,30,0,2,92,幽灵M4,0.264,0.021,58768,41371,41642,156
015 日常（FM24）,30,30,30,30,0,2,93,IDW,0.301,0.023,58768,41371,41642,178
015 日常（FM24）,30,30,30,30,0,2,94,64式,0.276,0.022,58768,41371,41642,163
015 日常（FM24）,30,30,30,30,0,2,139,布伦·坦,8.639,0.113,58768,41371,41642,5110
015 日常（FM24）,30,30,30,30,0,2,141,USP-C,8.549,0.113,58768,41371,41642,5057
015 日常（FM24）,30,30,30,30,0,3,3,M9,3.817,0.073,58768,13538,13988,2318
015 日常（FM24）,30,30,30,30,0,3,6,托卡列夫,2.034,0.055,58768,13538,13988,1235
015 日常（FM24）,30,30,30,30,0,3,8,马卡洛夫,1.869,0.053,58768,13538,13988,1135
015 日常（FM24）,30,30,30,30,0,3,11,P08,3.893,0.073,58768,13538,13988,2364
015 日常（FM24）,30,30,30,30,0,3,12,C96,4.096,0.075,58768,13538,13988,2487
015 日常（FM24）,30,30,30,30,0,3,13,92式,1.879,0.053,58768,13538,13988,1141
015 日常（FM24）,30,30,30,30,0,3,14,阿斯特拉左轮,3.649,0.071,58768,13538,13988,2216
015 日常（FM24）,30,30,30,30,0,3,18,MAC-10,0.249,0.020,58768,13538,13988,151
015 日常（FM24）,30,30,30,30,0,3,22,PPS-43,0.114,0.014,58768,13538,13988,69
015 日常（FM24）,30,30,30,30,0,3,27,蝎式,0.198,0.018,58768,13538,13988,120
015 日常（FM24）,30,30,30,30,0,3,32,微型乌兹,0.209,0.019,58768,13538,13988,127
015 日常（FM24）,30,30,30,30,0,3,123,P99,1.029,0.040,58768,13538,13988,625
015 日常（FM24）,30,30,30,30,0,4,1,柯尔特左轮,2.333,0.042,58768,2481,2521,1393
015 日常（FM24）,30,30,30,30,0,4,26,MP5,0.084,0.012,58768,2481,2521,50
