event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
017 日常（P50）,130,130,130,30,0,2,2,M1911,4.479,0.273,4768,2266,2610,246
017 日常（P50）,130,130,130,30,0,2,5,纳甘左轮,4.152,0.264,4768,2266,2610,228
017 日常（P50）,130,130,130,30,0,2,9,P38,4.953,0.286,4768,2266,2610,272
017 日常（P50）,130,130,130,30,0,2,10,PPK,4.352,0.270,4768,2266,2610,239
017 日常（P50）,130,130,130,30,0,2,17,M3,0.929,0.129,4768,2266,2610,51
017 日常（P50）,130,130,130,30,0,2,21,PPSh-41,0.929,0.129,4768,2266,2610,51
017 日常（P50）,130,130,130,30,0,2,24,PP-2000,1.238,0.149,4768,2266,2610,68
017 日常（P50）,130,130,130,30,0,2,25,MP40,1.293,0.152,4768,2266,2610,71
017 日常（P50）,130,130,130,30,0,2,31,伯莱塔38型,1.129,0.142,4768,2266,2610,62
017 日常（P50）,130,130,130,30,0,2,33,m45,1.184,0.146,4768,2266,2610,65
017 日常（P50）,130,130,130,30,0,2,90,FNP-9,4.680,0.279,4768,2266,2610,257
017 日常（P50）,130,130,130,30,0,2,91,MP-446,4.643,0.278,4768,2266,2610,255
017 日常（P50）,130,130,130,30,0,2,92,幽灵M4,1.329,0.154,4768,2266,2610,73
017 日常（P50）,130,130,130,30,0,2,93,IDW,1.329,0.154,4768,2266,2610,73
017 日常（P50）,130,130,130,30,0,2,94,64式,1.311,0.153,4768,2266,2610,72
017 日常（P50）,130,130,130,30,0,2,139,布伦·坦,4.516,0.274,4768,2266,2610,248
017 日常（P50）,130,130,130,30,0,2,141,USP-C,5.080,0.289,4768,2266,2610,279
017 日常（P50）,130,130,130,30,0,3,3,M9,3.179,0.216,4768,1140,1429,190
017 日常（P50）,130,130,130,30,0,3,6,托卡列夫,1.958,0.174,4768,1140,1429,117
017 日常（P50）,130,130,130,30,0,3,8,马卡洛夫,1.757,0.166,4768,1140,1429,105
017 日常（P50）,130,130,130,30,0,3,11,P08,2.878,0.207,4768,1140,1429,172
017 日常（P50）,130,130,130,30,0,3,12,C96,3.179,0.216,4768,1140,1429,190
017 日常（P50）,130,130,130,30,0,3,13,92式,2.175,0.183,4768,1140,1429,130
017 日常（P50）,130,130,130,30,0,3,14,阿斯特拉左轮,2.995,0.211,4768,1140,1429,179
017 日常（P50）,130,130,130,30,0,3,18,MAC-10,1.054,0.131,4768,1140,1429,63
017 日常（P50）,130,130,130,30,0,3,22,PPS-43,0.803,0.115,4768,1140,1429,48
017 日常（P50）,130,130,130,30,0,3,27,蝎式,1.154,0.136,4768,1140,1429,69
017 日常（P50）,130,130,130,30,0,3,32,微型乌兹,1.506,0.155,4768,1140,1429,90
017 日常（P50）,130,130,130,30,0,3,123,P99,1.272,0.143,4768,1140,1429,76
017 日常（P50）,130,130,130,30,0,4,1,柯尔特左轮,2.485,0.198,4768,957,1131,140
017 日常（P50）,130,130,130,30,0,4,7,斯捷奇金,1.650,0.165,4768,957,1131,93
017 日常（P50）,130,130,130,30,0,4,26,MP5,0.976,0.129,4768,957,1131,55
017 日常（P50）,130,130,130,30,0,4,99,Mk23,1.650,0.165,4768,957,1131,93
017 日常（P50）,130,130,130,30,0,4,100,P7,2.183,0.187,4768,957,1131,123
017 日常（P50）,130,130,130,30,0,4,168,喷火,1.633,0.164,4768,957,1131,92
017 日常（P50）,130,130,130,30,0,4,212,K5,0.834,0.120,4768,957,1131,47
017 日常（P50）,130,130,130,30,0,4,248,杰里科,1.650,0.165,4768,957,1131,93
017 日常（P50）,130,130,130,30,0,4,269,P30,1.366,0.151,4768,957,1131,77
017 日常（P50）,130,130,130,30,0,4,310,Rex-0-1,0.799,0.117,4768,957,1131,45
017 日常（P50）,130,130,130,30,0,4,346,CZ 100,1.739,0.169,4768,957,1131,98
017 日常（P50）,130,130,130,30,0,4,354,ZiP .22,1.881,0.175,4768,957,1131,106
017 日常（P50）,130,130,130,30,0,4,379,P10C,1.225,0.144,4768,957,1131,69
017 日常（P50）,130,130,130,30,0,5,16,汤姆森,0.514,0.090,4768,405,512,31
017 日常（P50）,130,130,130,30,0,5,96,灰熊MkⅤ,1.526,0.145,4768,405,512,92
017 日常（P50）,130,130,130,30,0,5,97,M950A,0.498,0.088,4768,405,512,30
017 日常（P50）,130,130,130,30,0,5,114,维尔德MkⅡ,1.045,0.124,4768,405,512,63
017 日常（P50）,130,130,130,30,0,5,126,NZ75,0.730,0.106,4768,405,512,44
017 日常（P50）,130,130,130,30,0,5,183,竞争者,0.348,0.075,4768,405,512,21
017 日常（P50）,130,130,130,30,0,5,233,Px4 风暴,0.730,0.106,4768,405,512,44
017 日常（P50）,130,130,130,30,0,5,260,PA-15,0.282,0.067,4768,405,512,17
017 日常（P50）,130,130,130,30,0,5,285,C-93,0.348,0.075,4768,405,512,21
017 日常（P50）,130,130,130,30,0,5,303,HP-35,0.630,0.099,4768,405,512,38
017 日常（P50）,130,130,130,30,0,5,375,柯尔特沃克,0.415,0.081,4768,405,512,25
017 日常（P50）,130,130,130,30,0,5,400,柯尔特M1851N,1.427,0.141,4768,405,512,86
017 日常（P50）,400,100,400,200,0,2,17,M3,1.189,0.128,6332,2510,2801,84
017 日常（P50）,400,100,400,200,0,2,21,PPSh-41,0.722,0.101,6332,2510,2801,51
017 日常（P50）,400,100,400,200,0,2,24,PP-2000,0.934,0.114,6332,2510,2801,66
017 日常（P50）,400,100,400,200,0,2,25,MP40,0.934,0.114,6332,2510,2801,66
017 日常（P50）,400,100,400,200,0,2,31,伯莱塔38型,1.274,0.133,6332,2510,2801,90
017 日常（P50）,400,100,400,200,0,2,33,m45,1.019,0.119,6332,2510,2801,72
017 日常（P50）,400,100,400,200,0,2,40,SVT-38,4.628,0.242,6332,2510,2801,327
017 日常（P50）,400,100,400,200,0,2,41,西蒙诺夫,4.316,0.235,6332,2510,2801,305
017 日常（P50）,400,100,400,200,0,2,47,G43,4.033,0.228,6332,2510,2801,285
017 日常（P50）,400,100,400,200,0,2,51,FN-49,4.401,0.237,6332,2510,2801,311
017 日常（P50）,400,100,400,200,0,2,52,BM59,4.557,0.240,6332,2510,2801,322
017 日常（P50）,400,100,400,200,0,2,63,G3,1.670,0.151,6332,2510,2801,118
017 日常（P50）,400,100,400,200,0,2,68,L85A1,1.543,0.146,6332,2510,2801,109
017 日常（P50）,400,100,400,200,0,2,71,加利尔,1.373,0.138,6332,2510,2801,97
017 日常（P50）,400,100,400,200,0,2,74,SIG-510,1.514,0.144,6332,2510,2801,107
017 日常（P50）,400,100,400,200,0,2,92,幽灵M4,1.175,0.128,6332,2510,2801,83
017 日常（P50）,400,100,400,200,0,2,93,IDW,1.061,0.122,6332,2510,2801,75
017 日常（P50）,400,100,400,200,0,2,94,64式,0.991,0.117,6332,2510,2801,70
017 日常（P50）,400,100,400,200,0,2,107,F2000,1.472,0.142,6332,2510,2801,104
017 日常（P50）,400,100,400,200,0,2,133,63式,0.835,0.108,6332,2510,2801,59
017 日常（P50）,400,100,400,200,0,3,18,MAC-10,0.862,0.103,6332,1233,1536,68
017 日常（P50）,400,100,400,200,0,3,22,PPS-43,0.520,0.080,6332,1233,1536,41
017 日常（P50）,400,100,400,200,0,3,27,蝎式,0.900,0.105,6332,1233,1536,71
017 日常（P50）,400,100,400,200,0,3,32,微型乌兹,0.913,0.106,6332,1233,1536,72
017 日常（P50）,400,100,400,200,0,3,34,M1加兰德,3.499,0.192,6332,1233,1536,276
017 日常（P50）,400,100,400,200,0,3,37,M14,3.486,0.191,6332,1233,1536,275
017 日常（P50）,400,100,400,200,0,3,44,SV-98,3.461,0.191,6332,1233,1536,273
017 日常（P50）,400,100,400,200,0,3,58,AK-47,1.242,0.122,6332,1233,1536,98
017 日常（P50）,400,100,400,200,0,3,61,StG44,1.040,0.112,6332,1233,1536,82
017 日常（P50）,400,100,400,200,0,3,70,FNC,1.090,0.115,6332,1233,1536,86
017 日常（P50）,400,100,400,200,0,3,95,汉阳造88式,1.559,0.136,6332,1233,1536,123
017 日常（P50）,400,100,400,200,0,3,105,OTs-12,0.900,0.105,6332,1233,1536,71
017 日常（P50）,400,100,400,200,0,4,26,MP5,0.726,0.099,6332,1499,1729,53
017 日常（P50）,400,100,400,200,0,4,36,春田,2.287,0.169,6332,1499,1729,167
017 日常（P50）,400,100,400,200,0,4,39,莫辛-纳甘,2.067,0.162,6332,1499,1729,151
017 日常（P50）,400,100,400,200,0,4,42,PTRD,1.944,0.157,6332,1499,1729,142
017 日常（P50）,400,100,400,200,0,4,43,SVD,0.794,0.103,6332,1499,1729,58
017 日常（P50）,400,100,400,200,0,4,60,AS Val,0.739,0.100,6332,1499,1729,54
017 日常（P50）,400,100,400,200,0,4,66,56-1式,0.630,0.092,6332,1499,1729,46
017 日常（P50）,400,100,400,200,0,4,69,FAMAS,0.698,0.097,6332,1499,1729,51
017 日常（P50）,400,100,400,200,0,4,118,9A-91,0.644,0.093,6332,1499,1729,47
017 日常（P50）,400,100,400,200,0,4,184,T-5000,1.711,0.148,6332,1499,1729,125
017 日常（P50）,400,100,400,200,0,4,216,XM8,0.397,0.073,6332,1499,1729,29
017 日常（P50）,400,100,400,200,0,4,235,SPR A3G,2.040,0.161,6332,1499,1729,149
017 日常（P50）,400,100,400,200,0,4,237,SAR-21,0.479,0.081,6332,1499,1729,35
017 日常（P50）,400,100,400,200,0,4,247,K31,1.506,0.140,6332,1499,1729,110
017 日常（P50）,400,100,400,200,0,4,262,EM-2,0.630,0.092,6332,1499,1729,46
017 日常（P50）,400,100,400,200,0,4,270,四式,1.766,0.150,6332,1499,1729,129
017 日常（P50）,400,100,400,200,0,4,288,CR-21,0.616,0.091,6332,1499,1729,45
017 日常（P50）,400,100,400,200,0,4,305,塔布克,1.520,0.140,6332,1499,1729,111
017 日常（P50）,400,100,400,200,0,4,330,FX-05,0.644,0.093,6332,1499,1729,47
017 日常（P50）,400,100,400,200,0,4,349,AK74M,0.616,0.091,6332,1499,1729,45
017 日常（P50）,400,100,400,200,0,4,382,MSBS,0.671,0.095,6332,1499,1729,49
017 日常（P50）,400,100,400,200,0,4,394,CM901,0.548,0.086,6332,1499,1729,40
017 日常（P50）,400,100,400,200,0,5,16,汤姆森,0.471,0.079,6332,1090,1279,35
017 日常（P50）,400,100,400,200,0,5,46,Kar98k,0.659,0.093,6332,1090,1279,49
017 日常（P50）,400,100,400,200,0,5,48,WA2000,1.117,0.119,6332,1090,1279,83
017 日常（P50）,400,100,400,200,0,5,50,李-恩菲尔德,0.713,0.096,6332,1090,1279,53
017 日常（P50）,400,100,400,200,0,5,53,NTW-20,1.117,0.119,6332,1090,1279,83
017 日常（P50）,400,100,400,200,0,5,65,HK416,0.283,0.061,6332,1090,1279,21
017 日常（P50）,400,100,400,200,0,5,122,G11,0.121,0.040,6332,1090,1279,9
017 日常（P50）,400,100,400,200,0,5,128,M99,0.229,0.055,6332,1090,1279,17
017 日常（P50）,400,100,400,200,0,5,148,IWS 2000,0.310,0.064,6332,1090,1279,23
017 日常（P50）,400,100,400,200,0,5,197,卡尔卡诺M1891,0.740,0.098,6332,1090,1279,55
017 日常（P50）,400,100,400,200,0,5,198,卡尔卡诺M91/38,0.458,0.078,6332,1090,1279,34
017 日常（P50）,400,100,400,200,0,5,257,M200,1.063,0.116,6332,1090,1279,79
017 日常（P50）,400,100,400,200,0,5,261,QBU-88,0.875,0.106,6332,1090,1279,65
017 日常（P50）,400,100,400,200,0,5,312,VSK-94,0.848,0.105,6332,1090,1279,63
017 日常（P50）,400,100,400,200,0,5,329,SVCh,0.794,0.101,6332,1090,1279,59
017 日常（P50）,400,100,400,200,0,5,337,德利尔,0.875,0.106,6332,1090,1279,65
017 日常（P50）,400,100,400,200,0,5,338,SIG MCX,0.323,0.066,6332,1090,1279,24
017 日常（P50）,400,100,400,200,0,5,348,HS.50,1.023,0.114,6332,1090,1279,76
017 日常（P50）,400,100,400,200,0,5,356,A-545,0.215,0.054,6332,1090,1279,16
017 日常（P50）,400,100,400,200,0,5,365,SCR,0.256,0.058,6332,1090,1279,19
017 日常（P50）,400,100,400,200,0,5,377,SCAR-H,0.592,0.088,6332,1090,1279,44
017 日常（P50）,400,100,400,200,0,5,378,SCAR-L,0.067,0.030,6332,1090,1279,5
017 日常（P50）,400,100,400,200,0,5,381,M110,0.942,0.110,6332,1090,1279,70
017 日常（P50）,400,100,400,200,0,5,388,QBU-191,0.875,0.106,6332,1090,1279,65
017 日常（P50）,400,100,400,200,0,5,389,博斯,0.727,0.097,6332,1090,1279,54
017 日常（P50）,400,100,400,200,0,5,390,HK433,0.283,0.061,6332,1090,1279,21
017 日常（P50）,400,100,400,200,0,5,393,贝奥武夫,0.188,0.050,6332,1090,1279,14
017 日常（P50）,400,100,400,200,0,5,402,马提尼亨利,1.050,0.116,6332,1090,1279,78
017 日常（P50）,400,400,100,200,0,2,17,M3,2.500,0.189,5623,1941,2264,164
017 日常（P50）,400,400,100,200,0,2,21,PPSh-41,2.409,0.186,5623,1941,2264,158
017 日常（P50）,400,400,100,200,0,2,24,PP-2000,2.790,0.199,5623,1941,2264,183
017 日常（P50）,400,400,100,200,0,2,25,MP40,2.607,0.193,5623,1941,2264,171
017 日常（P50）,400,400,100,200,0,2,31,伯莱塔38型,2.790,0.199,5623,1941,2264,183
017 日常（P50）,400,400,100,200,0,2,33,m45,2.836,0.200,5623,1941,2264,186
017 日常（P50）,400,400,100,200,0,2,63,G3,1.967,0.169,5623,1941,2264,129
017 日常（P50）,400,400,100,200,0,2,68,L85A1,1.738,0.160,5623,1941,2264,114
017 日常（P50）,400,400,100,200,0,2,71,加利尔,1.662,0.156,5623,1941,2264,109
017 日常（P50）,400,400,100,200,0,2,74,SIG-510,1.403,0.144,5623,1941,2264,92
