event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
021 日常（XM556）,30,30,30,30,0,2,2,M1911,8.800,0.331,7015,4838,4867,621
021 日常（XM556）,30,30,30,30,0,2,5,纳甘左轮,8.445,0.325,7015,4838,4867,596
021 日常（XM556）,30,30,30,30,0,2,9,P38,8.403,0.324,7015,4838,4867,593
021 日常（XM556）,30,30,30,30,0,2,10,PPK,8.460,0.325,7015,4838,4867,597
021 日常（XM556）,30,30,30,30,0,2,17,M3,0.213,0.055,7015,4838,4867,15
021 日常（XM556）,30,30,30,30,0,2,21,PPSh-41,0.156,0.047,7015,4838,4867,11
021 日常（XM556）,30,30,30,30,0,2,24,PP-2000,0.184,0.051,7015,4838,4867,13
021 日常（XM556）,30,30,30,30,0,2,25,MP40,0.255,0.060,7015,4838,4867,18
021 日常（XM556）,30,30,30,30,0,2,31,伯莱塔38型,0.198,0.053,7015,4838,4867,14
021 日常（XM556）,30,30,30,30,0,2,33,m45,0.269,0.062,7015,4838,4867,19
021 日常（XM556）,30,30,30,30,0,2,90,FNP-9,8.375,0.324,7015,4838,4867,591
021 日常（XM556）,30,30,30,30,0,2,91,MP-446,8.006,0.318,7015,4838,4867,565
021 日常（XM556）,30,30,30,30,0,2,92,幽灵M4,0.255,0.060,7015,4838,4867,18
021 日常（XM556）,30,30,30,30,0,2,93,IDW,0.326,0.068,7015,4838,4867,23
021 日常（XM556）,30,30,30,30,0,2,94,64式,0.269,0.062,7015,4838,4867,19
021 日常（XM556）,30,30,30,30,0,2,139,布伦·坦,8.630,0.328,7015,4838,4867,609
021 日常（XM556）,30,30,30,30,0,2,141,USP-C,7.723,0.313,7015,4838,4867,545
021 日常（XM556）,30,30,30,30,0,3,3,M9,3.761,0.210,7015,1620,1670,272
021 日常（XM556）,30,30,30,30,0,3,6,托卡列夫,1.950,0.158,7015,1620,1670,141
021 日常（XM556）,30,30,30,30,0,3,8,马卡洛夫,1.950,0.158,7015,1620,1670,141
021 日常（XM556）,30,30,30,30,0,3,11,P08,4.107,0.217,7015,1620,1670,297
021 日常（XM556）,30,30,30,30,0,3,12,C96,3.665,0.207,7015,1620,1670,265
021 日常（XM556）,30,30,30,30,0,3,13,92式,2.130,0.164,7015,1620,1670,154
021 日常（XM556）,30,30,30,30,0,3,14,阿斯特拉左轮,3.582,0.205,7015,1620,1670,259
021 日常（XM556）,30,30,30,30,0,3,18,MAC-10,0.263,0.060,7015,1620,1670,19
021 日常（XM556）,30,30,30,30,0,3,22,PPS-43,0.097,0.037,7015,1620,1670,7
021 日常（XM556）,30,30,30,30,0,3,27,蝎式,0.180,0.050,7015,1620,1670,13
021 日常（XM556）,30,30,30,30,0,3,32,微型乌兹,0.194,0.052,7015,1620,1670,14
021 日常（XM556）,30,30,30,30,0,3,123,P99,1.217,0.127,7015,1620,1670,88
021 日常（XM556）,30,30,30,30,0,4,1,柯尔特左轮,2.053,0.123,7015,299,299,144
021 日常（XM556）,30,30,30,30,0,4,26,MP5,0.157,0.046,7015,299,299,11
021 日常（XM556）,30,30,30,30,0,4,99,Mk23,2.053,0.123,7015,299,299,144
021 日常（XM556）,30,30,30,30,0,5,16,汤姆森,0.028,0.020,7015,258,262,2
021 日常（XM556）,30,30,30,30,0,5,96,灰熊MkⅤ,1.123,0.105,7015,258,262,80
021 日常（XM556）,30,30,30,30,0,5,126,NZ75,0.505,0.078,7015,258,262,36
021 日常（XM556）,30,30,30,30,0,5,233,Px4 风暴,0.576,0.083,7015,258,262,41
021 日常（XM556）,30,30,30,30,0,5,260,PA-15,0.323,0.064,7015,258,262,23
021 日常（XM556）,30,30,30,30,0,5,400,柯尔特M1851N,1.123,0.105,7015,258,262,80
021 日常（XM556）,100,400,400,200,0,2,17,M3,1.885,0.116,13475,6629,6654,255
021 日常（XM556）,100,400,400,200,0,2,21,PPSh-41,0.880,0.080,13475,6629,6654,119
021 日常（XM556）,100,400,400,200,0,2,24,PP-2000,1.789,0.113,13475,6629,6654,242
021 日常（XM556）,100,400,400,200,0,2,25,MP40,1.767,0.113,13475,6629,6654,239
021 日常（XM556）,100,400,400,200,0,2,31,伯莱塔38型,1.760,0.112,13475,6629,6654,238
021 日常（XM556）,100,400,400,200,0,2,33,m45,1.604,0.107,13475,6629,6654,217
021 日常（XM556）,100,400,400,200,0,2,63,G3,6.550,0.206,13475,6629,6654,886
021 日常（XM556）,100,400,400,200,0,2,68,L85A1,6.388,0.203,13475,6629,6654,864
021 日常（XM556）,100,400,400,200,0,2,71,加利尔,6.262,0.202,13475,6629,6654,847
021 日常（XM556）,100,400,400,200,0,2,74,SIG-510,5.974,0.198,13475,6629,6654,808
021 日常（XM556）,100,400,400,200,0,2,92,幽灵M4,1.811,0.114,13475,6629,6654,245
021 日常（XM556）,100,400,400,200,0,2,93,IDW,1.627,0.108,13475,6629,6654,220
021 日常（XM556）,100,400,400,200,0,2,94,64式,1.641,0.109,13475,6629,6654,222
021 日常（XM556）,100,400,400,200,0,2,107,F2000,5.885,0.196,13475,6629,6654,796
021 日常（XM556）,100,400,400,200,0,2,133,63式,3.371,0.153,13475,6629,6654,456
021 日常（XM556）,100,400,400,200,0,3,18,MAC-10,1.245,0.092,13475,2630,2727,174
021 日常（XM556）,100,400,400,200,0,3,22,PPS-43,0.737,0.071,13475,2630,2727,103
021 日常（XM556）,100,400,400,200,0,3,27,蝎式,1.346,0.095,13475,2630,2727,188
021 日常（XM556）,100,400,400,200,0,3,32,微型乌兹,1.467,0.099,13475,2630,2727,205
021 日常（XM556）,100,400,400,200,0,3,58,AK-47,4.230,0.155,13475,2630,2727,591
021 日常（XM556）,100,400,400,200,0,3,61,StG44,4.223,0.154,13475,2630,2727,590
021 日常（XM556）,100,400,400,200,0,3,70,FNC,4.015,0.152,13475,2630,2727,561
021 日常（XM556）,100,400,400,200,0,3,105,OTs-12,2.255,0.120,13475,2630,2727,315
