event,mp,ammo,mre,part,input_level,rank,gun_id,name,rank_total,rank_count,gun_total,gun_count,mean,stdev
003日常（玛姬）,1000,1000,1000,1000,1,3,18,MAC-10,7064,3659,3738,412,0.0570912613,0.0026645321
003日常（玛姬）,1000,1000,1000,1000,1,3,22,PPS-43,7064,3659,3738,434,0.0601398238,0.0027257277
003日常（玛姬）,1000,1000,1000,1000,1,3,27,蝎式,7064,3659,3738,444,0.0615255340,0.0027527944
003日常（玛姬）,1000,1000,1000,1000,1,3,32,微型乌兹,7064,3659,3738,437,0.0605555369,0.0027338956
003日常（玛姬）,1000,1000,1000,1000,1,3,58,AK-47,7064,3659,3738,237,0.0328413324,0.0020731610
003日常（玛姬）,1000,1000,1000,1000,1,3,61,StG44,7064,3659,3738,215,0.0297927699,0.0019807631
003日常（玛姬）,1000,1000,1000,1000,1,3,70,FNC,7064,3659,3738,222,0.0307627670,0.0020107578
003日常（玛姬）,1000,1000,1000,1000,1,3,105,OTs-12,7064,3659,3738,240,0.0332570454,0.0020853509
003日常（玛姬）,1000,1000,1000,1000,1,3,116,Z-62,7064,3659,3738,423,0.0586155426,0.0026954194
003日常（玛姬）,1000,1000,1000,1000,1,3,120,ARX-160,7064,3659,3738,241,0.0333956164,0.0020893934
003日常（玛姬）,1000,1000,1000,1000,1,3,178,F1,7064,3659,3738,433,0.0600012528,0.0027229958
003日常（玛姬）,1000,1000,1000,1000,1,4,26,MP5,7064,2612,2638,637,0.0892867722,0.0030967090
003日常（玛姬）,1000,1000,1000,1000,1,4,60,AS Val,7064,2612,2638,194,0.0271925178,0.0018877402
003日常（玛姬）,1000,1000,1000,1000,1,4,66,56-1式,7064,2612,2638,193,0.0270523501,0.0018832520
003日常（玛姬）,1000,1000,1000,1000,1,4,69,FAMAS,7064,2612,2638,190,0.0266318473,0.0018696986
003日常（玛姬）,1000,1000,1000,1000,1,4,118,9A-91,7064,2612,2638,208,0.0291548644,0.0019490882
003日常（玛姬）,1000,1000,1000,1000,1,4,216,XM8,7064,2612,2638,207,0.0290146968,0.0019447954
