event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
003 日常（M110）,1000,1000,1000,1000,1,3,18,MAC-10,5.930,0.284,6459,3298,3358,390
003 日常（M110）,1000,1000,1000,1000,1,3,22,PPS-43,5.915,0.283,6459,3298,3358,389
003 日常（M110）,1000,1000,1000,1000,1,3,27,蝎式,6.128,0.288,6459,3298,3358,403
003 日常（M110）,1000,1000,1000,1000,1,3,32,微型乌兹,5.717,0.279,6459,3298,3358,376
003 日常（M110）,1000,1000,1000,1000,1,3,58,AK-47,3.421,0.221,6459,3298,3358,225
003 日常（M110）,1000,1000,1000,1000,1,3,61,StG44,2.950,0.206,6459,3298,3358,194
003 日常（M110）,1000,1000,1000,1000,1,3,70,FNC,2.843,0.203,6459,3298,3358,187
003 日常（M110）,1000,1000,1000,1000,1,3,105,OTs-12,3.345,0.219,6459,3298,3358,220
003 日常（M110）,1000,1000,1000,1000,1,3,116,Z-62,5.733,0.279,6459,3298,3358,377
003 日常（M110）,1000,1000,1000,1000,1,3,120,ARX-160,3.224,0.215,6459,3298,3358,212
003 日常（M110）,1000,1000,1000,1000,1,3,178,F1,5.854,0.282,6459,3298,3358,385
003 日常（M110）,1000,1000,1000,1000,1,4,26,MP5,9.340,0.333,6459,2523,2526,604
003 日常（M110）,1000,1000,1000,1000,1,4,60,AS Val,2.737,0.199,6459,2523,2526,177
003 日常（M110）,1000,1000,1000,1000,1,4,66,56-1式,2.428,0.189,6459,2523,2526,157
003 日常（M110）,1000,1000,1000,1000,1,4,69,FAMAS,3.186,0.214,6459,2523,2526,206
003 日常（M110）,1000,1000,1000,1000,1,4,118,9A-91,2.938,0.206,6459,2523,2526,190
003 日常（M110）,1000,1000,1000,1000,1,4,216,XM8,2.706,0.198,6459,2523,2526,175
003 日常（M110）,1000,1000,1000,1000,1,4,237,SAR-21,2.273,0.183,6459,2523,2526,147
003 日常（M110）,1000,1000,1000,1000,1,4,262,EM-2,2.799,0.201,6459,2523,2526,181
003 日常（M110）,1000,1000,1000,1000,1,4,288,CR-21,2.675,0.197,6459,2523,2526,173
003 日常（M110）,1000,1000,1000,1000,1,4,330,FX-05,2.505,0.191,6459,2523,2526,162
003 日常（M110）,1000,1000,1000,1000,1,4,349,AK74M,2.505,0.191,6459,2523,2526,162
003 日常（M110）,1000,1000,1000,1000,1,4,382,MSBS,2.969,0.207,6459,2523,2526,192
003 日常（M110）,1000,1000,1000,1000,1,5,16,汤姆森,3.957,0.189,6459,638,664,266
003 日常（M110）,1000,1000,1000,1000,1,5,65,HK416,1.116,0.122,6459,638,664,75
