event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
007 日常（82式）,8000,1000,8000,4000,1,3,18,MAC-10,1.594,0.230,2885,864,864,46
007 日常（82式）,8000,1000,8000,4000,1,3,22,PPS-43,1.560,0.228,2885,864,864,45
007 日常（82式）,8000,1000,8000,4000,1,3,27,蝎式,1.698,0.237,2885,864,864,49
007 日常（82式）,8000,1000,8000,4000,1,3,32,微型乌兹,1.906,0.250,2885,864,864,55
007 日常（82式）,8000,1000,8000,4000,1,3,34,M1加兰德,1.282,0.208,2885,864,864,37
007 日常（82式）,8000,1000,8000,4000,1,3,37,M14,1.144,0.197,2885,864,864,33
007 日常（82式）,8000,1000,8000,4000,1,3,44,SV-98,1.282,0.208,2885,864,864,37
007 日常（82式）,8000,1000,8000,4000,1,3,58,AK-47,0.624,0.146,2885,864,864,18
007 日常（82式）,8000,1000,8000,4000,1,3,61,StG44,0.763,0.162,2885,864,864,22
007 日常（82式）,8000,1000,8000,4000,1,3,70,FNC,1.040,0.188,2885,864,864,30
007 日常（82式）,8000,1000,8000,4000,1,3,95,汉阳造88式,0.693,0.154,2885,864,864,20
007 日常（82式）,8000,1000,8000,4000,1,3,105,OTs-12,0.728,0.158,2885,864,864,21
007 日常（82式）,8000,1000,8000,4000,1,3,116,Z-62,1.664,0.235,2885,864,864,48
007 日常（82式）,8000,1000,8000,4000,1,3,120,ARX-160,0.693,0.154,2885,864,864,20
007 日常（82式）,8000,1000,8000,4000,1,3,145,OTs-44,1.594,0.230,2885,864,864,46
007 日常（82式）,8000,1000,8000,4000,1,3,152,M1897,2.426,0.280,2885,864,864,70
007 日常（82式）,8000,1000,8000,4000,1,3,154,M500,2.010,0.257,2885,864,864,58
007 日常（82式）,8000,1000,8000,4000,1,3,158,KS-23,1.768,0.242,2885,864,864,51
007 日常（82式）,8000,1000,8000,4000,1,3,159,RMB-93,2.010,0.257,2885,864,864,58
007 日常（82式）,8000,1000,8000,4000,1,3,178,F1,1.525,0.226,2885,864,864,44
007 日常（82式）,8000,1000,8000,4000,1,3,190,NS2000,1.941,0.253,2885,864,864,56
007 日常（82式）,8000,1000,8000,4000,1,4,26,MP5,2.842,0.306,2885,1359,1359,82
007 日常（82式）,8000,1000,8000,4000,1,4,36,春田,1.075,0.192,2885,1359,1359,31
007 日常（82式）,8000,1000,8000,4000,1,4,39,莫辛-纳甘,0.936,0.179,2885,1359,1359,27
007 日常（82式）,8000,1000,8000,4000,1,4,42,PTRD,1.040,0.189,2885,1359,1359,30
007 日常（82式）,8000,1000,8000,4000,1,4,43,SVD,0.208,0.085,2885,1359,1359,6
007 日常（82式）,8000,1000,8000,4000,1,4,60,AS Val,0.659,0.151,2885,1359,1359,19
007 日常（82式）,8000,1000,8000,4000,1,4,66,56-1式,0.797,0.166,2885,1359,1359,23
007 日常（82式）,8000,1000,8000,4000,1,4,69,FAMAS,1.005,0.186,2885,1359,1359,29
007 日常（82式）,8000,1000,8000,4000,1,4,117,PSG-1,0.451,0.125,2885,1359,1359,13
007 日常（82式）,8000,1000,8000,4000,1,4,118,9A-91,0.659,0.151,2885,1359,1359,19
007 日常（82式）,8000,1000,8000,4000,1,4,146,G28,0.832,0.169,2885,1359,1359,24
007 日常（82式）,8000,1000,8000,4000,1,4,153,M37,2.045,0.262,2885,1359,1359,59
007 日常（82式）,8000,1000,8000,4000,1,4,155,M590,3.328,0.330,2885,1359,1359,96
007 日常（82式）,8000,1000,8000,4000,1,4,156,超级肖蒂,1.179,0.201,2885,1359,1359,34
007 日常（82式）,8000,1000,8000,4000,1,4,162,SPAS-12,2.565,0.292,2885,1359,1359,74
007 日常（82式）,8000,1000,8000,4000,1,4,165,M1014,2.322,0.278,2885,1359,1359,67
007 日常（82式）,8000,1000,8000,4000,1,4,180,PzB39,0.381,0.115,2885,1359,1359,11
007 日常（82式）,8000,1000,8000,4000,1,4,184,T-5000,0.728,0.159,2885,1359,1359,21
007 日常（82式）,8000,1000,8000,4000,1,4,189,USAS-12,1.386,0.217,2885,1359,1359,40
007 日常（82式）,8000,1000,8000,4000,1,4,216,XM8,0.485,0.130,2885,1359,1359,14
007 日常（82式）,8000,1000,8000,4000,1,4,235,SPR A3G,0.936,0.179,2885,1359,1359,27
007 日常（82式）,8000,1000,8000,4000,1,4,237,SAR-21,0.416,0.120,2885,1359,1359,12
007 日常（82式）,8000,1000,8000,4000,1,4,247,K31,0.763,0.162,2885,1359,1359,22
007 日常（82式）,8000,1000,8000,4000,1,4,262,EM-2,1.179,0.201,2885,1359,1359,34
007 日常（82式）,8000,1000,8000,4000,1,4,270,四式,0.659,0.151,2885,1359,1359,19
007 日常（82式）,8000,1000,8000,4000,1,4,283,解放者,2.461,0.286,2885,1359,1359,71
007 日常（82式）,8000,1000,8000,4000,1,4,288,CR-21,0.797,0.166,2885,1359,1359,23
007 日常（82式）,8000,1000,8000,4000,1,4,305,塔布克,0.555,0.139,2885,1359,1359,16
007 日常（82式）,8000,1000,8000,4000,1,4,325,V-PM5,2.738,0.301,2885,1359,1359,79
007 日常（82式）,8000,1000,8000,4000,1,4,326,HK512,1.664,0.237,2885,1359,1359,48
007 日常（82式）,8000,1000,8000,4000,1,4,330,FX-05,0.381,0.115,2885,1359,1359,11
007 日常（82式）,8000,1000,8000,4000,1,4,349,AK74M,0.589,0.143,2885,1359,1359,17
007 日常（82式）,8000,1000,8000,4000,1,4,352,新星,2.530,0.290,2885,1359,1359,73
