event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
009 人形UP（FM24）,6000,1000,6000,4000,1,3,18,MAC-10,1.833,0.217,3624,1107,1133,68
009 人形UP（FM24）,6000,1000,6000,4000,1,3,22,PPS-43,1.914,0.221,3624,1107,1133,71
009 人形UP（FM24）,6000,1000,6000,4000,1,3,27,蝎式,1.941,0.223,3624,1107,1133,72
009 人形UP（FM24）,6000,1000,6000,4000,1,3,32,微型乌兹,2.453,0.248,3624,1107,1133,91
009 人形UP（FM24）,6000,1000,6000,4000,1,3,34,M1加兰德,1.564,0.201,3624,1107,1133,58
009 人形UP（FM24）,6000,1000,6000,4000,1,3,37,M14,1.699,0.209,3624,1107,1133,63
009 人形UP（FM24）,6000,1000,6000,4000,1,3,44,SV-98,1.537,0.200,3624,1107,1133,57
009 人形UP（FM24）,6000,1000,6000,4000,1,3,58,AK-47,0.917,0.156,3624,1107,1133,34
009 人形UP（FM24）,6000,1000,6000,4000,1,3,61,StG44,0.836,0.149,3624,1107,1133,31
009 人形UP（FM24）,6000,1000,6000,4000,1,3,70,FNC,0.890,0.154,3624,1107,1133,33
009 人形UP（FM24）,6000,1000,6000,4000,1,3,95,汉阳造88式,0.944,0.158,3624,1107,1133,35
009 人形UP（FM24）,6000,1000,6000,4000,1,3,105,OTs-12,0.782,0.144,3624,1107,1133,29
009 人形UP（FM24）,6000,1000,6000,4000,1,3,116,Z-62,1.779,0.214,3624,1107,1133,66
009 人形UP（FM24）,6000,1000,6000,4000,1,3,120,ARX-160,0.782,0.144,3624,1107,1133,29
009 人形UP（FM24）,6000,1000,6000,4000,1,3,145,OTs-44,1.806,0.215,3624,1107,1133,67
009 人形UP（FM24）,6000,1000,6000,4000,1,3,152,M1897,1.240,0.180,3624,1107,1133,46
009 人形UP（FM24）,6000,1000,6000,4000,1,3,154,M500,1.456,0.195,3624,1107,1133,54
009 人形UP（FM24）,6000,1000,6000,4000,1,3,158,KS-23,1.105,0.171,3624,1107,1133,41
009 人形UP（FM24）,6000,1000,6000,4000,1,3,159,RMB-93,1.348,0.188,3624,1107,1133,50
009 人形UP（FM24）,6000,1000,6000,4000,1,3,178,F1,2.373,0.244,3624,1107,1133,88
009 人形UP（FM24）,6000,1000,6000,4000,1,3,190,NS2000,1.348,0.188,3624,1107,1133,50
009 人形UP（FM24）,6000,1000,6000,4000,1,4,26,MP5,2.870,0.274,3624,1583,1583,104
009 人形UP（FM24）,6000,1000,6000,4000,1,4,36,春田,1.683,0.213,3624,1583,1583,61
009 人形UP（FM24）,6000,1000,6000,4000,1,4,39,莫辛-纳甘,1.407,0.195,3624,1583,1583,51
009 人形UP（FM24）,6000,1000,6000,4000,1,4,42,PTRD,1.573,0.206,3624,1583,1583,57
009 人形UP（FM24）,6000,1000,6000,4000,1,4,43,SVD,0.304,0.092,3624,1583,1583,11
009 人形UP（FM24）,6000,1000,6000,4000,1,4,60,AS Val,0.966,0.162,3624,1583,1583,35
009 人形UP（FM24）,6000,1000,6000,4000,1,4,66,56-1式,0.966,0.162,3624,1583,1583,35
009 人形UP（FM24）,6000,1000,6000,4000,1,4,69,FAMAS,1.076,0.171,3624,1583,1583,39
009 人形UP（FM24）,6000,1000,6000,4000,1,4,117,PSG-1,0.966,0.162,3624,1583,1583,35
009 人形UP（FM24）,6000,1000,6000,4000,1,4,118,9A-91,0.745,0.143,3624,1583,1583,27
009 人形UP（FM24）,6000,1000,6000,4000,1,4,146,G28,1.131,0.175,3624,1583,1583,41
009 人形UP（FM24）,6000,1000,6000,4000,1,4,153,M37,1.380,0.193,3624,1583,1583,50
009 人形UP（FM24）,6000,1000,6000,4000,1,4,155,M590,1.518,0.202,3624,1583,1583,55
009 人形UP（FM24）,6000,1000,6000,4000,1,4,156,超级肖蒂,1.049,0.169,3624,1583,1583,38
009 人形UP（FM24）,6000,1000,6000,4000,1,4,162,SPAS-12,1.683,0.213,3624,1583,1583,61
