event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
011 日常（FM24）,1000,1000,1000,1000,1,3,18,MAC-10,5.877,0.354,4049,2012,2080,246
011 日常（FM24）,1000,1000,1000,1000,1,3,22,PPS-43,6.211,0.362,4049,2012,2080,260
011 日常（FM24）,1000,1000,1000,1000,1,3,27,蝎式,5.614,0.347,4049,2012,2080,235
011 日常（FM24）,1000,1000,1000,1000,1,3,32,微型乌兹,5.996,0.357,4049,2012,2080,251
011 日常（FM24）,1000,1000,1000,1000,1,3,58,AK-47,2.962,0.259,4049,2012,2080,124
011 日常（FM24）,1000,1000,1000,1000,1,3,61,StG44,3.058,0.263,4049,2012,2080,128
011 日常（FM24）,1000,1000,1000,1000,1,3,70,FNC,2.962,0.259,4049,2012,2080,124
011 日常（FM24）,1000,1000,1000,1000,1,3,105,OTs-12,2.843,0.254,4049,2012,2080,119
011 日常（FM24）,1000,1000,1000,1000,1,3,116,Z-62,5.757,0.351,4049,2012,2080,241
011 日常（FM24）,1000,1000,1000,1000,1,3,120,ARX-160,2.508,0.240,4049,2012,2080,105
011 日常（FM24）,1000,1000,1000,1000,1,3,178,F1,5.901,0.355,4049,2012,2080,247
011 日常（FM24）,1000,1000,1000,1000,1,4,26,MP5,8.538,0.401,4049,1544,1590,356
011 日常（FM24）,1000,1000,1000,1000,1,4,60,AS Val,2.494,0.238,4049,1544,1590,104
011 日常（FM24）,1000,1000,1000,1000,1,4,66,56-1式,2.806,0.251,4049,1544,1590,117
011 日常（FM24）,1000,1000,1000,1000,1,4,69,FAMAS,2.398,0.234,4049,1544,1590,100
011 日常（FM24）,1000,1000,1000,1000,1,4,118,9A-91,2.063,0.218,4049,1544,1590,86
011 日常（FM24）,1000,1000,1000,1000,1,4,216,XM8,2.950,0.257,4049,1544,1590,123
011 日常（FM24）,1000,1000,1000,1000,1,4,237,SAR-21,2.470,0.237,4049,1544,1590,103
011 日常（FM24）,1000,1000,1000,1000,1,4,262,EM-2,2.422,0.235,4049,1544,1590,101
011 日常（FM24）,1000,1000,1000,1000,1,4,288,CR-21,2.782,0.250,4049,1544,1590,116
011 日常（FM24）,1000,1000,1000,1000,1,4,330,FX-05,2.638,0.244,4049,1544,1590,110
011 日常（FM24）,1000,1000,1000,1000,1,4,349,AK74M,2.398,0.234,4049,1544,1590,100
011 日常（FM24）,1000,1000,1000,1000,1,4,382,MSBS,2.302,0.229,4049,1544,1590,96
011 日常（FM24）,1000,1000,1000,1000,1,4,394,CM901,1.871,0.208,4049,1544,1590,78
011 日常（FM24）,1000,1000,1000,1000,1,5,16,汤姆森,3.433,0.239,4049,493,532,150
011 日常（FM24）,1000,1000,1000,1000,1,5,65,HK416,1.579,0.178,4049,493,532,69
011 日常（FM24）,1000,1000,1000,1000,1,5,122,G11,0.801,0.131,4049,493,532,35
011 日常（FM24）,1000,1000,1000,1000,1,5,338,SIG MCX,1.350,0.166,4049,493,532,59
011 日常（FM24）,1000,1000,1000,1000,1,5,356,A-545,1.099,0.152,4049,493,532,48
011 日常（FM24）,1000,1000,1000,1000,1,5,365,SCR,0.938,0.141,4049,493,532,41
011 日常（FM24）,1000,1000,1000,1000,1,5,378,SCAR-L,1.030,0.148,4049,493,532,45
011 日常（FM24）,1000,1000,1000,1000,1,5,390,HK433,1.144,0.155,4049,493,532,50
011 日常（FM24）,1000,1000,1000,1000,1,5,393,贝奥武夫,0.801,0.131,4049,493,532,35
011 日常（FM24）,1000,4000,4000,2000,1,3,18,MAC-10,1.202,0.222,2267,476,489,28
011 日常（FM24）,1000,4000,4000,2000,1,3,22,PPS-43,1.460,0.243,2267,476,489,34
011 日常（FM24）,1000,4000,4000,2000,1,3,27,蝎式,1.331,0.233,2267,476,489,31
011 日常（FM24）,1000,4000,4000,2000,1,3,32,微型乌兹,1.632,0.256,2267,476,489,38
