event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
013 日常（P50）,1000,1000,1000,1000,1,3,18,MAC-10,7.048,0.552,1969,1017,1048,143
013 日常（P50）,1000,1000,1000,1000,1,3,22,PPS-43,5.766,0.506,1969,1017,1048,117
013 日常（P50）,1000,1000,1000,1000,1,3,27,蝎式,5.569,0.499,1969,1017,1048,113
013 日常（P50）,1000,1000,1000,1000,1,3,32,微型乌兹,6.900,0.547,1969,1017,1048,140
013 日常（P50）,1000,1000,1000,1000,1,3,58,AK-47,3.302,0.393,1969,1017,1048,67
013 日常（P50）,1000,1000,1000,1000,1,3,61,StG44,2.661,0.355,1969,1017,1048,54
013 日常（P50）,1000,1000,1000,1000,1,3,70,FNC,3.056,0.379,1969,1017,1048,62
013 日常（P50）,1000,1000,1000,1000,1,3,105,OTs-12,2.316,0.333,1969,1017,1048,47
013 日常（P50）,1000,1000,1000,1000,1,3,116,Z-62,6.111,0.519,1969,1017,1048,124
013 日常（P50）,1000,1000,1000,1000,1,3,120,ARX-160,3.204,0.388,1969,1017,1048,65
013 日常（P50）,1000,1000,1000,1000,1,3,178,F1,5.717,0.505,1969,1017,1048,116
013 日常（P50）,1000,1000,1000,1000,1,4,26,MP5,7.829,0.564,1969,751,760,156
013 日常（P50）,1000,1000,1000,1000,1,4,60,AS Val,2.509,0.346,1969,751,760,50
013 日常（P50）,1000,1000,1000,1000,1,4,66,56-1式,2.309,0.333,1969,751,760,46
013 日常（P50）,1000,1000,1000,1000,1,4,69,FAMAS,2.559,0.349,1969,751,760,51
013 日常（P50）,1000,1000,1000,1000,1,4,118,9A-91,2.660,0.355,1969,751,760,53
013 日常（P50）,1000,1000,1000,1000,1,4,216,XM8,2.007,0.311,1969,751,760,40
013 日常（P50）,1000,1000,1000,1000,1,4,237,SAR-21,2.911,0.370,1969,751,760,58
013 日常（P50）,1000,1000,1000,1000,1,4,262,EM-2,2.258,0.329,1969,751,760,45
013 日常（P50）,1000,1000,1000,1000,1,4,288,CR-21,2.861,0.367,1969,751,760,57
013 日常（P50）,1000,1000,1000,1000,1,4,330,FX-05,2.258,0.329,1969,751,760,45
013 日常（P50）,1000,1000,1000,1000,1,4,349,AK74M,2.710,0.358,1969,751,760,54
013 日常（P50）,1000,1000,1000,1000,1,4,382,MSBS,2.710,0.358,1969,751,760,54
013 日常（P50）,1000,1000,1000,1000,1,4,394,CM901,2.559,0.349,1969,751,760,51
013 日常（P50）,1000,1000,1000,1000,1,5,16,汤姆森,3.681,0.342,1969,201,208,75
013 日常（P50）,1000,1000,1000,1000,1,5,65,HK416,0.932,0.205,1969,201,208,19
013 日常（P50）,1000,1000,1000,1000,1,5,122,G11,0.982,0.210,1969,201,208,20
013 日常（P50）,1000,1000,1000,1000,1,5,338,SIG MCX,1.129,0.223,1969,201,208,23
013 日常（P50）,1000,1000,1000,1000,1,5,356,A-545,0.834,0.195,1969,201,208,17
013 日常（P50）,1000,1000,1000,1000,1,5,365,SCR,0.736,0.184,1969,201,208,15
013 日常（P50）,1000,1000,1000,1000,1,5,378,SCAR-L,0.589,0.166,1969,201,208,12
013 日常（P50）,1000,1000,1000,1000,1,5,390,HK433,0.785,0.189,1969,201,208,16
013 日常（P50）,1000,1000,1000,1000,1,5,393,贝奥武夫,0.540,0.159,1969,201,208,11
013 日常（P50）,8000,1000,8000,4000,1,3,18,MAC-10,1.363,0.176,3954,1112,1197,58
013 日常（P50）,8000,1000,8000,4000,1,3,22,PPS-43,1.621,0.191,3954,1112,1197,69
013 日常（P50）,8000,1000,8000,4000,1,3,27,蝎式,1.480,0.183,3954,1112,1197,63
013 日常（P50）,8000,1000,8000,4000,1,3,32,微型乌兹,1.480,0.183,3954,1112,1197,63
013 日常（P50）,8000,1000,8000,4000,1,3,34,M1加兰德,1.198,0.165,3954,1112,1197,51
013 日常（P50）,8000,1000,8000,4000,1,3,37,M14,1.245,0.168,3954,1112,1197,53
