event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
014 圣建（24国庆）,6000,1000,6000,4000,1,3,22,PPS-43,0.610,0.610,164,36,36,1
014 圣建（24国庆）,6000,1000,6000,4000,1,3,27,蝎式,1.829,1.027,164,36,36,3
014 圣建（24国庆）,6000,1000,6000,4000,1,3,32,微型乌兹,1.829,1.027,164,36,36,3
014 圣建（24国庆）,6000,1000,6000,4000,1,3,34,M1加兰德,1.829,1.027,164,36,36,3
014 圣建（24国庆）,6000,1000,6000,4000,1,3,37,M14,1.829,1.027,164,36,36,3
014 圣建（24国庆）,6000,1000,6000,4000,1,3,44,SV-98,0.610,0.610,164,36,36,1
014 圣建（24国庆）,6000,1000,6000,4000,1,3,61,StG44,1.829,1.027,164,36,36,3
014 圣建（24国庆）,6000,1000,6000,4000,1,3,70,FNC,1.829,1.027,164,36,36,3
014 圣建（24国庆）,6000,1000,6000,4000,1,3,116,Z-62,3.049,1.287,164,36,36,5
014 圣建（24国庆）,6000,1000,6000,4000,1,3,120,ARX-160,1.220,0.851,164,36,36,2
014 圣建（24国庆）,6000,1000,6000,4000,1,3,145,OTs-44,0.610,0.610,164,36,36,1
014 圣建（24国庆）,6000,1000,6000,4000,1,3,152,M1897,0.610,0.610,164,36,36,1
014 圣建（24国庆）,6000,1000,6000,4000,1,3,158,KS-23,1.220,0.851,164,36,36,2
014 圣建（24国庆）,6000,1000,6000,4000,1,3,159,RMB-93,0.610,0.610,164,36,36,1
014 圣建（24国庆）,6000,1000,6000,4000,1,3,178,F1,1.220,0.851,164,36,36,2
014 圣建（24国庆）,6000,1000,6000,4000,1,3,190,NS2000,1.220,0.851,164,36,36,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,26,MP5,3.049,1.350,164,81,81,5
014 圣建（24国庆）,6000,1000,6000,4000,1,4,39,莫辛-纳甘,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,42,PTRD,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,60,AS Val,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,66,56-1式,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,69,FAMAS,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,117,PSG-1,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,118,9A-91,1.829,1.059,164,81,81,3
014 圣建（24国庆）,6000,1000,6000,4000,1,4,146,G28,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,153,M37,2.439,1.215,164,81,81,4
014 圣建（24国庆）,6000,1000,6000,4000,1,4,155,M590,2.439,1.215,164,81,81,4
014 圣建（24国庆）,6000,1000,6000,4000,1,4,156,超级肖蒂,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,162,SPAS-12,3.659,1.470,164,81,81,6
014 圣建（24国庆）,6000,1000,6000,4000,1,4,165,M1014,2.439,1.215,164,81,81,4
014 圣建（24国庆）,6000,1000,6000,4000,1,4,180,PzB39,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,184,T-5000,2.439,1.215,164,81,81,4
014 圣建（24国庆）,6000,1000,6000,4000,1,4,189,USAS-12,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,216,XM8,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,235,SPR A3G,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,237,SAR-21,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,262,EM-2,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,270,四式,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,283,解放者,3.659,1.470,164,81,81,6
014 圣建（24国庆）,6000,1000,6000,4000,1,4,288,CR-21,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,325,V-PM5,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,326,HK512,1.220,0.870,164,81,81,2
014 圣建（24国庆）,6000,1000,6000,4000,1,4,349,AK74M,1.829,1.059,164,81,81,3
014 圣建（24国庆）,6000,1000,6000,4000,1,4,352,新星,4.268,1.577,164,81,81,7
014 圣建（24国庆）,6000,1000,6000,4000,1,4,353,MAG-7,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,4,368,UTS-15,1.829,1.059,164,81,81,3
014 圣建（24国庆）,6000,1000,6000,4000,1,4,382,MSBS,2.439,1.215,164,81,81,4
014 圣建（24国庆）,6000,1000,6000,4000,1,4,394,CM901,0.610,0.619,164,81,81,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,16,汤姆森,1.220,0.861,164,47,47,2
014 圣建（24国庆）,6000,1000,6000,4000,1,5,48,WA2000,1.220,0.861,164,47,47,2
014 圣建（24国庆）,6000,1000,6000,4000,1,5,53,NTW-20,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,122,G11,1.220,0.861,164,47,47,2
014 圣建（24国庆）,6000,1000,6000,4000,1,5,157,KSG,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,160,塞伽12型,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,163,AA-12,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,164,FP-6,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,188,S.A.T.8,1.220,0.861,164,47,47,2
014 圣建（24国庆）,6000,1000,6000,4000,1,5,197,卡尔卡诺M1891,1.829,1.042,164,47,47,3
014 圣建（24国庆）,6000,1000,6000,4000,1,5,257,M200,1.829,1.042,164,47,47,3
014 圣建（24国庆）,6000,1000,6000,4000,1,5,261,QBU-88,1.829,1.042,164,47,47,3
014 圣建（24国庆）,6000,1000,6000,4000,1,5,323,LTLX7000,1.829,1.042,164,47,47,3
014 圣建（24国庆）,6000,1000,6000,4000,1,5,324,M6 ASW,1.220,0.861,164,47,47,2
014 圣建（24国庆）,6000,1000,6000,4000,1,5,329,SVCh,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,348,HS.50,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,351,M26-MASS,2.439,1.190,164,47,47,4
014 圣建（24国庆）,6000,1000,6000,4000,1,5,356,A-545,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,365,SCR,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,367,MK3A1,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,377,SCAR-H,1.829,1.042,164,47,47,3
014 圣建（24国庆）,6000,1000,6000,4000,1,5,378,SCAR-L,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,381,M110,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,388,QBU-191,0.610,0.615,164,47,47,1
014 圣建（24国庆）,6000,1000,6000,4000,1,5,389,博斯,0.610,0.615,164,47,47,1
