event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
015 日常（XM556）,8000,1000,8000,4000,1,3,18,MAC-10,1.278,0.337,1089,317,319,14
015 日常（XM556）,8000,1000,8000,4000,1,3,22,PPS-43,1.734,0.390,1089,317,319,19
015 日常（XM556）,8000,1000,8000,4000,1,3,27,蝎式,1.460,0.359,1089,317,319,16
015 日常（XM556）,8000,1000,8000,4000,1,3,32,微型乌兹,0.913,0.287,1089,317,319,10
015 日常（XM556）,8000,1000,8000,4000,1,3,34,M1加兰德,1.095,0.313,1089,317,319,12
015 日常（XM556）,8000,1000,8000,4000,1,3,37,M14,0.639,0.241,1089,317,319,7
015 日常（XM556）,8000,1000,8000,4000,1,3,44,SV-98,1.460,0.359,1089,317,319,16
015 日常（XM556）,8000,1000,8000,4000,1,3,58,AK-47,0.821,0.273,1089,317,319,9
015 日常（XM556）,8000,1000,8000,4000,1,3,61,StG44,0.730,0.257,1089,317,319,8
015 日常（XM556）,8000,1000,8000,4000,1,3,70,FNC,1.278,0.337,1089,317,319,14
015 日常（XM556）,8000,1000,8000,4000,1,3,95,汉阳造88式,0.548,0.224,1089,317,319,6
015 日常（XM556）,8000,1000,8000,4000,1,3,105,OTs-12,0.821,0.273,1089,317,319,9
015 日常（XM556）,8000,1000,8000,4000,1,3,116,Z-62,1.643,0.380,1089,317,319,18
015 日常（XM556）,8000,1000,8000,4000,1,3,120,ARX-160,0.548,0.224,1089,317,319,6
015 日常（XM556）,8000,1000,8000,4000,1,3,145,OTs-44,0.639,0.241,1089,317,319,7
015 日常（XM556）,8000,1000,8000,4000,1,3,152,M1897,3.376,0.528,1089,317,319,37
015 日常（XM556）,8000,1000,8000,4000,1,3,154,M500,2.464,0.458,1089,317,319,27
015 日常（XM556）,8000,1000,8000,4000,1,3,158,KS-23,2.190,0.434,1089,317,319,24
015 日常（XM556）,8000,1000,8000,4000,1,3,159,RMB-93,2.008,0.417,1089,317,319,22
015 日常（XM556）,8000,1000,8000,4000,1,3,178,F1,1.369,0.349,1089,317,319,15
015 日常（XM556）,8000,1000,8000,4000,1,3,190,NS2000,2.099,0.426,1089,317,319,23
015 日常（XM556）,8000,1000,8000,4000,1,4,26,MP5,2.103,0.432,1089,472,474,23
015 日常（XM556）,8000,1000,8000,4000,1,4,36,春田,0.457,0.205,1089,472,474,5
015 日常（XM556）,8000,1000,8000,4000,1,4,39,莫辛-纳甘,0.732,0.259,1089,472,474,8
015 日常（XM556）,8000,1000,8000,4000,1,4,42,PTRD,0.732,0.259,1089,472,474,8
015 日常（XM556）,8000,1000,8000,4000,1,4,43,SVD,0.274,0.160,1089,472,474,3
015 日常（XM556）,8000,1000,8000,4000,1,4,60,AS Val,1.006,0.303,1089,472,474,11
015 日常（XM556）,8000,1000,8000,4000,1,4,66,56-1式,0.366,0.184,1089,472,474,4
015 日常（XM556）,8000,1000,8000,4000,1,4,69,FAMAS,0.549,0.225,1089,472,474,6
015 日常（XM556）,8000,1000,8000,4000,1,4,117,PSG-1,0.549,0.225,1089,472,474,6
015 日常（XM556）,8000,1000,8000,4000,1,4,118,9A-91,0.914,0.289,1089,472,474,10
015 日常（XM556）,8000,1000,8000,4000,1,4,146,G28,0.640,0.243,1089,472,474,7
015 日常（XM556）,8000,1000,8000,4000,1,4,153,M37,2.469,0.466,1089,472,474,27
015 日常（XM556）,8000,1000,8000,4000,1,4,155,M590,1.646,0.384,1089,472,474,18
015 日常（XM556）,8000,1000,8000,4000,1,4,156,超级肖蒂,1.737,0.395,1089,472,474,19
015 日常（XM556）,8000,1000,8000,4000,1,4,162,SPAS-12,2.195,0.441,1089,472,474,24
015 日常（XM556）,8000,1000,8000,4000,1,4,165,M1014,2.560,0.474,1089,472,474,28
015 日常（XM556）,8000,1000,8000,4000,1,4,180,PzB39,0.823,0.275,1089,472,474,9
015 日常（XM556）,8000,1000,8000,4000,1,4,184,T-5000,0.640,0.243,1089,472,474,7
015 日常（XM556）,8000,1000,8000,4000,1,4,189,USAS-12,2.103,0.432,1089,472,474,23
015 日常（XM556）,8000,1000,8000,4000,1,4,216,XM8,0.457,0.205,1089,472,474,5
015 日常（XM556）,8000,1000,8000,4000,1,4,235,SPR A3G,0.640,0.243,1089,472,474,7
015 日常（XM556）,8000,1000,8000,4000,1,4,237,SAR-21,0.640,0.243,1089,472,474,7
015 日常（XM556）,8000,1000,8000,4000,1,4,247,K31,0.457,0.205,1089,472,474,5
015 日常（XM556）,8000,1000,8000,4000,1,4,262,EM-2,0.366,0.184,1089,472,474,4
015 日常（XM556）,8000,1000,8000,4000,1,4,270,四式,0.640,0.243,1089,472,474,7
015 日常（XM556）,8000,1000,8000,4000,1,4,283,解放者,1.829,0.404,1089,472,474,20
015 日常（XM556）,8000,1000,8000,4000,1,4,288,CR-21,1.006,0.303,1089,472,474,11
015 日常（XM556）,8000,1000,8000,4000,1,4,305,塔布克,1.097,0.316,1089,472,474,12
015 日常（XM556）,8000,1000,8000,4000,1,4,325,V-PM5,2.195,0.441,1089,472,474,24
015 日常（XM556）,8000,1000,8000,4000,1,4,326,HK512,2.835,0.497,1089,472,474,31
015 日常（XM556）,8000,1000,8000,4000,1,4,330,FX-05,0.457,0.205,1089,472,474,5
015 日常（XM556）,8000,1000,8000,4000,1,4,349,AK74M,0.549,0.225,1089,472,474,6
015 日常（XM556）,8000,1000,8000,4000,1,4,352,新星,2.012,0.423,1089,472,474,22
015 日常（XM556）,8000,1000,8000,4000,1,4,353,MAG-7,2.560,0.474,1089,472,474,28
015 日常（XM556）,8000,1000,8000,4000,1,4,368,UTS-15,2.469,0.466,1089,472,474,27
015 日常（XM556）,8000,1000,8000,4000,1,4,382,MSBS,0.183,0.130,1089,472,474,2
015 日常（XM556）,8000,1000,8000,4000,1,4,394,CM901,0.457,0.205,1089,472,474,5
015 日常（XM556）,8000,1000,8000,4000,1,5,16,汤姆森,1.801,0.393,1089,300,306,20
015 日常（XM556）,8000,1000,8000,4000,1,5,46,Kar98k,0.180,0.128,1089,300,306,2
015 日常（XM556）,8000,1000,8000,4000,1,5,48,WA2000,0.450,0.202,1089,300,306,5
015 日常（XM556）,8000,1000,8000,4000,1,5,50,李-恩菲尔德,0.270,0.157,1089,300,306,3
015 日常（XM556）,8000,1000,8000,4000,1,5,53,NTW-20,0.360,0.181,1089,300,306,4
015 日常（XM556）,8000,1000,8000,4000,1,5,65,HK416,0.270,0.157,1089,300,306,3
015 日常（XM556）,8000,1000,8000,4000,1,5,122,G11,0.180,0.128,1089,300,306,2
015 日常（XM556）,8000,1000,8000,4000,1,5,128,M99,0.090,0.091,1089,300,306,1
015 日常（XM556）,8000,1000,8000,4000,1,5,148,IWS 2000,0.360,0.181,1089,300,306,4
015 日常（XM556）,8000,1000,8000,4000,1,5,157,KSG,0.810,0.269,1089,300,306,9
015 日常（XM556）,8000,1000,8000,4000,1,5,160,塞伽12型,0.810,0.269,1089,300,306,9
015 日常（XM556）,8000,1000,8000,4000,1,5,163,AA-12,0.900,0.283,1089,300,306,10
015 日常（XM556）,8000,1000,8000,4000,1,5,164,FP-6,0.270,0.157,1089,300,306,3
015 日常（XM556）,8000,1000,8000,4000,1,5,188,S.A.T.8,0.990,0.296,1089,300,306,11
015 日常（XM556）,8000,1000,8000,4000,1,5,197,卡尔卡诺M1891,0.270,0.157,1089,300,306,3
015 日常（XM556）,8000,1000,8000,4000,1,5,257,M200,0.900,0.283,1089,300,306,10
015 日常（XM556）,8000,1000,8000,4000,1,5,261,QBU-88,0.900,0.283,1089,300,306,10
015 日常（XM556）,8000,1000,8000,4000,1,5,281,CAWS,0.900,0.283,1089,300,306,10
015 日常（XM556）,8000,1000,8000,4000,1,5,282,DP-12,1.260,0.332,1089,300,306,14
015 日常（XM556）,8000,1000,8000,4000,1,5,312,VSK-94,0.180,0.128,1089,300,306,2
015 日常（XM556）,8000,1000,8000,4000,1,5,323,LTLX7000,1.170,0.321,1089,300,306,13
015 日常（XM556）,8000,1000,8000,4000,1,5,324,M6 ASW,1.170,0.321,1089,300,306,13
015 日常（XM556）,8000,1000,8000,4000,1,5,329,SVCh,0.540,0.221,1089,300,306,6
015 日常（XM556）,8000,1000,8000,4000,1,5,337,德利尔,0.720,0.254,1089,300,306,8
015 日常（XM556）,8000,1000,8000,4000,1,5,338,SIG MCX,0.180,0.128,1089,300,306,2
015 日常（XM556）,8000,1000,8000,4000,1,5,348,HS.50,0.540,0.221,1089,300,306,6
015 日常（XM556）,8000,1000,8000,4000,1,5,350,FO-12,1.080,0.309,1089,300,306,12
015 日常（XM556）,8000,1000,8000,4000,1,5,351,M26-MASS,1.080,0.309,1089,300,306,12
015 日常（XM556）,8000,1000,8000,4000,1,5,365,SCR,0.270,0.157,1089,300,306,3
015 日常（XM556）,8000,1000,8000,4000,1,5,366,SPAS-15,1.530,0.364,1089,300,306,17
015 日常（XM556）,8000,1000,8000,4000,1,5,367,MK3A1,1.170,0.321,1089,300,306,13
015 日常（XM556）,8000,1000,8000,4000,1,5,377,SCAR-H,0.270,0.157,1089,300,306,3
