event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
002 圣建（23周年）,10,10,10,10,1,2,1,BM 3-12X40,2.749,0.267,3747,103
002 圣建（23周年）,10,10,10,10,1,2,5,EOT 506,2.882,0.273,3747,108
002 圣建（23周年）,10,10,10,10,1,2,9,AMP COMPM2,2.615,0.261,3747,98
002 圣建（23周年）,10,10,10,10,1,2,13,PEQ-2,1.975,0.227,3747,74
002 圣建（23周年）,10,10,10,10,1,2,17,M61穿甲弹,2.215,0.240,3747,83
002 圣建（23周年）,10,10,10,10,1,2,29,FMJ高速弹,4.110,0.324,3747,154
002 圣建（23周年）,10,10,10,10,1,2,37,IOP T1外骨骼,6.165,0.393,3747,231
002 圣建（23周年）,10,10,10,10,1,2,55,IOP X1外骨骼,6.672,0.408,3747,250
002 圣建（23周年）,10,10,10,10,1,2,63,AC1消音器,4.030,0.321,3747,151
002 圣建（23周年）,10,10,10,10,1,2,69,ILM空尖弹,5.284,0.365,3747,198
002 圣建（23周年）,10,10,10,10,1,2,73,#1猎鹿弹,1.334,0.187,3747,50
002 圣建（23周年）,10,10,10,10,1,2,77,BK独头弹,1.121,0.172,3747,42
002 圣建（23周年）,10,10,10,10,1,2,87,破旧披风,2.535,0.257,3747,95
002 圣建（23周年）,10,10,10,10,1,3,2,LRA 2-12x50,2.776,0.268,3747,104
002 圣建（23周年）,10,10,10,10,1,3,6,EOT 512,2.669,0.263,3747,100
002 圣建（23周年）,10,10,10,10,1,3,10,AMP COMPM4,2.482,0.254,3747,93
002 圣建（23周年）,10,10,10,10,1,3,14,PEQ-5,2.028,0.230,3747,76
002 圣建（23周年）,10,10,10,10,1,3,18,M993穿甲弹,2.002,0.229,3747,75
002 圣建（23周年）,10,10,10,10,1,3,30,JSP高速弹,3.843,0.314,3747,144
002 圣建（23周年）,10,10,10,10,1,3,38,IOP T2外骨骼,3.576,0.303,3747,134
002 圣建（23周年）,10,10,10,10,1,3,42,Type1防弹插板,2.909,0.275,3747,109
002 圣建（23周年）,10,10,10,10,1,3,56,IOP X2外骨骼,3.603,0.304,3747,135
002 圣建（23周年）,10,10,10,10,1,3,64,AC2消音器,2.482,0.254,3747,93
002 圣建（23周年）,10,10,10,10,1,3,70,ILM空尖弹,3.176,0.286,3747,119
002 圣建（23周年）,10,10,10,10,1,3,74,#0猎鹿弹,1.441,0.195,3747,54
002 圣建（23周年）,10,10,10,10,1,3,78,FST独头弹,1.308,0.186,3747,49
002 圣建（23周年）,10,10,10,10,1,3,88,伪装披风,2.082,0.233,3747,78
002 圣建（23周年）,10,10,10,10,1,3,222,RMR红点,2.962,0.277,3747,111
002 圣建（23周年）,10,10,10,10,1,3,232,试制运算芯片,2.669,0.263,3747,100
002 圣建（23周年）,10,10,10,10,1,3,306,Mk3喉缩管,3.042,0.281,3747,114
002 圣建（23周年）,10,10,10,10,1,3,312,HD50脚架,1.761,0.215,3747,66
002 圣建（23周年）,10,10,10,10,1,4,3,PSO-1,0.614,0.128,3747,23
002 圣建（23周年）,10,10,10,10,1,4,7,EOT 516,0.294,0.088,3747,11
002 圣建（23周年）,10,10,10,10,1,4,11,COG M150,0.560,0.122,3747,21
