event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
004 圣建（23周年重开）,10,10,10,10,1,2,1,BM 3-12X40,7.197,0.333,6030,434
004 圣建（23周年重开）,10,10,10,10,1,2,5,EOT 506,6.716,0.322,6030,405
004 圣建（23周年重开）,10,10,10,10,1,2,9,AMP COMPM2,7.081,0.330,6030,427
004 圣建（23周年重开）,10,10,10,10,1,2,13,PEQ-2,4.975,0.280,6030,300
004 圣建（23周年重开）,10,10,10,10,1,2,17,M61穿甲弹,0.017,0.017,6030,1
004 圣建（23周年重开）,10,10,10,10,1,2,37,IOP T1外骨骼,2.007,0.181,6030,121
004 圣建（23周年重开）,10,10,10,10,1,2,55,IOP X1外骨骼,2.587,0.204,6030,156
004 圣建（23周年重开）,10,10,10,10,1,2,63,AC1消音器,5.257,0.287,6030,317
004 圣建（23周年重开）,10,10,10,10,1,2,69,ILM空尖弹,0.017,0.017,6030,1
004 圣建（23周年重开）,10,10,10,10,1,2,87,破旧披风,6.816,0.325,6030,411
004 圣建（23周年重开）,10,10,10,10,1,3,2,LRA 2-12x50,5.041,0.282,6030,304
004 圣建（23周年重开）,10,10,10,10,1,3,6,EOT 512,4.892,0.278,6030,295
004 圣建（23周年重开）,10,10,10,10,1,3,10,AMP COMPM4,5.290,0.288,6030,319
004 圣建（23周年重开）,10,10,10,10,1,3,14,PEQ-5,3.731,0.244,6030,225
004 圣建（23周年重开）,10,10,10,10,1,3,18,M993穿甲弹,0.033,0.023,6030,2
004 圣建（23周年重开）,10,10,10,10,1,3,38,IOP T2外骨骼,1.476,0.155,6030,89
004 圣建（23周年重开）,10,10,10,10,1,3,42,Type1防弹插板,3.383,0.233,6030,204
004 圣建（23周年重开）,10,10,10,10,1,3,56,IOP X2外骨骼,1.327,0.147,6030,80
004 圣建（23周年重开）,10,10,10,10,1,3,64,AC2消音器,4.146,0.257,6030,250
004 圣建（23周年重开）,10,10,10,10,1,3,70,ILM空尖弹,0.017,0.017,6030,1
004 圣建（23周年重开）,10,10,10,10,1,3,88,伪装披风,4.610,0.270,6030,278
004 圣建（23周年重开）,10,10,10,10,1,3,222,RMR红点,5.489,0.293,6030,331
004 圣建（23周年重开）,10,10,10,10,1,3,232,试制运算芯片,4.046,0.254,6030,244
004 圣建（23周年重开）,10,10,10,10,1,4,3,PSO-1,1.426,0.153,6030,86
004 圣建（23周年重开）,10,10,10,10,1,4,7,EOT 516,1.426,0.153,6030,86
004 圣建（23周年重开）,10,10,10,10,1,4,11,COG M150,1.310,0.146,6030,79
004 圣建（23周年重开）,10,10,10,10,1,4,15,PEQ-15,1.144,0.137,6030,69
004 圣建（23周年重开）,10,10,10,10,1,4,39,IOP T3外骨骼,0.415,0.083,6030,25
004 圣建（23周年重开）,10,10,10,10,1,4,43,Type2防弹插板,0.730,0.110,6030,44
004 圣建（23周年重开）,10,10,10,10,1,4,57,IOP X3外骨骼,0.398,0.081,6030,24
004 圣建（23周年重开）,10,10,10,10,1,4,65,AC3消音器,1.095,0.134,6030,66
004 圣建（23周年重开）,10,10,10,10,1,4,89,城市迷彩披风,1.227,0.142,6030,74
004 圣建（23周年重开）,10,10,10,10,1,4,223,RMR T2红点,1.393,0.151,6030,84
004 圣建（23周年重开）,10,10,10,10,1,4,230,#6鸟弹,0.017,0.017,6030,1
004 圣建（23周年重开）,10,10,10,10,1,4,233,#1运算芯片,0.995,0.128,6030,60
004 圣建（23周年重开）,10,10,10,10,1,5,4,VFL 6-24X56,0.199,0.057,6030,12
004 圣建（23周年重开）,10,10,10,10,1,5,8,EOT 518,0.232,0.062,6030,14
004 圣建（23周年重开）,10,10,10,10,1,5,12,ITI MARS,0.166,0.052,6030,10
004 圣建（23周年重开）,10,10,10,10,1,5,16,PEQ-16A,0.182,0.055,6030,11
004 圣建（23周年重开）,10,10,10,10,1,5,40,IOP T4外骨骼,0.083,0.037,6030,5
004 圣建（23周年重开）,10,10,10,10,1,5,44,Type3防弹插板,0.133,0.047,6030,8
004 圣建（23周年重开）,10,10,10,10,1,5,58,IOP X4外骨骼,0.033,0.023,6030,2
004 圣建（23周年重开）,10,10,10,10,1,5,66,AC4消音器,0.166,0.052,6030,10
004 圣建（23周年重开）,10,10,10,10,1,5,90,热光学迷彩披风,0.315,0.072,6030,19
004 圣建（23周年重开）,10,10,10,10,1,5,224,RMR T4红点,0.332,0.074,6030,20
004 圣建（23周年重开）,10,10,10,10,1,5,234,#2运算芯片,0.116,0.044,6030,7
004 圣建（23周年重开）,10,10,10,10,1,5,305,SF武器灯改,0.149,0.050,6030,9
004 圣建（23周年重开）,10,10,10,10,1,5,309,专注芯片,0.166,0.052,6030,10
004 圣建（23周年重开）,10,150,90,100,1,2,1,BM 3-12X40,0.369,0.095,4070,15
004 圣建（23周年重开）,10,150,90,100,1,2,5,EOT 506,0.491,0.110,4070,20
004 圣建（23周年重开）,10,150,90,100,1,2,9,AMP COMPM2,0.221,0.074,4070,9
004 圣建（23周年重开）,10,150,90,100,1,2,13,PEQ-2,0.295,0.085,4070,12
004 圣建（23周年重开）,10,150,90,100,1,2,17,M61穿甲弹,17.445,0.595,4070,710
004 圣建（23周年重开）,10,150,90,100,1,2,29,FMJ高速弹,1.744,0.205,4070,71
004 圣建（23周年重开）,10,150,90,100,1,2,37,IOP T1外骨骼,0.541,0.115,4070,22
004 圣建（23周年重开）,10,150,90,100,1,2,55,IOP X1外骨骼,0.614,0.122,4070,25
004 圣建（23周年重开）,10,150,90,100,1,2,63,AC1消音器,0.418,0.101,4070,17
004 圣建（23周年重开）,10,150,90,100,1,2,69,ILM空尖弹,0.639,0.125,4070,26
004 圣建（23周年重开）,10,150,90,100,1,2,73,#1猎鹿弹,1.229,0.173,4070,50
004 圣建（23周年重开）,10,150,90,100,1,2,77,BK独头弹,1.499,0.190,4070,61
004 圣建（23周年重开）,10,150,90,100,1,2,87,破旧披风,0.516,0.112,4070,21
004 圣建（23周年重开）,10,150,90,100,1,3,2,LRA 2-12x50,0.369,0.095,4070,15
004 圣建（23周年重开）,10,150,90,100,1,3,6,EOT 512,0.369,0.095,4070,15
004 圣建（23周年重开）,10,150,90,100,1,3,10,AMP COMPM4,0.147,0.060,4070,6
004 圣建（23周年重开）,10,150,90,100,1,3,14,PEQ-5,0.344,0.092,4070,14
004 圣建（23周年重开）,10,150,90,100,1,3,18,M993穿甲弹,17.862,0.600,4070,727
004 圣建（23周年重开）,10,150,90,100,1,3,30,JSP高速弹,2.015,0.220,4070,82
004 圣建（23周年重开）,10,150,90,100,1,3,38,IOP T2外骨骼,0.319,0.088,4070,13
004 圣建（23周年重开）,10,150,90,100,1,3,42,Type1防弹插板,1.597,0.196,4070,65
004 圣建（23周年重开）,10,150,90,100,1,3,56,IOP X2外骨骼,0.516,0.112,4070,21
004 圣建（23周年重开）,10,150,90,100,1,3,64,AC2消音器,0.516,0.112,4070,21
004 圣建（23周年重开）,10,150,90,100,1,3,70,ILM空尖弹,0.811,0.141,4070,33
004 圣建（23周年重开）,10,150,90,100,1,3,74,#0猎鹿弹,1.351,0.181,4070,55
004 圣建（23周年重开）,10,150,90,100,1,3,78,FST独头弹,1.081,0.162,4070,44
004 圣建（23周年重开）,10,150,90,100,1,3,88,伪装披风,0.541,0.115,4070,22
004 圣建（23周年重开）,10,150,90,100,1,3,222,RMR红点,0.958,0.153,4070,39
004 圣建（23周年重开）,10,150,90,100,1,3,232,试制运算芯片,0.614,0.122,4070,25
004 圣建（23周年重开）,10,150,90,100,1,4,3,PSO-1,0.221,0.074,4070,9
004 圣建（23周年重开）,10,150,90,100,1,4,7,EOT 516,0.172,0.065,4070,7
004 圣建（23周年重开）,10,150,90,100,1,4,11,COG M150,0.074,0.043,4070,3
004 圣建（23周年重开）,10,150,90,100,1,4,15,PEQ-15,0.123,0.055,4070,5
004 圣建（23周年重开）,10,150,90,100,1,4,19,Mk169穿甲弹,13.145,0.530,4070,535
004 圣建（23周年重开）,10,150,90,100,1,4,31,JHP高速弹,1.302,0.178,4070,53
004 圣建（23周年重开）,10,150,90,100,1,4,39,IOP T3外骨骼,0.344,0.092,4070,14
004 圣建（23周年重开）,10,150,90,100,1,4,43,Type2防弹插板,0.958,0.153,4070,39
004 圣建（23周年重开）,10,150,90,100,1,4,57,IOP X3外骨骼,0.270,0.081,4070,11
004 圣建（23周年重开）,10,150,90,100,1,4,65,AC3消音器,0.221,0.074,4070,9
004 圣建（23周年重开）,10,150,90,100,1,4,71,ILM空尖弹,0.246,0.078,4070,10
004 圣建（23周年重开）,10,150,90,100,1,4,75,#00猎鹿弹,0.737,0.134,4070,30
004 圣建（23周年重开）,10,150,90,100,1,4,79,WAD独头弹,0.762,0.136,4070,31
004 圣建（23周年重开）,10,150,90,100,1,4,89,城市迷彩披风,0.246,0.078,4070,10
004 圣建（23周年重开）,10,150,90,100,1,4,223,RMR T2红点,0.811,0.141,4070,33
004 圣建（23周年重开）,10,150,90,100,1,4,226,M33狙击弹,13.686,0.539,4070,557
004 圣建（23周年重开）,10,150,90,100,1,4,228,Mk900SLAP,0.344,0.092,4070,14
004 圣建（23周年重开）,10,150,90,100,1,4,230,#6鸟弹,0.909,0.149,4070,37
004 圣建（23周年重开）,10,150,90,100,1,4,233,#1运算芯片,0.344,0.092,4070,14
004 圣建（23周年重开）,10,150,90,100,1,5,4,VFL 6-24X56,0.098,0.049,4070,4
004 圣建（23周年重开）,10,150,90,100,1,5,8,EOT 518,0.074,0.043,4070,3
004 圣建（23周年重开）,10,150,90,100,1,5,12,ITI MARS,0.049,0.035,4070,2
004 圣建（23周年重开）,10,150,90,100,1,5,16,PEQ-16A,0.049,0.035,4070,2
004 圣建（23周年重开）,10,150,90,100,1,5,20,Mk211高爆穿甲弹,4.029,0.308,4070,164
004 圣建（23周年重开）,10,150,90,100,1,5,32,APCR高速弹,0.295,0.085,4070,12
004 圣建（23周年重开）,10,150,90,100,1,5,40,IOP T4外骨骼,0.123,0.055,4070,5
004 圣建（23周年重开）,10,150,90,100,1,5,44,Type3防弹插板,0.147,0.060,4070,6
004 圣建（23周年重开）,10,150,90,100,1,5,58,IOP X4外骨骼,0.025,0.025,4070,1
004 圣建（23周年重开）,10,150,90,100,1,5,66,AC4消音器,0.172,0.065,4070,7
004 圣建（23周年重开）,10,150,90,100,1,5,72,ILM空尖弹,0.025,0.025,4070,1
004 圣建（23周年重开）,10,150,90,100,1,5,76,#000猎鹿弹,0.098,0.049,4070,4
004 圣建（23周年重开）,10,150,90,100,1,5,80,SABOT独头弹,0.147,0.060,4070,6
004 圣建（23周年重开）,10,150,90,100,1,5,90,热光学迷彩披风,0.098,0.049,4070,4
004 圣建（23周年重开）,10,150,90,100,1,5,224,RMR T4红点,0.123,0.055,4070,5
004 圣建（23周年重开）,10,150,90,100,1,5,225,信号弹,0.025,0.025,4070,1
004 圣建（23周年重开）,10,150,90,100,1,5,227,M1022狙击弹,3.538,0.290,4070,144
004 圣建（23周年重开）,10,150,90,100,1,5,229,Mk1000SLAP,0.147,0.060,4070,6
004 圣建（23周年重开）,10,150,90,100,1,5,231,#7.5鸟弹,0.270,0.081,4070,11
004 圣建（23周年重开）,10,150,90,100,1,5,234,#2运算芯片,0.025,0.025,4070,1
004 圣建（23周年重开）,10,150,90,100,1,5,235,霰弹用闪光弹,0.049,0.035,4070,2
004 圣建（23周年重开）,10,150,90,100,1,5,309,专注芯片,0.049,0.035,4070,2
004 圣建（23周年重开）,10,230,120,80,1,2,1,BM 3-12X40,0.176,0.088,2272,4
004 圣建（23周年重开）,10,230,120,80,1,2,5,EOT 506,0.396,0.132,2272,9
004 圣建（23周年重开）,10,230,120,80,1,2,9,AMP COMPM2,0.132,0.076,2272,3
004 圣建（23周年重开）,10,230,120,80,1,2,13,PEQ-2,0.484,0.146,2272,11
004 圣建（23周年重开）,10,230,120,80,1,2,17,M61穿甲弹,1.276,0.235,2272,29
004 圣建（23周年重开）,10,230,120,80,1,2,29,FMJ高速弹,22.183,0.871,2272,504
