event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
005 圣建（23国庆）,10,10,10,10,1,2,1,BM 3-12X40,7.390,0.444,3464,256
005 圣建（23国庆）,10,10,10,10,1,2,5,EOT 506,6.957,0.432,3464,241
005 圣建（23国庆）,10,10,10,10,1,2,9,AMP COMPM2,6.524,0.420,3464,226
005 圣建（23国庆）,10,10,10,10,1,2,13,PEQ-2,5.860,0.399,3464,203
005 圣建（23国庆）,10,10,10,10,1,2,37,IOP T1外骨骼,2.021,0.239,3464,70
005 圣建（23国庆）,10,10,10,10,1,2,55,IOP X1外骨骼,1.501,0.207,3464,52
005 圣建（23国庆）,10,10,10,10,1,2,63,AC1消音器,5.774,0.396,3464,200
005 圣建（23国庆）,10,10,10,10,1,2,87,破旧披风,6.669,0.424,3464,231
005 圣建（23国庆）,10,10,10,10,1,3,2,LRA 2-12x50,4.792,0.363,3464,166
005 圣建（23国庆）,10,10,10,10,1,3,6,EOT 512,4.994,0.370,3464,173
005 圣建（23国庆）,10,10,10,10,1,3,10,AMP COMPM4,5.081,0.373,3464,176
005 圣建（23国庆）,10,10,10,10,1,3,14,PEQ-5,4.532,0.353,3464,157
005 圣建（23国庆）,10,10,10,10,1,3,38,IOP T2外骨骼,1.559,0.210,3464,54
005 圣建（23国庆）,10,10,10,10,1,3,42,Type1防弹插板,3.493,0.312,3464,121
005 圣建（23国庆）,10,10,10,10,1,3,56,IOP X2外骨骼,1.559,0.210,3464,54
005 圣建（23国庆）,10,10,10,10,1,3,64,AC2消音器,3.868,0.328,3464,134
005 圣建（23国庆）,10,10,10,10,1,3,88,伪装披风,4.099,0.337,3464,142
005 圣建（23国庆）,10,10,10,10,1,3,222,RMR红点,5.716,0.394,3464,198
005 圣建（23国庆）,10,10,10,10,1,3,232,试制运算芯片,4.186,0.340,3464,145
005 圣建（23国庆）,10,10,10,10,1,4,3,PSO-1,1.299,0.192,3464,45
005 圣建（23国庆）,10,10,10,10,1,4,7,EOT 516,1.126,0.179,3464,39
005 圣建（23国庆）,10,10,10,10,1,4,11,COG M150,1.357,0.197,3464,47
005 圣建（23国庆）,10,10,10,10,1,4,15,PEQ-15,1.068,0.175,3464,37
005 圣建（23国庆）,10,10,10,10,1,4,39,IOP T3外骨骼,0.404,0.108,3464,14
005 圣建（23国庆）,10,10,10,10,1,4,43,Type2防弹插板,0.924,0.163,3464,32
005 圣建（23国庆）,10,10,10,10,1,4,57,IOP X3外骨骼,0.318,0.096,3464,11
005 圣建（23国庆）,10,10,10,10,1,4,65,AC3消音器,0.953,0.165,3464,33
005 圣建（23国庆）,10,10,10,10,1,4,89,城市迷彩披风,1.241,0.188,3464,43
005 圣建（23国庆）,10,10,10,10,1,4,223,RMR T2红点,1.212,0.186,3464,42
005 圣建（23国庆）,10,10,10,10,1,4,233,#1运算芯片,0.953,0.165,3464,33
005 圣建（23国庆）,10,10,10,10,1,5,4,VFL 6-24X56,0.029,0.029,3464,1
005 圣建（23国庆）,10,10,10,10,1,5,8,EOT 518,0.433,0.112,3464,15
005 圣建（23国庆）,10,10,10,10,1,5,12,ITI MARS,0.289,0.091,3464,10
005 圣建（23国庆）,10,10,10,10,1,5,16,PEQ-16A,0.144,0.064,3464,5
005 圣建（23国庆）,10,10,10,10,1,5,40,IOP T4外骨骼,0.058,0.041,3464,2
005 圣建（23国庆）,10,10,10,10,1,5,44,Type3防弹插板,0.173,0.071,3464,6
005 圣建（23国庆）,10,10,10,10,1,5,58,IOP X4外骨骼,0.029,0.029,3464,1
005 圣建（23国庆）,10,10,10,10,1,5,66,AC4消音器,0.260,0.086,3464,9
005 圣建（23国庆）,10,10,10,10,1,5,90,热光学迷彩披风,0.318,0.096,3464,11
005 圣建（23国庆）,10,10,10,10,1,5,224,RMR T4红点,0.289,0.091,3464,10
005 圣建（23国庆）,10,10,10,10,1,5,234,#2运算芯片,0.144,0.064,3464,5
005 圣建（23国庆）,10,10,10,10,1,5,305,SF武器灯改,0.231,0.082,3464,8
005 圣建（23国庆）,10,10,10,10,1,5,309,专注芯片,0.173,0.071,3464,6
005 圣建（23国庆）,10,150,90,100,1,2,1,BM 3-12X40,0.384,0.128,2346,9
005 圣建（23国庆）,10,150,90,100,1,2,5,EOT 506,0.554,0.153,2346,13
005 圣建（23国庆）,10,150,90,100,1,2,9,AMP COMPM2,0.426,0.134,2346,10
005 圣建（23国庆）,10,150,90,100,1,2,13,PEQ-2,0.298,0.113,2346,7
005 圣建（23国庆）,10,150,90,100,1,2,17,M61穿甲弹,17.306,0.781,2346,406
005 圣建（23国庆）,10,150,90,100,1,2,29,FMJ高速弹,1.961,0.286,2346,46
005 圣建（23国庆）,10,150,90,100,1,2,37,IOP T1外骨骼,0.682,0.170,2346,16
005 圣建（23国庆）,10,150,90,100,1,2,55,IOP X1外骨骼,0.384,0.128,2346,9
005 圣建（23国庆）,10,150,90,100,1,2,63,AC1消音器,0.384,0.128,2346,9
