event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
006 日常（周年后修复）,10,10,10,10,1,2,1,BM 3-12X40,7.363,0.056,218540,16092
006 日常（周年后修复）,10,10,10,10,1,2,5,EOT 506,7.346,0.056,218540,16053
006 日常（周年后修复）,10,10,10,10,1,2,9,AMP COMPM2,7.279,0.056,218540,15907
006 日常（周年后修复）,10,10,10,10,1,2,13,PEQ-2,6.261,0.052,218540,13683
006 日常（周年后修复）,10,10,10,10,1,2,17,M61穿甲弹,0.003,0.001,218540,6
006 日常（周年后修复）,10,10,10,10,1,2,29,FMJ高速弹,0.005,0.002,218540,12
006 日常（周年后修复）,10,10,10,10,1,2,37,IOP T1外骨骼,2.187,0.031,218540,4780
006 日常（周年后修复）,10,10,10,10,1,2,55,IOP X1外骨骼,2.143,0.031,218540,4683
006 日常（周年后修复）,10,10,10,10,1,2,63,AC1消音器,5.588,0.049,218540,12213
006 日常（周年后修复）,10,10,10,10,1,2,69,ILM空尖弹,0.006,0.002,218540,13
006 日常（周年后修复）,10,10,10,10,1,2,73,#1猎鹿弹,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,10,1,2,87,破旧披风,6.640,0.053,218540,14512
006 日常（周年后修复）,10,10,10,10,1,3,2,LRA 2-12x50,5.313,0.048,218540,11611
006 日常（周年后修复）,10,10,10,10,1,3,6,EOT 512,5.265,0.048,218540,11507
006 日常（周年后修复）,10,10,10,10,1,3,10,AMP COMPM4,5.351,0.048,218540,11695
006 日常（周年后修复）,10,10,10,10,1,3,14,PEQ-5,4.509,0.044,218540,9853
006 日常（周年后修复）,10,10,10,10,1,3,18,M993穿甲弹,0.001,0.001,218540,2
006 日常（周年后修复）,10,10,10,10,1,3,30,JSP高速弹,0.004,0.001,218540,9
006 日常（周年后修复）,10,10,10,10,1,3,38,IOP T2外骨骼,1.554,0.026,218540,3396
006 日常（周年后修复）,10,10,10,10,1,3,42,Type1防弹插板,3.393,0.039,218540,7415
006 日常（周年后修复）,10,10,10,10,1,3,56,IOP X2外骨骼,1.493,0.026,218540,3263
006 日常（周年后修复）,10,10,10,10,1,3,64,AC2消音器,3.980,0.042,218540,8697
006 日常（周年后修复）,10,10,10,10,1,3,70,ILM空尖弹,0.003,0.001,218540,7
006 日常（周年后修复）,10,10,10,10,1,3,74,#0猎鹿弹,0.001,0.001,218540,2
006 日常（周年后修复）,10,10,10,10,1,3,78,FST独头弹,0.002,0.001,218540,4
006 日常（周年后修复）,10,10,10,10,1,3,88,伪装披风,4.700,0.045,218540,10271
006 日常（周年后修复）,10,10,10,10,1,3,222,RMR红点,5.719,0.050,218540,12499
006 日常（周年后修复）,10,10,10,10,1,3,232,试制运算芯片,4.040,0.042,218540,8830
006 日常（周年后修复）,10,10,10,10,1,3,306,Mk3喉缩管,0.003,0.001,218540,7
006 日常（周年后修复）,10,10,10,10,1,3,312,HD50脚架,0.001,0.001,218540,3
006 日常（周年后修复）,10,10,10,10,1,4,3,PSO-1,0.951,0.021,218540,2079
006 日常（周年后修复）,10,10,10,10,1,4,7,EOT 516,0.942,0.021,218540,2058
006 日常（周年后修复）,10,10,10,10,1,4,11,COG M150,0.942,0.021,218540,2059
006 日常（周年后修复）,10,10,10,10,1,4,15,PEQ-15,0.796,0.019,218540,1740
006 日常（周年后修复）,10,10,10,10,1,4,31,JHP高速弹,0.001,0.001,218540,2
006 日常（周年后修复）,10,10,10,10,1,4,39,IOP T3外骨骼,0.275,0.011,218540,602
006 日常（周年后修复）,10,10,10,10,1,4,43,Type2防弹插板,0.588,0.016,218540,1285
006 日常（周年后修复）,10,10,10,10,1,4,57,IOP X3外骨骼,0.279,0.011,218540,610
006 日常（周年后修复）,10,10,10,10,1,4,65,AC3消音器,0.736,0.018,218540,1608
006 日常（周年后修复）,10,10,10,10,1,4,71,ILM空尖弹,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,10,1,4,75,#00猎鹿弹,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,10,1,4,89,城市迷彩披风,0.846,0.020,218540,1848
006 日常（周年后修复）,10,10,10,10,1,4,223,RMR T2红点,1.011,0.021,218540,2209
006 日常（周年后修复）,10,10,10,10,1,4,226,M33狙击弹,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,10,1,4,233,#1运算芯片,0.693,0.018,218540,1515
006 日常（周年后修复）,10,10,10,10,1,5,4,VFL 6-24X56,0.150,0.008,218540,327
006 日常（周年后修复）,10,10,10,10,1,5,8,EOT 518,0.158,0.008,218540,345
006 日常（周年后修复）,10,10,10,10,1,5,12,ITI MARS,0.153,0.008,218540,335
006 日常（周年后修复）,10,10,10,10,1,5,16,PEQ-16A,0.123,0.007,218540,268
006 日常（周年后修复）,10,10,10,10,1,5,20,Mk211高爆穿甲弹,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,10,1,5,40,IOP T4外骨骼,0.052,0.005,218540,113
006 日常（周年后修复）,10,10,10,10,1,5,44,Type3防弹插板,0.099,0.007,218540,216
006 日常（周年后修复）,10,10,10,10,1,5,58,IOP X4外骨骼,0.042,0.004,218540,92
006 日常（周年后修复）,10,10,10,10,1,5,66,AC4消音器,0.220,0.010,218540,480
006 日常（周年后修复）,10,10,10,10,1,5,68,IOP极限弹链箱,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,10,1,5,90,热光学迷彩披风,0.169,0.009,218540,369
006 日常（周年后修复）,10,10,10,10,1,5,224,RMR T4红点,0.192,0.009,218540,419
006 日常（周年后修复）,10,10,10,10,1,5,234,#2运算芯片,0.145,0.008,218540,316
006 日常（周年后修复）,10,10,10,10,1,5,305,SF武器灯改,0.136,0.008,218540,298
006 日常（周年后修复）,10,10,10,10,1,5,309,专注芯片,0.144,0.008,218540,314
006 日常（周年后修复）,10,10,10,10,1,5,311,M200X LRF,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,10,1,5,314,HD100脚架,0.000,0.000,218540,1
006 日常（周年后修复）,10,10,10,300,1,2,1,BM 3-12X40,3.501,0.414,1971,69
006 日常（周年后修复）,10,10,10,300,1,2,5,EOT 506,3.450,0.411,1971,68
006 日常（周年后修复）,10,10,10,300,1,2,9,AMP COMPM2,3.298,0.402,1971,65
006 日常（周年后修复）,10,10,10,300,1,2,13,PEQ-2,4.769,0.480,1971,94
