event,mp,ammo,mre,part,input_level,type,fairy_id,name,mean%,stdev%,fairy_total,fairy_count
000 开始记录,500,500,500,500,1,属性类,1,勇士妖精,7.667,0.035,574975,44085
000 开始记录,500,500,500,500,1,属性类,2,暴怒妖精,7.805,0.035,574975,44875
000 开始记录,500,500,500,500,1,防御类,3,盾甲妖精,7.324,0.034,574975,42110
000 开始记录,500,500,500,500,1,防御类,4,护盾妖精,7.634,0.035,574975,43893
000 开始记录,500,500,500,500,1,防御类,6,嘲讽妖精,7.417,0.035,574975,42648
000 开始记录,500,500,500,500,1,狂暴类,7,狙击妖精,7.731,0.035,574975,44450
000 开始记录,500,500,500,500,1,狂暴类,8,炮击妖精,7.553,0.035,574975,43425
000 开始记录,500,500,500,500,1,狂暴类,9,空袭妖精,7.722,0.035,574975,44401
000 开始记录,500,500,500,500,1,增益类,15,指挥妖精,7.576,0.035,574975,43561
000 开始记录,500,500,500,500,1,增益类,16,搜救妖精,7.651,0.035,574975,43993
000 开始记录,500,500,500,500,1,增益类,17,照明妖精,7.790,0.035,574975,44793
000 开始记录,500,500,500,500,1,防御类,24,立盾妖精,8.611,0.037,574975,49511
000 开始记录,500,500,500,500,1,防御类,25,双生妖精,7.519,0.035,574975,43230
000 开始记录,500,500,500,5000,1,属性类,1,勇士妖精,8.081,0.826,1089,88
000 开始记录,500,500,500,5000,1,属性类,2,暴怒妖精,7.346,0.790,1089,80
000 开始记录,500,500,500,5000,1,防御类,3,盾甲妖精,8.540,0.847,1089,93
000 开始记录,500,500,500,5000,1,防御类,4,护盾妖精,8.724,0.855,1089,95
000 开始记录,500,500,500,5000,1,防御类,6,嘲讽妖精,8.081,0.826,1089,88
000 开始记录,500,500,500,5000,1,狂暴类,7,狙击妖精,6.612,0.753,1089,72
000 开始记录,500,500,500,5000,1,狂暴类,8,炮击妖精,5.969,0.718,1089,65
000 开始记录,500,500,500,5000,1,狂暴类,9,空袭妖精,8.264,0.834,1089,90
000 开始记录,500,500,500,5000,1,增益类,15,指挥妖精,8.632,0.851,1089,94
000 开始记录,500,500,500,5000,1,增益类,16,搜救妖精,8.356,0.838,1089,91
000 开始记录,500,500,500,5000,1,增益类,17,照明妖精,6.703,0.757,1089,73
000 开始记录,500,500,500,5000,1,防御类,24,立盾妖精,6.887,0.767,1089,75
000 开始记录,500,500,500,5000,1,防御类,25,双生妖精,7.805,0.813,1089,85
000 开始记录,500,1000,750,500,1,属性类,1,勇士妖精,7.505,0.233,12792,960
000 开始记录,500,1000,750,500,1,属性类,2,暴怒妖精,8.779,0.250,12792,1123
000 开始记录,500,1000,750,500,1,防御类,3,盾甲妖精,5.347,0.199,12792,684
000 开始记录,500,1000,750,500,1,防御类,4,护盾妖精,5.941,0.209,12792,760
000 开始记录,500,1000,750,500,1,防御类,6,嘲讽妖精,5.918,0.209,12792,757
000 开始记录,500,1000,750,500,1,狂暴类,7,狙击妖精,11.961,0.287,12792,1530
000 开始记录,500,1000,750,500,1,狂暴类,8,炮击妖精,12.656,0.294,12792,1619
000 开始记录,500,1000,750,500,1,狂暴类,9,空袭妖精,11.679,0.284,12792,1494
000 开始记录,500,1000,750,500,1,增益类,15,指挥妖精,6.027,0.210,12792,771
000 开始记录,500,1000,750,500,1,增益类,16,搜救妖精,6.066,0.211,12792,776
000 开始记录,500,1000,750,500,1,增益类,17,照明妖精,5.425,0.200,12792,694
000 开始记录,500,1000,750,500,1,防御类,24,立盾妖精,6.895,0.224,12792,882
000 开始记录,500,1000,750,500,1,防御类,25,双生妖精,5.801,0.207,12792,742
000 开始记录,500,2000,2000,1000,1,属性类,1,勇士妖精,5.783,0.605,1487,86
000 开始记录,500,2000,2000,1000,1,属性类,2,暴怒妖精,4.573,0.542,1487,68
000 开始记录,500,2000,2000,1000,1,防御类,3,盾甲妖精,5.582,0.595,1487,83
000 开始记录,500,2000,2000,1000,1,防御类,4,护盾妖精,4.573,0.542,1487,68
000 开始记录,500,2000,2000,1000,1,防御类,6,嘲讽妖精,5.380,0.585,1487,80
000 开始记录,500,2000,2000,1000,1,狂暴类,7,狙击妖精,7.061,0.664,1487,105
000 开始记录,500,2000,2000,1000,1,狂暴类,8,炮击妖精,6.658,0.646,1487,99
000 开始记录,500,2000,2000,1000,1,狂暴类,9,空袭妖精,8.003,0.703,1487,119
000 开始记录,500,2000,2000,1000,1,战役类,12,布雷妖精,4.640,0.545,1487,69
000 开始记录,500,2000,2000,1000,1,战役类,13,火箭妖精,6.254,0.628,1487,93
000 开始记录,500,2000,2000,1000,1,战役类,14,工事妖精,5.649,0.598,1487,84
