event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
002 圣建（23春节）,100,400,400,200,0,2,17,M3,1.517,0.093,16896,6234,6299,259
002 圣建（23春节）,100,400,400,200,0,2,21,PPSh-41,0.908,0.072,16896,6234,6299,155
002 圣建（23春节）,100,400,400,200,0,2,24,PP-2000,1.775,0.100,16896,6234,6299,303
002 圣建（23春节）,100,400,400,200,0,2,25,MP40,1.646,0.096,16896,6234,6299,281
002 圣建（23春节）,100,400,400,200,0,2,31,伯莱塔38型,1.681,0.097,16896,6234,6299,287
002 圣建（23春节）,100,400,400,200,0,2,33,m45,1.599,0.095,16896,6234,6299,273
002 圣建（23春节）,100,400,400,200,0,2,63,G3,4.100,0.147,16896,6234,6299,700
002 圣建（23春节）,100,400,400,200,0,2,68,L85A1,4.141,0.147,16896,6234,6299,707
002 圣建（23春节）,100,400,400,200,0,2,71,加利尔,4.299,0.150,16896,6234,6299,734
002 圣建（23春节）,100,400,400,200,0,2,74,SIG-510,4.235,0.149,16896,6234,6299,723
002 圣建（23春节）,100,400,400,200,0,2,92,幽灵M4,1.705,0.098,16896,6234,6299,291
002 圣建（23春节）,100,400,400,200,0,2,93,IDW,1.664,0.097,16896,6234,6299,284
002 圣建（23春节）,100,400,400,200,0,2,94,64式,1.605,0.095,16896,6234,6299,274
002 圣建（23春节）,100,400,400,200,0,2,107,F2000,3.755,0.141,16896,6234,6299,641
002 圣建（23春节）,100,400,400,200,0,2,133,63式,2.267,0.112,16896,6234,6299,387
002 圣建（23春节）,100,400,400,200,0,3,18,MAC-10,1.242,0.080,16896,2318,2409,218
002 圣建（23春节）,100,400,400,200,0,3,22,PPS-43,0.621,0.058,16896,2318,2409,109
002 圣建（23春节）,100,400,400,200,0,3,27,蝎式,1.316,0.083,16896,2318,2409,231
002 圣建（23春节）,100,400,400,200,0,3,32,微型乌兹,1.093,0.076,16896,2318,2409,192
002 圣建（23春节）,100,400,400,200,0,3,58,AK-47,2.568,0.109,16896,2318,2409,451
002 圣建（23春节）,100,400,400,200,0,3,61,StG44,2.739,0.112,16896,2318,2409,481
002 圣建（23春节）,100,400,400,200,0,3,70,FNC,2.819,0.113,16896,2318,2409,495
002 圣建（23春节）,100,400,400,200,0,3,105,OTs-12,1.321,0.083,16896,2318,2409,232
002 圣建（23春节）,100,400,400,200,0,4,26,MP5,1.994,0.103,16896,5259,5479,351
002 圣建（23春节）,100,400,400,200,0,4,60,AS Val,2.545,0.116,16896,5259,5479,448
002 圣建（23春节）,100,400,400,200,0,4,64,G36,1.023,0.075,16896,5259,5479,180
002 圣建（23春节）,100,400,400,200,0,4,66,56-1式,2.664,0.118,16896,5259,5479,469
002 圣建（23春节）,100,400,400,200,0,4,69,FAMAS,2.556,0.116,16896,5259,5479,450
002 圣建（23春节）,100,400,400,200,0,4,72,TAR-21,1.710,0.096,16896,5259,5479,301
002 圣建（23春节）,100,400,400,200,0,4,118,9A-91,2.301,0.110,16896,5259,5479,405
002 圣建（23春节）,100,400,400,200,0,4,171,利贝罗勒,1.795,0.098,16896,5259,5479,316
002 圣建（23春节）,100,400,400,200,0,4,216,XM8,2.488,0.114,16896,5259,5479,438
002 圣建（23春节）,100,400,400,200,0,4,237,SAR-21,2.386,0.112,16896,5259,5479,420
002 圣建（23春节）,100,400,400,200,0,4,262,EM-2,2.375,0.112,16896,5259,5479,418
002 圣建（23春节）,100,400,400,200,0,4,288,CR-21,2.306,0.110,16896,5259,5479,406
002 圣建（23春节）,100,400,400,200,0,4,330,FX-05,2.471,0.114,16896,5259,5479,435
002 圣建（23春节）,100,400,400,200,0,4,349,AK74M,2.511,0.115,16896,5259,5479,442
002 圣建（23春节）,100,400,400,200,0,5,16,汤姆森,0.913,0.070,16896,3085,3260,163
002 圣建（23春节）,100,400,400,200,0,5,62,G41,0.790,0.065,16896,3085,3260,141
002 圣建（23春节）,100,400,400,200,0,5,65,HK416,0.801,0.066,16896,3085,3260,143
002 圣建（23春节）,100,400,400,200,0,5,106,FAL,0.638,0.059,16896,3085,3260,114
002 圣建（23春节）,100,400,400,200,0,5,122,G11,0.538,0.054,16896,3085,3260,96
002 圣建（23春节）,100,400,400,200,0,5,129,95式,0.510,0.053,16896,3085,3260,91
002 圣建（23春节）,100,400,400,200,0,5,130,97式,0.616,0.058,16896,3085,3260,110
002 圣建（23春节）,100,400,400,200,0,5,172,RFB,0.493,0.052,16896,3085,3260,88
002 圣建（23春节）,100,400,400,200,0,5,181,T91,0.638,0.059,16896,3085,3260,114
002 圣建（23春节）,100,400,400,200,0,5,194,K2,0.571,0.056,16896,3085,3260,102
002 圣建（23春节）,100,400,400,200,0,5,196,Zas M21,0.975,0.072,16896,3085,3260,174
002 圣建（23春节）,100,400,400,200,0,5,205,AN-94,0.493,0.052,16896,3085,3260,88
002 圣建（23春节）,100,400,400,200,0,5,206,AK-12,0.549,0.055,16896,3085,3260,98
002 圣建（23春节）,100,400,400,200,0,5,214,ADS,0.605,0.057,16896,3085,3260,108
002 圣建（23春节）,100,400,400,200,0,5,215,MDR,0.650,0.059,16896,3085,3260,116
002 圣建（23春节）,100,400,400,200,0,5,236,K11,0.952,0.071,16896,3085,3260,170
002 圣建（23春节）,100,400,400,200,0,5,243,64式自,0.840,0.067,16896,3085,3260,150
