event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
003 日常（玛姬）,30,30,30,30,0,2,2,M1911,8.428,0.088,95852,67184,67262,8088
003 日常（玛姬）,30,30,30,30,0,2,5,纳甘左轮,8.618,0.089,95852,67184,67262,8270
003 日常（玛姬）,30,30,30,30,0,2,9,P38,8.610,0.089,95852,67184,67262,8262
003 日常（玛姬）,30,30,30,30,0,2,10,PPK,8.318,0.087,95852,67184,67262,7982
003 日常（玛姬）,30,30,30,30,0,2,17,M3,0.282,0.017,95852,67184,67262,271
003 日常（玛姬）,30,30,30,30,0,2,21,PPSh-41,0.146,0.012,95852,67184,67262,140
003 日常（玛姬）,30,30,30,30,0,2,24,PP-2000,0.272,0.017,95852,67184,67262,261
003 日常（玛姬）,30,30,30,30,0,2,25,MP40,0.284,0.017,95852,67184,67262,273
003 日常（玛姬）,30,30,30,30,0,2,31,伯莱塔38型,0.244,0.016,95852,67184,67262,234
003 日常（玛姬）,30,30,30,30,0,2,33,m45,0.273,0.017,95852,67184,67262,262
003 日常（玛姬）,30,30,30,30,0,2,90,FNP-9,8.477,0.088,95852,67184,67262,8135
003 日常（玛姬）,30,30,30,30,0,2,91,MP-446,8.505,0.088,95852,67184,67262,8162
003 日常（玛姬）,30,30,30,30,0,2,92,幽灵M4,0.262,0.016,95852,67184,67262,251
003 日常（玛姬）,30,30,30,30,0,2,93,IDW,0.281,0.017,95852,67184,67262,270
003 日常（玛姬）,30,30,30,30,0,2,94,64式,0.282,0.017,95852,67184,67262,271
003 日常（玛姬）,30,30,30,30,0,2,139,布伦·坦,8.411,0.088,95852,67184,67262,8071
003 日常（玛姬）,30,30,30,30,0,2,141,USP-C,8.398,0.088,95852,67184,67262,8059
003 日常（玛姬）,30,30,30,30,0,3,3,M9,3.859,0.057,95852,22203,22656,3774
003 日常（玛姬）,30,30,30,30,0,3,6,托卡列夫,1.975,0.043,95852,22203,22656,1932
003 日常（玛姬）,30,30,30,30,0,3,8,马卡洛夫,1.980,0.043,95852,22203,22656,1937
003 日常（玛姬）,30,30,30,30,0,3,11,P08,3.793,0.057,95852,22203,22656,3710
003 日常（玛姬）,30,30,30,30,0,3,12,C96,3.909,0.058,95852,22203,22656,3823
003 日常（玛姬）,30,30,30,30,0,3,13,92式,1.911,0.042,95852,22203,22656,1869
003 日常（玛姬）,30,30,30,30,0,3,14,阿斯特拉左轮,3.955,0.058,95852,22203,22656,3868
003 日常（玛姬）,30,30,30,30,0,3,18,MAC-10,0.192,0.014,95852,22203,22656,188
003 日常（玛姬）,30,30,30,30,0,3,22,PPS-43,0.104,0.010,95852,22203,22656,102
003 日常（玛姬）,30,30,30,30,0,3,27,蝎式,0.204,0.014,95852,22203,22656,200
003 日常（玛姬）,30,30,30,30,0,3,32,微型乌兹,0.192,0.014,95852,22203,22656,188
003 日常（玛姬）,30,30,30,30,0,3,123,P99,1.089,0.033,95852,22203,22656,1065
003 日常（玛姬）,30,30,30,30,0,4,1,柯尔特左轮,2.381,0.033,95852,4204,4277,2322
003 日常（玛姬）,30,30,30,30,0,4,26,MP5,0.120,0.011,95852,4204,4277,117
003 日常（玛姬）,30,30,30,30,0,4,99,Mk23,1.885,0.033,95852,4204,4277,1838
003 日常（玛姬）,30,30,30,30,0,5,16,汤姆森,0.045,0.007,95852,2261,2331,44
003 日常（玛姬）,30,30,30,30,0,5,96,灰熊MkⅤ,0.969,0.024,95852,2261,2331,958
003 日常（玛姬）,30,30,30,30,0,5,126,NZ75,0.549,0.021,95852,2261,2331,543
003 日常（玛姬）,30,30,30,30,0,5,233,Px4 风暴,0.538,0.021,95852,2261,2331,532
003 日常（玛姬）,30,30,30,30,0,5,260,PA-15,0.257,0.015,95852,2261,2331,254
003 日常（玛姬）,97,404,404,97,0,2,17,M3,1.801,0.182,5300,2837,2853,96
003 日常（玛姬）,97,404,404,97,0,2,21,PPSh-41,0.901,0.129,5300,2837,2853,48
003 日常（玛姬）,97,404,404,97,0,2,24,PP-2000,1.876,0.185,5300,2837,2853,100
003 日常（玛姬）,97,404,404,97,0,2,25,MP40,2.064,0.194,5300,2837,2853,110
003 日常（玛姬）,97,404,404,97,0,2,31,伯莱塔38型,2.158,0.198,5300,2837,2853,115
003 日常（玛姬）,97,404,404,97,0,2,33,m45,1.745,0.179,5300,2837,2853,93
003 日常（玛姬）,97,404,404,97,0,2,63,G3,6.567,0.330,5300,2837,2853,350
003 日常（玛姬）,97,404,404,97,0,2,68,L85A1,6.848,0.336,5300,2837,2853,365
