event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
005 日常（M110）,30,30,30,30,0,2,2,M1911,8.488,0.091,90557,63376,63526,7705
005 日常（M110）,30,30,30,30,0,2,5,纳甘左轮,8.429,0.090,90557,63376,63526,7651
005 日常（M110）,30,30,30,30,0,2,9,P38,8.452,0.091,90557,63376,63526,7672
005 日常（M110）,30,30,30,30,0,2,10,PPK,8.538,0.091,90557,63376,63526,7750
005 日常（M110）,30,30,30,30,0,2,17,M3,0.292,0.018,90557,63376,63526,265
005 日常（M110）,30,30,30,30,0,2,21,PPSh-41,0.132,0.012,90557,63376,63526,120
005 日常（M110）,30,30,30,30,0,2,24,PP-2000,0.260,0.017,90557,63376,63526,236
005 日常（M110）,30,30,30,30,0,2,25,MP40,0.258,0.017,90557,63376,63526,234
005 日常（M110）,30,30,30,30,0,2,31,伯莱塔38型,0.277,0.017,90557,63376,63526,251
005 日常（M110）,30,30,30,30,0,2,33,m45,0.271,0.017,90557,63376,63526,246
005 日常（M110）,30,30,30,30,0,2,90,FNP-9,8.379,0.090,90557,63376,63526,7606
005 日常（M110）,30,30,30,30,0,2,91,MP-446,8.427,0.090,90557,63376,63526,7649
005 日常（M110）,30,30,30,30,0,2,92,幽灵M4,0.268,0.017,90557,63376,63526,243
005 日常（M110）,30,30,30,30,0,2,93,IDW,0.273,0.017,90557,63376,63526,248
005 日常（M110）,30,30,30,30,0,2,94,64式,0.299,0.018,90557,63376,63526,271
005 日常（M110）,30,30,30,30,0,2,139,布伦·坦,8.386,0.090,90557,63376,63526,7612
005 日常（M110）,30,30,30,30,0,2,141,USP-C,8.557,0.091,90557,63376,63526,7767
005 日常（M110）,30,30,30,30,0,3,3,M9,3.883,0.059,90557,20954,21464,3602
005 日常（M110）,30,30,30,30,0,3,6,托卡列夫,2.108,0.046,90557,20954,21464,1955
005 日常（M110）,30,30,30,30,0,3,8,马卡洛夫,1.926,0.044,90557,20954,21464,1787
005 日常（M110）,30,30,30,30,0,3,11,P08,3.898,0.059,90557,20954,21464,3616
005 日常（M110）,30,30,30,30,0,3,12,C96,3.830,0.059,90557,20954,21464,3553
005 日常（M110）,30,30,30,30,0,3,13,92式,1.932,0.044,90557,20954,21464,1792
005 日常（M110）,30,30,30,30,0,3,14,阿斯特拉左轮,3.825,0.059,90557,20954,21464,3548
005 日常（M110）,30,30,30,30,0,3,18,MAC-10,0.183,0.014,90557,20954,21464,170
005 日常（M110）,30,30,30,30,0,3,22,PPS-43,0.085,0.010,90557,20954,21464,79
005 日常（M110）,30,30,30,30,0,3,27,蝎式,0.240,0.016,90557,20954,21464,223
005 日常（M110）,30,30,30,30,0,3,32,微型乌兹,0.195,0.014,90557,20954,21464,181
005 日常（M110）,30,30,30,30,0,3,123,P99,1.033,0.033,90557,20954,21464,958
005 日常（M110）,30,30,30,30,0,4,1,柯尔特左轮,2.521,0.034,90557,4023,4129,2343
