event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
007 日常（30200）,30,30,30,30,0,2,2,M1911,8.337,0.122,49625,34738,34847,4150
007 日常（30200）,30,30,30,30,0,2,5,纳甘左轮,8.343,0.122,49625,34738,34847,4153
007 日常（30200）,30,30,30,30,0,2,9,P38,8.455,0.122,49625,34738,34847,4209
007 日常（30200）,30,30,30,30,0,2,10,PPK,8.421,0.122,49625,34738,34847,4192
007 日常（30200）,30,30,30,30,0,2,17,M3,0.251,0.022,49625,34738,34847,125
007 日常（30200）,30,30,30,30,0,2,21,PPSh-41,0.139,0.017,49625,34738,34847,69
007 日常（30200）,30,30,30,30,0,2,24,PP-2000,0.293,0.024,49625,34738,34847,146
007 日常（30200）,30,30,30,30,0,2,25,MP40,0.255,0.023,49625,34738,34847,127
007 日常（30200）,30,30,30,30,0,2,31,伯莱塔38型,0.255,0.023,49625,34738,34847,127
007 日常（30200）,30,30,30,30,0,2,33,m45,0.233,0.022,49625,34738,34847,116
007 日常（30200）,30,30,30,30,0,2,90,FNP-9,8.284,0.121,49625,34738,34847,4124
007 日常（30200）,30,30,30,30,0,2,91,MP-446,8.652,0.124,49625,34738,34847,4307
007 日常（30200）,30,30,30,30,0,2,92,幽灵M4,0.291,0.024,49625,34738,34847,145
007 日常（30200）,30,30,30,30,0,2,93,IDW,0.295,0.024,49625,34738,34847,147
007 日常（30200）,30,30,30,30,0,2,94,64式,0.283,0.024,49625,34738,34847,141
007 日常（30200）,30,30,30,30,0,2,139,布伦·坦,8.507,0.123,49625,34738,34847,4235
007 日常（30200）,30,30,30,30,0,2,141,USP-C,8.706,0.124,49625,34738,34847,4334
007 日常（30200）,30,30,30,30,0,3,3,M9,3.734,0.079,49625,11302,11552,1894
007 日常（30200）,30,30,30,30,0,3,6,托卡列夫,1.877,0.058,49625,11302,11552,952
007 日常（30200）,30,30,30,30,0,3,8,马卡洛夫,1.975,0.060,49625,11302,11552,1002
007 日常（30200）,30,30,30,30,0,3,11,P08,3.710,0.078,49625,11302,11552,1882
007 日常（30200）,30,30,30,30,0,3,12,C96,3.978,0.081,49625,11302,11552,2018
007 日常（30200）,30,30,30,30,0,3,13,92式,1.912,0.059,49625,11302,11552,970
007 日常（30200）,30,30,30,30,0,3,14,阿斯特拉左轮,3.837,0.079,49625,11302,11552,1946
007 日常（30200）,30,30,30,30,0,3,18,MAC-10,0.195,0.020,49625,11302,11552,99
007 日常（30200）,30,30,30,30,0,3,22,PPS-43,0.067,0.011,49625,11302,11552,34
007 日常（30200）,30,30,30,30,0,3,27,蝎式,0.227,0.021,49625,11302,11552,115
007 日常（30200）,30,30,30,30,0,3,32,微型乌兹,0.189,0.019,49625,11302,11552,96
007 日常（30200）,30,30,30,30,0,3,123,P99,1.072,0.045,49625,11302,11552,544
007 日常（30200）,30,30,30,30,0,4,1,柯尔特左轮,2.481,0.047,49625,2198,2219,1243
007 日常（30200）,30,30,30,30,0,4,26,MP5,0.104,0.014,49625,2198,2219,52
007 日常（30200）,30,30,30,30,0,4,99,Mk23,1.844,0.046,49625,2198,2219,924
007 日常（30200）,30,30,30,30,0,5,16,汤姆森,0.038,0.009,49625,1387,1405,19
007 日常（30200）,30,30,30,30,0,5,96,灰熊MkⅤ,1.084,0.036,49625,1387,1405,545
007 日常（30200）,30,30,30,30,0,5,126,NZ75,0.643,0.031,49625,1387,1405,323
007 日常（30200）,30,30,30,30,0,5,233,Px4 风暴,0.639,0.031,49625,1387,1405,321
007 日常（30200）,30,30,30,30,0,5,260,PA-15,0.392,0.026,49625,1387,1405,197
007 日常（30200）,100,400,400,200,0,2,17,M3,1.802,0.055,57777,29943,30134,1048
007 日常（30200）,100,400,400,200,0,2,21,PPSh-41,0.899,0.039,57777,29943,30134,523
007 日常（30200）,100,400,400,200,0,2,24,PP-2000,1.842,0.055,57777,29943,30134,1071
007 日常（30200）,100,400,400,200,0,2,25,MP40,1.744,0.054,57777,29943,30134,1014
007 日常（30200）,100,400,400,200,0,2,31,伯莱塔38型,1.710,0.053,57777,29943,30134,994
007 日常（30200）,100,400,400,200,0,2,33,m45,1.818,0.055,57777,29943,30134,1057
007 日常（30200）,100,400,400,200,0,2,63,G3,6.556,0.099,57777,29943,30134,3812
007 日常（30200）,100,400,400,200,0,2,68,L85A1,6.522,0.099,57777,29943,30134,3792
007 日常（30200）,100,400,400,200,0,2,71,加利尔,6.578,0.100,57777,29943,30134,3825
007 日常（30200）,100,400,400,200,0,2,74,SIG-510,6.565,0.099,57777,29943,30134,3817
007 日常（30200）,100,400,400,200,0,2,92,幽灵M4,1.854,0.056,57777,29943,30134,1078
007 日常（30200）,100,400,400,200,0,2,93,IDW,1.794,0.055,57777,29943,30134,1043
007 日常（30200）,100,400,400,200,0,2,94,64式,1.863,0.056,57777,29943,30134,1083
