event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
009 日常（QBU191）,30,30,30,30,0,2,2,M1911,8.516,0.083,108376,75906,76105,9253
009 日常（QBU191）,30,30,30,30,0,2,5,纳甘左轮,8.379,0.082,108376,75906,76105,9105
009 日常（QBU191）,30,30,30,30,0,2,9,P38,8.479,0.083,108376,75906,76105,9213
009 日常（QBU191）,30,30,30,30,0,2,10,PPK,8.396,0.083,108376,75906,76105,9123
009 日常（QBU191）,30,30,30,30,0,2,17,M3,0.269,0.016,108376,75906,76105,292
009 日常（QBU191）,30,30,30,30,0,2,21,PPSh-41,0.120,0.010,108376,75906,76105,130
009 日常（QBU191）,30,30,30,30,0,2,24,PP-2000,0.274,0.016,108376,75906,76105,298
009 日常（QBU191）,30,30,30,30,0,2,25,MP40,0.241,0.015,108376,75906,76105,262
009 日常（QBU191）,30,30,30,30,0,2,31,伯莱塔38型,0.277,0.016,108376,75906,76105,301
009 日常（QBU191）,30,30,30,30,0,2,33,m45,0.264,0.016,108376,75906,76105,287
009 日常（QBU191）,30,30,30,30,0,2,90,FNP-9,8.594,0.083,108376,75906,76105,9338
009 日常（QBU191）,30,30,30,30,0,2,91,MP-446,8.418,0.083,108376,75906,76105,9147
009 日常（QBU191）,30,30,30,30,0,2,92,幽灵M4,0.265,0.016,108376,75906,76105,288
009 日常（QBU191）,30,30,30,30,0,2,93,IDW,0.263,0.016,108376,75906,76105,286
009 日常（QBU191）,30,30,30,30,0,2,94,64式,0.255,0.015,108376,75906,76105,277
009 日常（QBU191）,30,30,30,30,0,2,139,布伦·坦,8.562,0.083,108376,75906,76105,9303
009 日常（QBU191）,30,30,30,30,0,2,141,USP-C,8.469,0.083,108376,75906,76105,9202
009 日常（QBU191）,30,30,30,30,0,3,3,M9,3.879,0.054,108376,25241,25438,4237
009 日常（QBU191）,30,30,30,30,0,3,6,托卡列夫,1.902,0.040,108376,25241,25438,2077
009 日常（QBU191）,30,30,30,30,0,3,8,马卡洛夫,2.047,0.041,108376,25241,25438,2236
009 日常（QBU191）,30,30,30,30,0,3,11,P08,3.937,0.055,108376,25241,25438,4300
009 日常（QBU191）,30,30,30,30,0,3,12,C96,3.925,0.055,108376,25241,25438,4287
009 日常（QBU191）,30,30,30,30,0,3,13,92式,1.915,0.040,108376,25241,25438,2092
009 日常（QBU191）,30,30,30,30,0,3,14,阿斯特拉左轮,3.967,0.055,108376,25241,25438,4333
009 日常（QBU191）,30,30,30,30,0,3,18,MAC-10,0.202,0.014,108376,25241,25438,221
009 日常（QBU191）,30,30,30,30,0,3,22,PPS-43,0.116,0.010,108376,25241,25438,127
009 日常（QBU191）,30,30,30,30,0,3,27,蝎式,0.208,0.014,108376,25241,25438,227
009 日常（QBU191）,30,30,30,30,0,3,32,微型乌兹,0.201,0.014,108376,25241,25438,220
009 日常（QBU191）,30,30,30,30,0,3,123,P99,0.990,0.029,108376,25241,25438,1081
009 日常（QBU191）,30,30,30,30,0,4,1,柯尔特左轮,2.371,0.031,108376,4666,4722,2600
009 日常（QBU191）,30,30,30,30,0,4,26,MP5,0.099,0.009,108376,4666,4722,109
009 日常（QBU191）,30,30,30,30,0,4,99,Mk23,1.835,0.031,108376,4666,4722,2013
009 日常（QBU191）,30,30,30,30,0,5,16,汤姆森,0.046,0.006,108376,2563,2607,51
009 日常（QBU191）,30,30,30,30,0,5,96,灰熊MkⅤ,1.020,0.023,108376,2563,2607,1124
009 日常（QBU191）,30,30,30,30,0,5,126,NZ75,0.525,0.019,108376,2563,2607,579
009 日常（QBU191）,30,30,30,30,0,5,233,Px4 风暴,0.532,0.019,108376,2563,2607,587
009 日常（QBU191）,30,30,30,30,0,5,260,PA-15,0.241,0.014,108376,2563,2607,266
009 日常（QBU191）,91,400,400,30,0,2,17,M3,1.686,0.168,5741,3029,3066,98
