event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
011 日常（82式）,100,400,400,200,0,2,17,M3,1.738,0.073,30456,14306,14702,544
011 日常（82式）,100,400,400,200,0,2,21,PPSh-41,0.978,0.055,30456,14306,14702,306
011 日常（82式）,100,400,400,200,0,2,24,PP-2000,1.959,0.078,30456,14306,14702,613
011 日常（82式）,100,400,400,200,0,2,25,MP40,1.859,0.076,30456,14306,14702,582
011 日常（82式）,100,400,400,200,0,2,31,伯莱塔38型,1.834,0.075,30456,14306,14702,574
011 日常（82式）,100,400,400,200,0,2,33,m45,1.895,0.076,30456,14306,14702,593
011 日常（82式）,100,400,400,200,0,2,63,G3,5.483,0.125,30456,14306,14702,1716
011 日常（82式）,100,400,400,200,0,2,68,L85A1,5.473,0.125,30456,14306,14702,1713
011 日常（82式）,100,400,400,200,0,2,71,加利尔,5.677,0.127,30456,14306,14702,1777
011 日常（82式）,100,400,400,200,0,2,74,SIG-510,5.447,0.124,30456,14306,14702,1705
011 日常（82式）,100,400,400,200,0,2,92,幽灵M4,1.930,0.077,30456,14306,14702,604
011 日常（82式）,100,400,400,200,0,2,93,IDW,1.875,0.076,30456,14306,14702,587
011 日常（82式）,100,400,400,200,0,2,94,64式,1.802,0.075,30456,14306,14702,564
011 日常（82式）,100,400,400,200,0,2,107,F2000,5.355,0.123,30456,14306,14702,1676
011 日常（82式）,100,400,400,200,0,2,133,63式,3.668,0.104,30456,14306,14702,1148
011 日常（82式）,100,400,400,200,0,3,18,MAC-10,1.366,0.062,30456,6064,6703,460
011 日常（82式）,100,400,400,200,0,3,22,PPS-43,0.850,0.049,30456,6064,6703,286
011 日常（82式）,100,400,400,200,0,3,27,蝎式,1.369,0.062,30456,6064,6703,461
011 日常（82式）,100,400,400,200,0,3,32,微型乌兹,1.456,0.063,30456,6064,6703,490
011 日常（82式）,100,400,400,200,0,3,58,AK-47,4.043,0.098,30456,6064,6703,1361
011 日常（82式）,100,400,400,200,0,3,61,StG44,4.352,0.101,30456,6064,6703,1465
011 日常（82式）,100,400,400,200,0,3,70,FNC,4.111,0.099,30456,6064,6703,1384
011 日常（82式）,100,400,400,200,0,3,105,OTs-12,2.364,0.079,30456,6064,6703,796
011 日常（82式）,100,400,400,200,0,4,26,MP5,0.945,0.051,30456,6637,7566,328
011 日常（82式）,100,400,400,200,0,4,60,AS Val,1.558,0.065,30456,6637,7566,541
011 日常（82式）,100,400,400,200,0,4,64,G36,0.559,0.040,30456,6637,7566,194
011 日常（82式）,100,400,400,200,0,4,66,56-1式,1.478,0.063,30456,6637,7566,513
011 日常（82式）,100,400,400,200,0,4,69,FAMAS,1.567,0.065,30456,6637,7566,544
011 日常（82式）,100,400,400,200,0,4,72,TAR-21,1.106,0.055,30456,6637,7566,384
011 日常（82式）,100,400,400,200,0,4,118,9A-91,1.527,0.064,30456,6637,7566,530
011 日常（82式）,100,400,400,200,0,4,171,利贝罗勒,1.074,0.054,30456,6637,7566,373
011 日常（82式）,100,400,400,200,0,4,216,XM8,1.483,0.063,30456,6637,7566,515
011 日常（82式）,100,400,400,200,0,4,237,SAR-21,1.463,0.063,30456,6637,7566,508
011 日常（82式）,100,400,400,200,0,4,262,EM-2,1.486,0.063,30456,6637,7566,516
011 日常（82式）,100,400,400,200,0,4,288,CR-21,1.406,0.062,30456,6637,7566,488
011 日常（82式）,100,400,400,200,0,4,330,FX-05,1.527,0.064,30456,6637,7566,530
011 日常（82式）,100,400,400,200,0,4,349,AK74M,1.642,0.066,30456,6637,7566,570
011 日常（82式）,100,400,400,200,0,4,382,MSBS,1.489,0.063,30456,6637,7566,517
011 日常（82式）,100,400,400,200,0,4,394,CM901,1.483,0.063,30456,6637,7566,515
011 日常（82式）,100,400,400,200,0,5,16,汤姆森,0.403,0.033,30456,3449,3994,142
011 日常（82式）,100,400,400,200,0,5,62,G41,0.539,0.038,30456,3449,3994,190
011 日常（82式）,100,400,400,200,0,5,65,HK416,0.496,0.037,30456,3449,3994,175
011 日常（82式）,100,400,400,200,0,5,106,FAL,0.386,0.033,30456,3449,3994,136
011 日常（82式）,100,400,400,200,0,5,122,G11,0.303,0.029,30456,3449,3994,107
011 日常（82式）,100,400,400,200,0,5,129,95式,0.400,0.033,30456,3449,3994,141
011 日常（82式）,100,400,400,200,0,5,130,97式,0.388,0.033,30456,3449,3994,137
011 日常（82式）,100,400,400,200,0,5,172,RFB,0.312,0.029,30456,3449,3994,110
011 日常（82式）,100,400,400,200,0,5,181,T91,0.403,0.033,30456,3449,3994,142
011 日常（82式）,100,400,400,200,0,5,194,K2,0.281,0.028,30456,3449,3994,99
011 日常（82式）,100,400,400,200,0,5,196,Zas M21,0.482,0.036,30456,3449,3994,170
011 日常（82式）,100,400,400,200,0,5,205,AN-94,0.244,0.026,30456,3449,3994,86
011 日常（82式）,100,400,400,200,0,5,206,AK-12,0.269,0.027,30456,3449,3994,95
011 日常（82式）,100,400,400,200,0,5,214,ADS,0.309,0.029,30456,3449,3994,109
011 日常（82式）,100,400,400,200,0,5,215,MDR,0.363,0.032,30456,3449,3994,128
011 日常（82式）,100,400,400,200,0,5,236,K11,0.522,0.038,30456,3449,3994,184
011 日常（82式）,100,400,400,200,0,5,243,64式自,0.536,0.038,30456,3449,3994,189
011 日常（82式）,100,400,400,200,0,5,287,SIG-556,0.403,0.033,30456,3449,3994,142
011 日常（82式）,100,400,400,200,0,5,290,89式自,0.193,0.023,30456,3449,3994,68
011 日常（82式）,100,400,400,200,0,5,293,AK-15,0.286,0.028,30456,3449,3994,101
011 日常（82式）,100,400,400,200,0,5,306,AK-阿尔法,0.343,0.031,30456,3449,3994,121
011 日常（82式）,100,400,400,200,0,5,313,S-ACR,0.476,0.036,30456,3449,3994,168
011 日常（82式）,100,400,400,200,0,5,338,SIG MCX,0.746,0.045,30456,3449,3994,263
011 日常（82式）,100,400,400,200,0,5,356,A-545,0.525,0.038,30456,3449,3994,185
011 日常（82式）,100,400,400,200,0,5,365,SCR,0.499,0.037,30456,3449,3994,176
011 日常（82式）,100,400,400,200,0,5,378,SCAR-L,0.272,0.027,30456,3449,3994,96
011 日常（82式）,100,400,400,200,0,5,390,HK433,0.559,0.039,30456,3449,3994,197
011 日常（82式）,100,400,400,200,0,5,393,贝奥武夫,0.388,0.033,30456,3449,3994,137
011 日常（82式）,400,100,400,200,0,2,17,M3,1.258,0.146,5738,3163,3198,73
011 日常（82式）,400,100,400,200,0,2,21,PPSh-41,0.552,0.097,5738,3163,3198,32
011 日常（82式）,400,100,400,200,0,2,24,PP-2000,1.569,0.163,5738,3163,3198,91
011 日常（82式）,400,100,400,200,0,2,25,MP40,1.413,0.155,5738,3163,3198,82
011 日常（82式）,400,100,400,200,0,2,31,伯莱塔38型,1.689,0.169,5738,3163,3198,98
011 日常（82式）,400,100,400,200,0,2,33,m45,1.534,0.161,5738,3163,3198,89
011 日常（82式）,400,100,400,200,0,2,40,SVT-38,7.084,0.328,5738,3163,3198,411
011 日常（82式）,400,100,400,200,0,2,41,西蒙诺夫,6.757,0.321,5738,3163,3198,392
011 日常（82式）,400,100,400,200,0,2,47,G43,7.429,0.334,5738,3163,3198,431
011 日常（82式）,400,100,400,200,0,2,51,FN-49,6.412,0.314,5738,3163,3198,372
011 日常（82式）,400,100,400,200,0,2,52,BM59,7.015,0.326,5738,3163,3198,407
011 日常（82式）,400,100,400,200,0,2,63,G3,1.482,0.158,5738,3163,3198,86
