event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
014 日常（FM24）,800,800,100,400,0,2,17,M3,1.311,0.121,8204,3704,3927,114
014 日常（FM24）,800,800,100,400,0,2,21,PPSh-41,0.839,0.098,8204,3704,3927,73
014 日常（FM24）,800,800,100,400,0,2,24,PP-2000,1.150,0.114,8204,3704,3927,100
014 日常（FM24）,800,800,100,400,0,2,25,MP40,1.380,0.125,8204,3704,3927,120
014 日常（FM24）,800,800,100,400,0,2,31,伯莱塔38型,1.345,0.123,8204,3704,3927,117
014 日常（FM24）,800,800,100,400,0,2,33,m45,1.322,0.122,8204,3704,3927,115
014 日常（FM24）,800,800,100,400,0,2,63,G3,1.368,0.124,8204,3704,3927,119
014 日常（FM24）,800,800,100,400,0,2,68,L85A1,1.403,0.126,8204,3704,3927,122
014 日常（FM24）,800,800,100,400,0,2,71,加利尔,1.184,0.116,8204,3704,3927,103
014 日常（FM24）,800,800,100,400,0,2,74,SIG-510,1.253,0.119,8204,3704,3927,109
014 日常（FM24）,800,800,100,400,0,2,81,LWMMG,5.254,0.232,8204,3704,3927,457
014 日常（FM24）,800,800,100,400,0,2,82,DP28,5.277,0.232,8204,3704,3927,459
014 日常（FM24）,800,800,100,400,0,2,87,MG34,5.496,0.237,8204,3704,3927,478
014 日常（FM24）,800,800,100,400,0,2,92,幽灵M4,1.460,0.128,8204,3704,3927,127
014 日常（FM24）,800,800,100,400,0,2,93,IDW,1.242,0.118,8204,3704,3927,108
014 日常（FM24）,800,800,100,400,0,2,94,64式,1.115,0.112,8204,3704,3927,97
014 日常（FM24）,800,800,100,400,0,2,107,F2000,1.265,0.119,8204,3704,3927,110
014 日常（FM24）,800,800,100,400,0,2,110,FG42,5.231,0.232,8204,3704,3927,455
014 日常（FM24）,800,800,100,400,0,2,111,AAT-52,5.369,0.234,8204,3704,3927,467
014 日常（FM24）,800,800,100,400,0,2,133,63式,0.885,0.100,8204,3704,3927,77
014 日常（FM24）,800,800,100,400,0,3,18,MAC-10,0.976,0.099,8204,1579,1853,94
014 日常（FM24）,800,800,100,400,0,3,22,PPS-43,0.748,0.087,8204,1579,1853,72
014 日常（FM24）,800,800,100,400,0,3,27,蝎式,1.018,0.100,8204,1579,1853,98
014 日常（FM24）,800,800,100,400,0,3,29,司登MkⅡ,1.049,0.102,8204,1579,1853,101
014 日常（FM24）,800,800,100,400,0,3,32,微型乌兹,0.976,0.099,8204,1579,1853,94
014 日常（FM24）,800,800,100,400,0,3,58,AK-47,0.872,0.093,8204,1579,1853,84
014 日常（FM24）,800,800,100,400,0,3,61,StG44,0.810,0.090,8204,1579,1853,78
014 日常（FM24）,800,800,100,400,0,3,70,FNC,1.008,0.100,8204,1579,1853,97
014 日常（FM24）,800,800,100,400,0,3,77,M2HB,2.046,0.138,8204,1579,1853,197
014 日常（FM24）,800,800,100,400,0,3,80,M1919A4,3.043,0.164,8204,1579,1853,293
014 日常（FM24）,800,800,100,400,0,3,86,MG42,2.981,0.162,8204,1579,1853,287
014 日常（FM24）,800,800,100,400,0,3,89,布伦,3.085,0.165,8204,1579,1853,297
014 日常（FM24）,800,800,100,400,0,3,105,OTs-12,0.634,0.080,8204,1579,1853,61
014 日常（FM24）,800,800,100,400,0,4,23,PP-90,0.414,0.069,8204,2074,2200,36
014 日常（FM24）,800,800,100,400,0,4,26,MP5,0.804,0.095,8204,2074,2200,70
014 日常（FM24）,800,800,100,400,0,4,60,AS Val,0.310,0.060,8204,2074,2200,27
014 日常（FM24）,800,800,100,400,0,4,66,56-1式,0.356,0.064,8204,2074,2200,31
014 日常（FM24）,800,800,100,400,0,4,69,FAMAS,0.448,0.071,8204,2074,2200,39
