event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
016 人形UP（P50）,130,130,130,30,0,2,2,M1911,5.553,0.102,47156,27102,27812,2687
016 人形UP（P50）,130,130,130,30,0,2,5,纳甘左轮,5.553,0.102,47156,27102,27812,2687
016 人形UP（P50）,130,130,130,30,0,2,9,P38,5.470,0.101,47156,27102,27812,2647
016 人形UP（P50）,130,130,130,30,0,2,10,PPK,5.383,0.101,47156,27102,27812,2605
016 人形UP（P50）,130,130,130,30,0,2,17,M3,1.469,0.054,47156,27102,27812,711
016 人形UP（P50）,130,130,130,30,0,2,21,PPSh-41,0.918,0.043,47156,27102,27812,444
016 人形UP（P50）,130,130,130,30,0,2,24,PP-2000,1.577,0.056,47156,27102,27812,763
016 人形UP（P50）,130,130,130,30,0,2,25,MP40,1.620,0.057,47156,27102,27812,784
016 人形UP（P50）,130,130,130,30,0,2,31,伯莱塔38型,1.517,0.055,47156,27102,27812,734
016 人形UP（P50）,130,130,130,30,0,2,33,m45,1.573,0.056,47156,27102,27812,761
016 人形UP（P50）,130,130,130,30,0,2,90,FNP-9,5.437,0.101,47156,27102,27812,2631
016 人形UP（P50）,130,130,130,30,0,2,91,MP-446,5.518,0.102,47156,27102,27812,2670
016 人形UP（P50）,130,130,130,30,0,2,92,幽灵M4,1.583,0.056,47156,27102,27812,766
016 人形UP（P50）,130,130,130,30,0,2,93,IDW,1.558,0.056,47156,27102,27812,754
016 人形UP（P50）,130,130,130,30,0,2,94,64式,1.717,0.059,47156,27102,27812,831
016 人形UP（P50）,130,130,130,30,0,2,139,布伦·坦,5.453,0.101,47156,27102,27812,2639
016 人形UP（P50）,130,130,130,30,0,2,141,USP-C,5.575,0.102,47156,27102,27812,2698
016 人形UP（P50）,130,130,130,30,0,3,3,M9,2.957,0.069,47156,10683,12457,1626
016 人形UP（P50）,130,130,130,30,0,3,6,托卡列夫,1.531,0.051,47156,10683,12457,842
016 人形UP（P50）,130,130,130,30,0,3,8,马卡洛夫,1.644,0.053,47156,10683,12457,904
016 人形UP（P50）,130,130,130,30,0,3,11,P08,3.150,0.070,47156,10683,12457,1732
016 人形UP（P50）,130,130,130,30,0,3,12,C96,2.992,0.069,47156,10683,12457,1645
016 人形UP（P50）,130,130,130,30,0,3,13,92式,1.742,0.054,47156,10683,12457,958
016 人形UP（P50）,130,130,130,30,0,3,14,阿斯特拉左轮,3.028,0.069,47156,10683,12457,1665
016 人形UP（P50）,130,130,130,30,0,3,18,MAC-10,1.384,0.049,47156,10683,12457,761
016 人形UP（P50）,130,130,130,30,0,3,22,PPS-43,0.777,0.037,47156,10683,12457,427
016 人形UP（P50）,130,130,130,30,0,3,27,蝎式,1.329,0.048,47156,10683,12457,731
016 人形UP（P50）,130,130,130,30,0,3,32,微型乌兹,1.277,0.047,47156,10683,12457,702
016 人形UP（P50）,130,130,130,30,0,3,123,P99,0.844,0.039,47156,10683,12457,464
016 人形UP（P50）,130,130,130,30,0,4,1,柯尔特左轮,1.883,0.053,47156,6636,8234,1102
016 人形UP（P50）,130,130,130,30,0,4,7,斯捷奇金,0.988,0.040,47156,6636,8234,578
016 人形UP（P50）,130,130,130,30,0,4,26,MP5,0.808,0.036,47156,6636,8234,473
016 人形UP（P50）,130,130,130,30,0,4,99,Mk23,1.470,0.048,47156,6636,8234,860
016 人形UP（P50）,130,130,130,30,0,4,100,P7,1.518,0.048,47156,6636,8234,888
016 人形UP（P50）,130,130,130,30,0,4,168,喷火,0.950,0.039,47156,6636,8234,556
016 人形UP（P50）,130,130,130,30,0,4,212,K5,0.468,0.028,47156,6636,8234,274
016 人形UP（P50）,130,130,130,30,0,4,248,杰里科,0.899,0.038,47156,6636,8234,526
016 人形UP（P50）,130,130,130,30,0,4,269,P30,0.947,0.039,47156,6636,8234,554
016 人形UP（P50）,130,130,130,30,0,4,310,Rex-0-1,0.444,0.027,47156,6636,8234,260
016 人形UP（P50）,130,130,130,30,0,4,346,CZ 100,1.513,0.048,47156,6636,8234,885
016 人形UP（P50）,130,130,130,30,0,4,354,ZiP .22,1.451,0.047,47156,6636,8234,849
016 人形UP（P50）,130,130,130,30,0,4,379,P10C,0.733,0.035,47156,6636,8234,429
016 人形UP（P50）,130,130,130,30,0,5,16,汤姆森,0.345,0.023,47156,2735,3598,214
016 人形UP（P50）,130,130,130,30,0,5,96,灰熊MkⅤ,0.758,0.033,47156,2735,3598,470
016 人形UP（P50）,130,130,130,30,0,5,97,M950A,0.405,0.025,47156,2735,3598,251
016 人形UP（P50）,130,130,130,30,0,5,114,维尔德MkⅡ,0.556,0.029,47156,2735,3598,345
016 人形UP（P50）,130,130,130,30,0,5,126,NZ75,0.388,0.024,47156,2735,3598,241
016 人形UP（P50）,130,130,130,30,0,5,183,竞争者,0.185,0.017,47156,2735,3598,115
016 人形UP（P50）,130,130,130,30,0,5,233,Px4 风暴,0.421,0.025,47156,2735,3598,261
016 人形UP（P50）,130,130,130,30,0,5,260,PA-15,0.224,0.019,47156,2735,3598,139
016 人形UP（P50）,130,130,130,30,0,5,285,C-93,0.205,0.018,47156,2735,3598,127
016 人形UP（P50）,130,130,130,30,0,5,303,HP-35,0.385,0.024,47156,2735,3598,239
016 人形UP（P50）,130,130,130,30,0,5,375,柯尔特沃克,0.274,0.021,47156,2735,3598,170
016 人形UP（P50）,130,130,130,30,0,5,400,柯尔特M1851N,1.654,0.044,47156,2735,3598,1026
016 人形UP（P50）,130,130,130,130,0,2,2,M1911,5.633,0.266,7105,3951,4018,407
016 人形UP（P50）,130,130,130,130,0,2,5,纳甘左轮,5.744,0.268,7105,3951,4018,415
016 人形UP（P50）,130,130,130,130,0,2,9,P38,4.816,0.248,7105,3951,4018,348
016 人形UP（P50）,130,130,130,130,0,2,10,PPK,5.121,0.255,7105,3951,4018,370
016 人形UP（P50）,130,130,130,130,0,2,17,M3,1.536,0.144,7105,3951,4018,111
016 人形UP（P50）,130,130,130,130,0,2,21,PPSh-41,1.135,0.125,7105,3951,4018,82
016 人形UP（P50）,130,130,130,130,0,2,24,PP-2000,1.758,0.154,7105,3951,4018,127
016 人形UP（P50）,130,130,130,130,0,2,25,MP40,1.522,0.144,7105,3951,4018,110
016 人形UP（P50）,130,130,130,130,0,2,31,伯莱塔38型,1.688,0.151,7105,3951,4018,122
016 人形UP（P50）,130,130,130,130,0,2,33,m45,1.813,0.156,7105,3951,4018,131
016 人形UP（P50）,130,130,130,130,0,2,90,FNP-9,5.148,0.255,7105,3951,4018,372
016 人形UP（P50）,130,130,130,130,0,2,91,MP-446,4.982,0.252,7105,3951,4018,360
016 人形UP（P50）,130,130,130,130,0,2,92,幽灵M4,1.536,0.144,7105,3951,4018,111
016 人形UP（P50）,130,130,130,130,0,2,93,IDW,1.481,0.142,7105,3951,4018,107
016 人形UP（P50）,130,130,130,130,0,2,94,64式,1.481,0.142,7105,3951,4018,107
016 人形UP（P50）,130,130,130,130,0,2,139,布伦·坦,4.982,0.252,7105,3951,4018,360
016 人形UP（P50）,130,130,130,130,0,2,141,USP-C,5.231,0.257,7105,3951,4018,378
016 人形UP（P50）,130,130,130,130,0,3,3,M9,2.762,0.173,7105,1554,1774,224
016 人形UP（P50）,130,130,130,130,0,3,6,托卡列夫,1.504,0.132,7105,1554,1774,122
016 人形UP（P50）,130,130,130,130,0,3,8,马卡洛夫,1.627,0.137,7105,1554,1774,132
016 人形UP（P50）,130,130,130,130,0,3,11,P08,2.651,0.170,7105,1554,1774,215
016 人形UP（P50）,130,130,130,130,0,3,12,C96,2.823,0.175,7105,1554,1774,229
016 人形UP（P50）,130,130,130,130,0,3,13,92式,1.788,0.143,7105,1554,1774,145
016 人形UP（P50）,130,130,130,130,0,3,14,阿斯特拉左轮,2.959,0.178,7105,1554,1774,240
016 人形UP（P50）,130,130,130,130,0,3,18,MAC-10,1.430,0.129,7105,1554,1774,116
016 人形UP（P50）,130,130,130,130,0,3,22,PPS-43,0.814,0.099,7105,1554,1774,66
016 人形UP（P50）,130,130,130,130,0,3,27,蝎式,1.393,0.127,7105,1554,1774,113
016 人形UP（P50）,130,130,130,130,0,3,32,微型乌兹,1.381,0.127,7105,1554,1774,112
016 人形UP（P50）,130,130,130,130,0,3,123,P99,0.740,0.094,7105,1554,1774,60
016 人形UP（P50）,130,130,130,130,0,4,1,柯尔特左轮,2.056,0.146,7105,1178,1419,176
016 人形UP（P50）,130,130,130,130,0,4,7,斯捷奇金,1.110,0.110,7105,1178,1419,95
016 人形UP（P50）,130,130,130,130,0,4,26,MP5,1.425,0.124,7105,1178,1419,122
016 人形UP（P50）,130,130,130,130,0,4,99,Mk23,1.472,0.126,7105,1178,1419,126
016 人形UP（P50）,130,130,130,130,0,4,100,P7,1.496,0.127,7105,1178,1419,128
016 人形UP（P50）,130,130,130,130,0,4,168,喷火,1.367,0.122,7105,1178,1419,117
016 人形UP（P50）,130,130,130,130,0,4,212,K5,0.549,0.079,7105,1178,1419,47
016 人形UP（P50）,130,130,130,130,0,4,248,杰里科,1.262,0.117,7105,1178,1419,108
016 人形UP（P50）,130,130,130,130,0,4,269,P30,0.970,0.104,7105,1178,1419,83
016 人形UP（P50）,130,130,130,130,0,4,310,Rex-0-1,0.526,0.077,7105,1178,1419,45
016 人形UP（P50）,130,130,130,130,0,4,346,CZ 100,1.636,0.132,7105,1178,1419,140
016 人形UP（P50）,130,130,130,130,0,4,354,ZiP .22,1.788,0.137,7105,1178,1419,153
016 人形UP（P50）,130,130,130,130,0,4,379,P10C,0.923,0.101,7105,1178,1419,79
016 人形UP（P50）,130,130,130,130,0,5,16,汤姆森,0.380,0.063,7105,422,532,34
016 人形UP（P50）,130,130,130,130,0,5,96,灰熊MkⅤ,0.748,0.086,7105,422,532,67
016 人形UP（P50）,130,130,130,130,0,5,97,M950A,0.458,0.069,7105,422,532,41
016 人形UP（P50）,130,130,130,130,0,5,114,维尔德MkⅡ,0.636,0.080,7105,422,532,57
016 人形UP（P50）,130,130,130,130,0,5,126,NZ75,0.447,0.068,7105,422,532,40
016 人形UP（P50）,130,130,130,130,0,5,183,竞争者,0.134,0.038,7105,422,532,12
016 人形UP（P50）,130,130,130,130,0,5,233,Px4 风暴,0.447,0.068,7105,422,532,40
016 人形UP（P50）,130,130,130,130,0,5,260,PA-15,0.246,0.051,7105,422,532,22
016 人形UP（P50）,130,130,130,130,0,5,285,C-93,0.167,0.043,7105,422,532,15
016 人形UP（P50）,130,130,130,130,0,5,303,HP-35,0.502,0.072,7105,422,532,45
016 人形UP（P50）,130,130,130,130,0,5,375,柯尔特沃克,0.279,0.055,7105,422,532,25
016 人形UP（P50）,130,130,130,130,0,5,400,柯尔特M1851N,1.496,0.112,7105,422,532,134
016 人形UP（P50）,400,100,400,200,0,2,17,M3,1.166,0.057,33747,16918,17409,405
016 人形UP（P50）,400,100,400,200,0,2,21,PPSh-41,0.896,0.050,33747,16918,17409,311
016 人形UP（P50）,400,100,400,200,0,2,24,PP-2000,1.123,0.056,33747,16918,17409,390
016 人形UP（P50）,400,100,400,200,0,2,25,MP40,1.152,0.057,33747,16918,17409,400
016 人形UP（P50）,400,100,400,200,0,2,31,伯莱塔38型,1.394,0.063,33747,16918,17409,484
016 人形UP（P50）,400,100,400,200,0,2,33,m45,1.215,0.059,33747,16918,17409,422
016 人形UP（P50）,400,100,400,200,0,2,40,SVT-38,5.990,0.123,33747,16918,17409,2080
016 人形UP（P50）,400,100,400,200,0,2,41,西蒙诺夫,6.090,0.124,33747,16918,17409,2115
