event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
017 日常（P50）,130,130,130,30,0,2,2,M1911,4.788,0.409,2440,1173,1255,125
017 日常（P50）,130,130,130,30,0,2,5,纳甘左轮,4.558,0.401,2440,1173,1255,119
017 日常（P50）,130,130,130,30,0,2,9,P38,5.325,0.429,2440,1173,1255,139
017 日常（P50）,130,130,130,30,0,2,10,PPK,4.367,0.393,2440,1173,1255,114
017 日常（P50）,130,130,130,30,0,2,17,M3,0.919,0.187,2440,1173,1255,24
017 日常（P50）,130,130,130,30,0,2,21,PPSh-41,0.804,0.175,2440,1173,1255,21
017 日常（P50）,130,130,130,30,0,2,24,PP-2000,1.073,0.202,2440,1173,1255,28
017 日常（P50）,130,130,130,30,0,2,25,MP40,1.379,0.228,2440,1173,1255,36
017 日常（P50）,130,130,130,30,0,2,31,伯莱塔38型,1.226,0.215,2440,1173,1255,32
017 日常（P50）,130,130,130,30,0,2,33,m45,1.149,0.209,2440,1173,1255,30
017 日常（P50）,130,130,130,30,0,2,90,FNP-9,4.405,0.394,2440,1173,1255,115
017 日常（P50）,130,130,130,30,0,2,91,MP-446,4.520,0.399,2440,1173,1255,118
017 日常（P50）,130,130,130,30,0,2,92,幽灵M4,1.264,0.219,2440,1173,1255,33
017 日常（P50）,130,130,130,30,0,2,93,IDW,1.226,0.215,2440,1173,1255,32
017 日常（P50）,130,130,130,30,0,2,94,64式,1.302,0.222,2440,1173,1255,34
017 日常（P50）,130,130,130,30,0,2,139,布伦·坦,4.903,0.414,2440,1173,1255,128
017 日常（P50）,130,130,130,30,0,2,141,USP-C,4.865,0.412,2440,1173,1255,127
017 日常（P50）,130,130,130,30,0,3,3,M9,3.777,0.329,2440,612,757,114
017 日常（P50）,130,130,130,30,0,3,6,托卡列夫,1.690,0.230,2440,612,757,51
017 日常（P50）,130,130,130,30,0,3,8,马卡洛夫,1.557,0.222,2440,612,757,47
017 日常（P50）,130,130,130,30,0,3,11,P08,2.949,0.296,2440,612,757,89
017 日常（P50）,130,130,130,30,0,3,12,C96,3.479,0.318,2440,612,757,105
017 日常（P50）,130,130,130,30,0,3,13,92式,2.253,0.263,2440,612,757,68
017 日常（P50）,130,130,130,30,0,3,14,阿斯特拉左轮,3.081,0.302,2440,612,757,93
017 日常（P50）,130,130,130,30,0,3,18,MAC-10,0.895,0.170,2440,612,757,27
017 日常（P50）,130,130,130,30,0,3,22,PPS-43,1.027,0.182,2440,612,757,31
017 日常（P50）,130,130,130,30,0,3,27,蝎式,1.358,0.208,2440,612,757,41
017 日常（P50）,130,130,130,30,0,3,32,微型乌兹,1.657,0.228,2440,612,757,50
017 日常（P50）,130,130,130,30,0,3,123,P99,1.358,0.208,2440,612,757,41
017 日常（P50）,130,130,130,30,0,4,1,柯尔特左轮,2.824,0.291,2440,474,564,82
017 日常（P50）,130,130,130,30,0,4,7,斯捷奇金,1.550,0.223,2440,474,564,45
017 日常（P50）,130,130,130,30,0,4,26,MP5,1.068,0.188,2440,474,564,31
017 日常（P50）,130,130,130,30,0,4,99,Mk23,1.447,0.216,2440,474,564,42
017 日常（P50）,130,130,130,30,0,4,100,P7,2.170,0.260,2440,474,564,63
017 日常（P50）,130,130,130,30,0,4,168,喷火,1.791,0.238,2440,474,564,52
017 日常（P50）,130,130,130,30,0,4,212,K5,0.689,0.152,2440,474,564,20
017 日常（P50）,130,130,130,30,0,4,248,杰里科,1.516,0.221,2440,474,564,44
017 日常（P50）,130,130,130,30,0,4,269,P30,1.240,0.201,2440,474,564,36
017 日常（P50）,130,130,130,30,0,4,310,Rex-0-1,0.517,0.133,2440,474,564,15
017 日常（P50）,130,130,130,30,0,4,346,CZ 100,1.791,0.238,2440,474,564,52
017 日常（P50）,130,130,130,30,0,4,354,ZiP .22,1.722,0.234,2440,474,564,50
017 日常（P50）,130,130,130,30,0,4,379,P10C,1.102,0.191,2440,474,564,32
017 日常（P50）,130,130,130,30,0,5,16,汤姆森,0.568,0.129,2440,181,235,18
017 日常（P50）,130,130,130,30,0,5,96,灰熊MkⅤ,1.263,0.183,2440,181,235,40
017 日常（P50）,130,130,130,30,0,5,97,M950A,0.537,0.126,2440,181,235,17
017 日常（P50）,130,130,130,30,0,5,114,维尔德MkⅡ,0.758,0.147,2440,181,235,24
017 日常（P50）,130,130,130,30,0,5,126,NZ75,0.631,0.136,2440,181,235,20
017 日常（P50）,130,130,130,30,0,5,183,竞争者,0.284,0.093,2440,181,235,9
017 日常（P50）,130,130,130,30,0,5,233,Px4 风暴,0.505,0.122,2440,181,235,16
