event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
019 人形UP（XM556）,97,404,404,97,0,2,17,M3,2.110,0.362,1564,696,696,33
019 人形UP（XM556）,97,404,404,97,0,2,21,PPSh-41,1.023,0.255,1564,696,696,16
019 人形UP（XM556）,97,404,404,97,0,2,24,PP-2000,2.366,0.382,1564,696,696,37
019 人形UP（XM556）,97,404,404,97,0,2,25,MP40,2.046,0.356,1564,696,696,32
019 人形UP（XM556）,97,404,404,97,0,2,31,伯莱塔38型,1.982,0.351,1564,696,696,31
019 人形UP（XM556）,97,404,404,97,0,2,33,m45,2.621,0.401,1564,696,696,41
019 人形UP（XM556）,97,404,404,97,0,2,63,G3,3.836,0.478,1564,696,696,60
019 人形UP（XM556）,97,404,404,97,0,2,68,L85A1,4.604,0.518,1564,696,696,72
019 人形UP（XM556）,97,404,404,97,0,2,71,加利尔,4.795,0.528,1564,696,696,75
019 人形UP（XM556）,97,404,404,97,0,2,74,SIG-510,4.540,0.515,1564,696,696,71
019 人形UP（XM556）,97,404,404,97,0,2,92,幽灵M4,2.046,0.356,1564,696,696,32
019 人形UP（XM556）,97,404,404,97,0,2,93,IDW,1.790,0.334,1564,696,696,28
019 人形UP（XM556）,97,404,404,97,0,2,94,64式,2.621,0.401,1564,696,696,41
019 人形UP（XM556）,97,404,404,97,0,2,107,F2000,5.115,0.543,1564,696,696,80
019 人形UP（XM556）,97,404,404,97,0,2,133,63式,3.005,0.427,1564,696,696,47
019 人形UP（XM556）,97,404,404,97,0,3,18,MAC-10,0.965,0.223,1564,296,353,18
019 人形UP（XM556）,97,404,404,97,0,3,22,PPS-43,0.751,0.198,1564,296,353,14
019 人形UP（XM556）,97,404,404,97,0,3,27,蝎式,1.448,0.270,1564,296,353,27
019 人形UP（XM556）,97,404,404,97,0,3,32,微型乌兹,1.394,0.265,1564,296,353,26
019 人形UP（XM556）,97,404,404,97,0,3,58,AK-47,3.378,0.389,1564,296,353,63
019 人形UP（XM556）,97,404,404,97,0,3,61,StG44,4.664,0.438,1564,296,353,87
019 人形UP（XM556）,97,404,404,97,0,3,70,FNC,3.914,0.412,1564,296,353,73
019 人形UP（XM556）,97,404,404,97,0,3,105,OTs-12,2.413,0.339,1564,296,353,45
019 人形UP（XM556）,97,404,404,97,0,4,26,MP5,1.125,0.242,1564,373,445,21
019 人形UP（XM556）,97,404,404,97,0,4,60,AS Val,1.876,0.307,1564,373,445,35
019 人形UP（XM556）,97,404,404,97,0,4,64,G36,0.214,0.108,1564,373,445,4
019 人形UP（XM556）,97,404,404,97,0,4,66,56-1式,1.286,0.258,1564,373,445,24
019 人形UP（XM556）,97,404,404,97,0,4,69,FAMAS,1.393,0.268,1564,373,445,26
