event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
020 圣建（24国庆）,30,30,30,30,0,2,2,M1911,7.548,0.740,1159,714,759,93
020 圣建（24国庆）,30,30,30,30,0,2,5,纳甘左轮,6.493,0.693,1159,714,759,80
020 圣建（24国庆）,30,30,30,30,0,2,9,P38,8.279,0.770,1159,714,759,102
020 圣建（24国庆）,30,30,30,30,0,2,10,PPK,6.737,0.704,1159,714,759,83
020 圣建（24国庆）,30,30,30,30,0,2,17,M3,0.162,0.116,1159,714,759,2
020 圣建（24国庆）,30,30,30,30,0,2,21,PPSh-41,0.243,0.141,1159,714,759,3
020 圣建（24国庆）,30,30,30,30,0,2,24,PP-2000,0.406,0.182,1159,714,759,5
020 圣建（24国庆）,30,30,30,30,0,2,25,MP40,0.243,0.141,1159,714,759,3
020 圣建（24国庆）,30,30,30,30,0,2,31,伯莱塔38型,0.325,0.163,1159,714,759,4
020 圣建（24国庆）,30,30,30,30,0,2,33,m45,0.406,0.182,1159,714,759,5
020 圣建（24国庆）,30,30,30,30,0,2,90,FNP-9,6.737,0.704,1159,714,759,83
020 圣建（24国庆）,30,30,30,30,0,2,91,MP-446,8.360,0.773,1159,714,759,103
020 圣建（24国庆）,30,30,30,30,0,2,92,幽灵M4,0.243,0.141,1159,714,759,3
020 圣建（24国庆）,30,30,30,30,0,2,93,IDW,0.162,0.116,1159,714,759,2
020 圣建（24国庆）,30,30,30,30,0,2,94,64式,0.325,0.163,1159,714,759,4
020 圣建（24国庆）,30,30,30,30,0,2,139,布伦·坦,7.873,0.753,1159,714,759,97
020 圣建（24国庆）,30,30,30,30,0,2,141,USP-C,7.061,0.719,1159,714,759,87
020 圣建（24国庆）,30,30,30,30,0,3,3,M9,4.449,0.559,1159,287,295,53
020 圣建（24国庆）,30,30,30,30,0,3,6,托卡列夫,2.182,0.413,1159,287,295,26
020 圣建（24国庆）,30,30,30,30,0,3,8,马卡洛夫,2.350,0.427,1159,287,295,28
020 圣建（24国庆）,30,30,30,30,0,3,11,P08,3.945,0.533,1159,287,295,47
020 圣建（24国庆）,30,30,30,30,0,3,12,C96,4.197,0.547,1159,287,295,50
020 圣建（24国庆）,30,30,30,30,0,3,13,92式,2.099,0.406,1159,287,295,25
020 圣建（24国庆）,30,30,30,30,0,3,14,阿斯特拉左轮,3.609,0.514,1159,287,295,43
020 圣建（24国庆）,30,30,30,30,0,3,18,MAC-10,0.168,0.119,1159,287,295,2
020 圣建（24国庆）,30,30,30,30,0,3,27,蝎式,0.336,0.168,1159,287,295,4
020 圣建（24国庆）,30,30,30,30,0,3,32,微型乌兹,0.336,0.168,1159,287,295,4
020 圣建（24国庆）,30,30,30,30,0,3,123,P99,1.091,0.299,1159,287,295,13
020 圣建（24国庆）,30,30,30,30,0,4,1,柯尔特左轮,4.098,0.416,1159,95,98,49
020 圣建（24国庆）,30,30,30,30,0,4,26,MP5,0.335,0.164,1159,95,98,4
020 圣建（24国庆）,30,30,30,30,0,4,99,Mk23,3.764,0.415,1159,95,98,45
020 圣建（24国庆）,30,30,30,30,0,5,16,汤姆森,0.084,0.083,1159,63,65,1
020 圣建（24国庆）,30,30,30,30,0,5,96,灰熊MkⅤ,2.007,0.326,1159,63,65,24
020 圣建（24国庆）,30,30,30,30,0,5,126,NZ75,0.335,0.162,1159,63,65,4
020 圣建（24国庆）,30,30,30,30,0,5,233,Px4 风暴,1.171,0.277,1159,63,65,14
020 圣建（24国庆）,30,30,30,30,0,5,260,PA-15,0.251,0.141,1159,63,65,3
020 圣建（24国庆）,30,30,30,30,0,5,400,柯尔特M1851N,1.589,0.307,1159,63,65,19
020 圣建（24国庆）,100,400,400,200,0,2,17,M3,1.744,0.193,4384,1383,1411,78
020 圣建（24国庆）,100,400,400,200,0,2,21,PPSh-41,0.492,0.105,4384,1383,1411,22
020 圣建（24国庆）,100,400,400,200,0,2,24,PP-2000,1.610,0.186,4384,1383,1411,72
020 圣建（24国庆）,100,400,400,200,0,2,25,MP40,1.319,0.169,4384,1383,1411,59
020 圣建（24国庆）,100,400,400,200,0,2,31,伯莱塔38型,1.431,0.176,4384,1383,1411,64
020 圣建（24国庆）,100,400,400,200,0,2,33,m45,1.722,0.192,4384,1383,1411,77
020 圣建（24国庆）,100,400,400,200,0,2,63,G3,3.287,0.258,4384,1383,1411,147
020 圣建（24国庆）,100,400,400,200,0,2,68,L85A1,2.996,0.248,4384,1383,1411,134
020 圣建（24国庆）,100,400,400,200,0,2,71,加利尔,2.974,0.247,4384,1383,1411,133
020 圣建（24国庆）,100,400,400,200,0,2,74,SIG-510,2.906,0.244,4384,1383,1411,130
020 圣建（24国庆）,100,400,400,200,0,2,92,幽灵M4,1.498,0.180,4384,1383,1411,67
020 圣建（24国庆）,100,400,400,200,0,2,93,IDW,1.811,0.196,4384,1383,1411,81
020 圣建（24国庆）,100,400,400,200,0,2,94,64式,1.967,0.204,4384,1383,1411,88
020 圣建（24国庆）,100,400,400,200,0,2,107,F2000,3.577,0.268,4384,1383,1411,160
020 圣建（24国庆）,100,400,400,200,0,2,133,63式,2.213,0.216,4384,1383,1411,99
020 圣建（24国庆）,100,400,400,200,0,3,18,MAC-10,1.015,0.143,4384,480,496,46
020 圣建（24国庆）,100,400,400,200,0,3,22,PPS-43,0.728,0.123,4384,480,496,33
020 圣建（24国庆）,100,400,400,200,0,3,27,蝎式,1.082,0.147,4384,480,496,49
020 圣建（24国庆）,100,400,400,200,0,3,32,微型乌兹,1.148,0.151,4384,480,496,52
020 圣建（24国庆）,100,400,400,200,0,3,58,AK-47,1.766,0.182,4384,480,496,80
020 圣建（24国庆）,100,400,400,200,0,3,61,StG44,1.876,0.186,4384,480,496,85
020 圣建（24国庆）,100,400,400,200,0,3,70,FNC,2.252,0.200,4384,480,496,102
020 圣建（24国庆）,100,400,400,200,0,3,105,OTs-12,1.082,0.147,4384,480,496,49
020 圣建（24国庆）,100,400,400,200,0,4,26,MP5,2.214,0.217,4384,1608,1640,99
020 圣建（24国庆）,100,400,400,200,0,4,60,AS Val,1.923,0.203,4384,1608,1640,86
020 圣建（24国庆）,100,400,400,200,0,4,64,G36,1.006,0.149,4384,1608,1640,45
020 圣建（24国庆）,100,400,400,200,0,4,66,56-1式,2.483,0.229,4384,1608,1640,111
020 圣建（24国庆）,100,400,400,200,0,4,69,FAMAS,2.348,0.223,4384,1608,1640,105
020 圣建（24国庆）,100,400,400,200,0,4,72,TAR-21,1.834,0.199,4384,1608,1640,82
020 圣建（24国庆）,100,400,400,200,0,4,118,9A-91,2.035,0.209,4384,1608,1640,91
020 圣建（24国庆）,100,400,400,200,0,4,171,利贝罗勒,1.588,0.185,4384,1608,1640,71
020 圣建（24国庆）,100,400,400,200,0,4,216,XM8,2.348,0.223,4384,1608,1640,105
020 圣建（24国庆）,100,400,400,200,0,4,237,SAR-21,2.348,0.223,4384,1608,1640,105
020 圣建（24国庆）,100,400,400,200,0,4,262,EM-2,2.102,0.212,4384,1608,1640,94
020 圣建（24国庆）,100,400,400,200,0,4,288,CR-21,2.393,0.225,4384,1608,1640,107
020 圣建（24国庆）,100,400,400,200,0,4,330,FX-05,2.572,0.233,4384,1608,1640,115
020 圣建（24国庆）,100,400,400,200,0,4,349,AK74M,2.281,0.220,4384,1608,1640,102
020 圣建（24国庆）,100,400,400,200,0,4,382,MSBS,2.550,0.232,4384,1608,1640,114
020 圣建（24国庆）,100,400,400,200,0,4,394,CM901,2.326,0.222,4384,1608,1640,104
020 圣建（24国庆）,100,400,400,200,0,4,405,SIG M400,2.326,0.222,4384,1608,1640,104
020 圣建（24国庆）,100,400,400,200,0,5,16,汤姆森,1.003,0.145,4384,913,955,46
020 圣建（24国庆）,100,400,400,200,0,5,62,G41,0.676,0.120,4384,913,955,31
020 圣建（24国庆）,100,400,400,200,0,5,65,HK416,0.981,0.144,4384,913,955,45
020 圣建（24国庆）,100,400,400,200,0,5,106,FAL,0.523,0.106,4384,913,955,24
020 圣建（24国庆）,100,400,400,200,0,5,122,G11,0.393,0.092,4384,913,955,18
020 圣建（24国庆）,100,400,400,200,0,5,129,95式,0.720,0.124,4384,913,955,33
020 圣建（24国庆）,100,400,400,200,0,5,130,97式,0.567,0.110,4384,913,955,26
020 圣建（24国庆）,100,400,400,200,0,5,172,RFB,0.393,0.092,4384,913,955,18
020 圣建（24国庆）,100,400,400,200,0,5,181,T91,0.589,0.112,4384,913,955,27
020 圣建（24国庆）,100,400,400,200,0,5,194,K2,0.611,0.114,4384,913,955,28
020 圣建（24国庆）,100,400,400,200,0,5,196,Zas M21,0.720,0.124,4384,913,955,33
020 圣建（24国庆）,100,400,400,200,0,5,205,AN-94,0.436,0.097,4384,913,955,20
020 圣建（24国庆）,100,400,400,200,0,5,206,AK-12,0.676,0.120,4384,913,955,31
020 圣建（24国庆）,100,400,400,200,0,5,214,ADS,0.545,0.108,4384,913,955,25
020 圣建（24国庆）,100,400,400,200,0,5,215,MDR,0.698,0.122,4384,913,955,32
020 圣建（24国庆）,100,400,400,200,0,5,236,K11,1.003,0.145,4384,913,955,46
020 圣建（24国庆）,100,400,400,200,0,5,243,64式自,0.741,0.126,4384,913,955,34
020 圣建（24国庆）,100,400,400,200,0,5,287,SIG-556,0.676,0.120,4384,913,955,31
020 圣建（24国庆）,100,400,400,200,0,5,290,89式自,0.414,0.095,4384,913,955,19
020 圣建（24国庆）,100,400,400,200,0,5,293,AK-15,0.349,0.087,4384,913,955,16
020 圣建（24国庆）,100,400,400,200,0,5,306,AK-阿尔法,0.676,0.120,4384,913,955,31
020 圣建（24国庆）,100,400,400,200,0,5,313,S-ACR,1.025,0.147,4384,913,955,47
020 圣建（24国庆）,100,400,400,200,0,5,338,SIG MCX,1.396,0.169,4384,913,955,64
020 圣建（24国庆）,100,400,400,200,0,5,356,A-545,0.654,0.118,4384,913,955,30
020 圣建（24国庆）,100,400,400,200,0,5,365,SCR,0.872,0.136,4384,913,955,40
020 圣建（24国庆）,100,400,400,200,0,5,378,SCAR-L,0.632,0.116,4384,913,955,29
020 圣建（24国庆）,100,400,400,200,0,5,390,HK433,1.003,0.145,4384,913,955,46
020 圣建（24国庆）,100,400,400,200,0,5,393,贝奥武夫,0.698,0.122,4384,913,955,32
020 圣建（24国庆）,100,400,400,200,0,5,404,Mk.18,1.156,0.155,4384,913,955,53
020 圣建（24国庆）,130,130,130,30,0,2,2,M1911,4.547,0.381,2763,1267,1311,130
020 圣建（24国庆）,130,130,130,30,0,2,5,纳甘左轮,4.967,0.396,2763,1267,1311,142
020 圣建（24国庆）,130,130,130,30,0,2,9,P38,4.232,0.369,2763,1267,1311,121
020 圣建（24国庆）,130,130,130,30,0,2,10,PPK,3.813,0.352,2763,1267,1311,109
020 圣建（24国庆）,130,130,130,30,0,2,17,M3,1.154,0.200,2763,1267,1311,33
020 圣建（24国庆）,130,130,130,30,0,2,21,PPSh-41,0.490,0.131,2763,1267,1311,14
020 圣建（24国庆）,130,130,130,30,0,2,24,PP-2000,1.294,0.211,2763,1267,1311,37
020 圣建（24国庆）,130,130,130,30,0,2,25,MP40,1.504,0.227,2763,1267,1311,43
020 圣建（24国庆）,130,130,130,30,0,2,31,伯莱塔38型,1.469,0.225,2763,1267,1311,42
020 圣建（24国庆）,130,130,130,30,0,2,33,m45,1.294,0.211,2763,1267,1311,37
020 圣建（24国庆）,130,130,130,30,0,2,90,FNP-9,3.848,0.354,2763,1267,1311,110
020 圣建（24国庆）,130,130,130,30,0,2,91,MP-446,4.022,0.361,2763,1267,1311,115
020 圣建（24国庆）,130,130,130,30,0,2,92,幽灵M4,1.924,0.256,2763,1267,1311,55
