event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
021 日常（XM556）,30,30,30,30,0,2,2,M1911,8.709,0.317,7571,5222,5251,663
021 日常（XM556）,30,30,30,30,0,2,5,纳甘左轮,8.472,0.313,7571,5222,5251,645
021 日常（XM556）,30,30,30,30,0,2,9,P38,8.275,0.310,7571,5222,5251,630
021 日常（XM556）,30,30,30,30,0,2,10,PPK,8.499,0.314,7571,5222,5251,647
021 日常（XM556）,30,30,30,30,0,2,17,M3,0.197,0.051,7571,5222,5251,15
021 日常（XM556）,30,30,30,30,0,2,21,PPSh-41,0.158,0.046,7571,5222,5251,12
021 日常（XM556）,30,30,30,30,0,2,24,PP-2000,0.171,0.047,7571,5222,5251,13
021 日常（XM556）,30,30,30,30,0,2,25,MP40,0.276,0.060,7571,5222,5251,21
021 日常（XM556）,30,30,30,30,0,2,31,伯莱塔38型,0.210,0.053,7571,5222,5251,16
021 日常（XM556）,30,30,30,30,0,2,33,m45,0.276,0.060,7571,5222,5251,21
021 日常（XM556）,30,30,30,30,0,2,90,FNP-9,8.302,0.311,7571,5222,5251,632
021 日常（XM556）,30,30,30,30,0,2,91,MP-446,8.144,0.308,7571,5222,5251,620
021 日常（XM556）,30,30,30,30,0,2,92,幽灵M4,0.276,0.060,7571,5222,5251,21
021 日常（XM556）,30,30,30,30,0,2,93,IDW,0.302,0.063,7571,5222,5251,23
021 日常（XM556）,30,30,30,30,0,2,94,64式,0.276,0.060,7571,5222,5251,21
021 日常（XM556）,30,30,30,30,0,2,139,布伦·坦,8.591,0.315,7571,5222,5251,654
021 日常（XM556）,30,30,30,30,0,2,141,USP-C,7.842,0.303,7571,5222,5251,597
021 日常（XM556）,30,30,30,30,0,3,3,M9,3.685,0.200,7571,1742,1792,287
021 日常（XM556）,30,30,30,30,0,3,6,托卡列夫,1.913,0.151,7571,1742,1792,149
021 日常（XM556）,30,30,30,30,0,3,8,马卡洛夫,1.926,0.151,7571,1742,1792,150
021 日常（XM556）,30,30,30,30,0,3,11,P08,4.083,0.209,7571,1742,1792,318
021 日常（XM556）,30,30,30,30,0,3,12,C96,3.672,0.200,7571,1742,1792,286
021 日常（XM556）,30,30,30,30,0,3,13,92式,2.119,0.158,7571,1742,1792,165
021 日常（XM556）,30,30,30,30,0,3,14,阿斯特拉左轮,3.634,0.199,7571,1742,1792,283
021 日常（XM556）,30,30,30,30,0,3,18,MAC-10,0.282,0.060,7571,1742,1792,22
021 日常（XM556）,30,30,30,30,0,3,22,PPS-43,0.090,0.034,7571,1742,1792,7
021 日常（XM556）,30,30,30,30,0,3,27,蝎式,0.180,0.048,7571,1742,1792,14
021 日常（XM556）,30,30,30,30,0,3,32,微型乌兹,0.193,0.050,7571,1742,1792,15
021 日常（XM556）,30,30,30,30,0,3,123,P99,1.233,0.123,7571,1742,1792,96
021 日常（XM556）,30,30,30,30,0,4,1,柯尔特左轮,2.113,0.119,7571,326,326,160
021 日常（XM556）,30,30,30,30,0,4,26,MP5,0.145,0.043,7571,326,326,11
021 日常（XM556）,30,30,30,30,0,4,99,Mk23,2.047,0.119,7571,326,326,155
021 日常（XM556）,30,30,30,30,0,5,16,汤姆森,0.026,0.018,7571,281,285,2
021 日常（XM556）,30,30,30,30,0,5,96,灰熊MkⅤ,1.094,0.100,7571,281,285,84
021 日常（XM556）,30,30,30,30,0,5,126,NZ75,0.547,0.078,7571,281,285,42
021 日常（XM556）,30,30,30,30,0,5,233,Px4 风暴,0.573,0.079,7571,281,285,44
021 日常（XM556）,30,30,30,30,0,5,260,PA-15,0.326,0.062,7571,281,285,25
021 日常（XM556）,30,30,30,30,0,5,400,柯尔特M1851N,1.146,0.102,7571,281,285,88
021 日常（XM556）,100,400,400,200,0,2,17,M3,1.873,0.113,14208,7011,7036,267
021 日常（XM556）,100,400,400,200,0,2,21,PPSh-41,0.877,0.078,14208,7011,7036,125
021 日常（XM556）,100,400,400,200,0,2,24,PP-2000,1.781,0.110,14208,7011,7036,254
021 日常（XM556）,100,400,400,200,0,2,25,MP40,1.774,0.110,14208,7011,7036,253
021 日常（XM556）,100,400,400,200,0,2,31,伯莱塔38型,1.767,0.110,14208,7011,7036,252
021 日常（XM556）,100,400,400,200,0,2,33,m45,1.669,0.107,14208,7011,7036,238
021 日常（XM556）,100,400,400,200,0,2,63,G3,6.487,0.199,14208,7011,7036,925
021 日常（XM556）,100,400,400,200,0,2,68,L85A1,6.452,0.199,14208,7011,7036,920
021 日常（XM556）,100,400,400,200,0,2,71,加利尔,6.214,0.196,14208,7011,7036,886
021 日常（XM556）,100,400,400,200,0,2,74,SIG-510,6.081,0.194,14208,7011,7036,867
021 日常（XM556）,100,400,400,200,0,2,92,幽灵M4,1.774,0.110,14208,7011,7036,253
021 日常（XM556）,100,400,400,200,0,2,93,IDW,1.641,0.106,14208,7011,7036,234
021 日常（XM556）,100,400,400,200,0,2,94,64式,1.704,0.108,14208,7011,7036,243
021 日常（XM556）,100,400,400,200,0,2,107,F2000,5.877,0.191,14208,7011,7036,838
021 日常（XM556）,100,400,400,200,0,2,133,63式,3.373,0.149,14208,7011,7036,481
021 日常（XM556）,100,400,400,200,0,3,18,MAC-10,1.244,0.089,14208,2756,2854,183
021 日常（XM556）,100,400,400,200,0,3,22,PPS-43,0.714,0.069,14208,2756,2854,105
021 日常（XM556）,100,400,400,200,0,3,27,蝎式,1.373,0.093,14208,2756,2854,202
021 日常（XM556）,100,400,400,200,0,3,32,微型乌兹,1.468,0.096,14208,2756,2854,216
021 日常（XM556）,100,400,400,200,0,3,58,AK-47,4.227,0.150,14208,2756,2854,622
021 日常（XM556）,100,400,400,200,0,3,61,StG44,4.200,0.150,14208,2756,2854,618
021 日常（XM556）,100,400,400,200,0,3,70,FNC,3.956,0.147,14208,2756,2854,582
021 日常（XM556）,100,400,400,200,0,3,105,OTs-12,2.216,0.116,14208,2756,2854,326
021 日常（XM556）,100,400,400,200,0,4,26,MP5,0.897,0.077,14208,2816,2916,132
021 日常（XM556）,100,400,400,200,0,4,60,AS Val,1.407,0.095,14208,2816,2916,207
