id,dev_type,user_id,build_slot,dev_uname,dev_lv,gun_id,mp,ammo,mre,part,input_level,item1_num,core,dev_time,gun_rank,gun_name,file,trust_2,trust_3,trust_4,trust_5
40696126,2,492932,2,痛覚残留,187,206,9999,9999,9999,9999,3,50,10,1649648964,5,AK-12,221028-125505.json,False,False,False,False
40732557,2,706632,2,火焰之神,75,206,1000,4000,4000,2000,1,1,3,1650196543,5,AK-12,221028-125505.json,False,False,False,False
40777435,2,268282,2,亞克塞爾,169,206,1000,4000,4000,2000,1,1,3,1650933579,5,AK-12,221028-125505.json,False,False,False,False
40838336,2,147932,2,ZhuLynn,136,106,6000,6000,6000,4000,1,1,3,1652155434,5,FAL,221028-125505.json,False,False,False,False
40877555,2,522712,6,Soloduo,136,106,1000,4000,4000,2000,1,1,3,1652844331,5,FAL,221028-125505.json,False,False,False,False
40890215,2,965532,4,LKING,49,213,4000,4000,4000,2000,1,1,3,1653059752,5,C-MS,221028-125505.json,False,False,False,False
40937510,2,961692,2,dumsit,57,213,4000,4000,1000,2000,1,1,3,1653232835,5,C-MS,221028-125505.json,False,False,False,False
40960566,2,359952,2,卡特磊,162,104,6000,6000,6000,4000,3,50,10,1653495152,5,G36C,221028-125505.json,False,False,False,False
40960718,2,492932,2,痛覚残留,189,104,9999,9999,9999,9999,3,50,10,1653495837,5,G36C,221028-125505.json,False,False,False,False
40962011,2,741972,4,player21,106,125,8000,8000,1000,4000,2,20,5,1653518339,5,MG4,221028-125505.json,False,False,False,False
40962037,2,481322,8,卡蘭迪,180,125,8000,8000,1000,4000,3,50,10,1653518655,5,MG4,221028-125505.json,False,False,False,False
40962525,2,971322,2,暴击KIA,57,106,1000,4000,4000,2000,1,1,3,1653524081,5,FAL,221028-125505.json,False,False,False,False
40964203,2,526332,4,築夢,116,205,1000,4000,4000,2000,1,1,3,1653543886,5,AN-94,221028-125505.json,False,False,False,False
40965213,2,929872,2,停止加载,84,104,4000,4000,1000,2000,1,1,3,1653558342,5,G36C,221028-125505.json,False,False,False,False
40971005,2,606762,2,小灰兔兔,68,125,8000,8000,1000,4000,1,1,3,1653639766,5,MG4,221028-125505.json,False,False,False,False
40978961,2,962632,4,高处不胜寒,73,28,4000,4000,1000,2000,1,1,3,1653736246,5,MP7,221028-125505.json,False,False,False,False
40994365,2,21502,4,海軍智將,125,206,4000,4000,4000,2000,2,20,5,1653963650,5,AK-12,221028-125505.json,False,False,False,False
41000513,2,130372,4,JohnTaylor,143,28,4000,4000,1000,2000,1,1,3,1654056853,5,MP7,221028-125505.json,False,False,False,False
41006701,2,979002,2,諾諾o,60,306,1000,4000,4000,2000,1,1,3,1654155132,5,AK-阿尔法,221028-125505.json,False,False,False,False
41012173,2,38762,8,Galdisom,161,28,6000,6000,6000,4000,1,1,3,1654234196,5,MP7,221028-125505.json,False,False,False,False
41013522,2,285852,2,楓草貓,168,213,4000,4000,4000,2000,1,1,3,1654254812,5,C-MS,221028-125505.json,False,False,False,False
41014040,2,489832,6,上田百合子,155,104,4000,4000,4000,4000,1,1,3,1654261833,5,G36C,221028-125505.json,False,False,False,False
41015581,2,399732,2,神無雪月,184,28,4000,4000,4000,2000,1,1,3,1654275837,5,MP7,221028-125505.json,False,False,False,False
41022210,2,74492,6,綾瀨夜空,118,106,6000,6000,6000,4000,3,50,10,1654367624,5,FAL,221028-125505.json,False,False,False,False
41029324,2,937052,4,瓶装葡萄汁,71,306,4000,4000,4000,2000,1,1,3,1654481008,5,AK-阿尔法,221028-125505.json,False,False,False,False
41030122,2,971712,2,罗振东,82,129,1000,4000,4000,2000,1,1,3,1654491715,5,95式,221028-125505.json,False,False,False,False
41035067,2,597042,2,泓也,165,125,8000,8000,1000,4000,3,50,10,1654560078,5,MG4,221028-125505.json,False,False,False,False
41037870,2,276042,6,observer,178,205,1000,4000,4000,2000,2,20,5,1654601165,5,AN-94,221028-125505.json,False,False,False,False
41048029,2,942042,8,蔻芭雅喜,122,293,1000,4000,4000,2000,3,50,10,1654740379,5,AK-15,221028-125505.json,False,False,False,False
41049914,2,161082,2,Hinn,115,206,1000,4000,4000,2000,2,20,5,1654766050,5,AK-12,221028-125505.json,False,False,False,False
41051449,2,257332,4,小鳥游六花,205,290,6000,6000,6000,4000,2,20,5,1654784959,5,89式自,221028-125505.json,False,False,False,False
41053056,2,431652,2,普通军官,135,181,6000,6000,6000,4000,2,20,5,1654792050,5,T91,221028-125505.json,False,False,False,False
41055106,2,388322,2,死宅噴毛,94,293,1000,4000,4000,2000,1,1,3,1654830124,5,AK-15,221028-125505.json,False,False,False,False
41056364,2,79112,8,kyomkII,100,28,4000,4000,1000,2000,1,1,3,1654848794,5,MP7,221028-125505.json,False,False,False,False
41056755,2,440222,2,萌新一名,172,129,1000,4000,4000,2000,1,1,3,1654857829,5,95式,221028-125505.json,False,False,False,False
41062461,2,393142,4,允曦,123,245,4000,4000,1000,2000,1,1,3,1654950335,5,P90,221028-125505.json,False,False,False,False
41064873,2,7342,8,十日十人干,182,306,9999,9999,9000,1000,1,1,3,1654995871,5,AK-阿尔法,221028-125505.json,False,False,False,False
41066890,2,942042,2,蔻芭雅喜,122,106,1000,4000,4000,2000,3,50,10,1655022905,5,FAL,221028-125505.json,False,False,False,False
41069973,2,287102,2,幽克,150,130,1000,4000,4000,2000,1,1,3,1655086848,5,97式,221028-125505.json,False,False,False,False
