event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
002 日常（玛姬）,1000,1000,1000,1000,1,3,18,MAC-10,5.582,0.278,6332,3266,3345,362
002 日常（玛姬）,1000,1000,1000,1000,1,3,22,PPS-43,5.860,0.284,6332,3266,3345,380
002 日常（玛姬）,1000,1000,1000,1000,1,3,27,蝎式,6.353,0.294,6332,3266,3345,412
002 日常（玛姬）,1000,1000,1000,1000,1,3,32,微型乌兹,5.890,0.285,6332,3266,3345,382
002 日常（玛姬）,1000,1000,1000,1000,1,3,58,AK-47,3.408,0.223,6332,3266,3345,221
002 日常（玛姬）,1000,1000,1000,1000,1,3,61,StG44,2.914,0.207,6332,3266,3345,189
002 日常（玛姬）,1000,1000,1000,1000,1,3,70,FNC,3.069,0.212,6332,3266,3345,199
002 日常（玛姬）,1000,1000,1000,1000,1,3,105,OTs-12,3.315,0.220,6332,3266,3345,215
002 日常（玛姬）,1000,1000,1000,1000,1,3,116,Z-62,5.921,0.286,6332,3266,3345,384
002 日常（玛姬）,1000,1000,1000,1000,1,3,120,ARX-160,3.315,0.220,6332,3266,3345,215
002 日常（玛姬）,1000,1000,1000,1000,1,3,178,F1,5.952,0.286,6332,3266,3345,386
002 日常（玛姬）,1000,1000,1000,1000,1,4,26,MP5,9.220,0.332,6332,2362,2375,587
002 日常（玛姬）,1000,1000,1000,1000,1,4,60,AS Val,2.764,0.201,6332,2362,2375,176
002 日常（玛姬）,1000,1000,1000,1000,1,4,66,56-1式,2.827,0.204,6332,2362,2375,180
002 日常（玛姬）,1000,1000,1000,1000,1,4,69,FAMAS,2.764,0.201,6332,2362,2375,176
002 日常（玛姬）,1000,1000,1000,1000,1,4,118,9A-91,2.859,0.205,6332,2362,2375,182
002 日常（玛姬）,1000,1000,1000,1000,1,4,216,XM8,2.969,0.208,6332,2362,2375,189
