event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
005 日常（30200）,1000,1000,1000,1000,1,3,18,MAC-10,5.474,0.330,4339,2153,2239,247
005 日常（30200）,1000,1000,1000,1000,1,3,22,PPS-43,5.718,0.337,4339,2153,2239,258
005 日常（30200）,1000,1000,1000,1000,1,3,27,蝎式,5.319,0.326,4339,2153,2239,240
005 日常（30200）,1000,1000,1000,1000,1,3,32,微型乌兹,5.762,0.338,4339,2153,2239,260
005 日常（30200）,1000,1000,1000,1000,1,3,58,AK-47,3.058,0.254,4339,2153,2239,138
005 日常（30200）,1000,1000,1000,1000,1,3,61,StG44,3.457,0.268,4339,2153,2239,156
005 日常（30200）,1000,1000,1000,1000,1,3,70,FNC,2.859,0.246,4339,2153,2239,129
005 日常（30200）,1000,1000,1000,1000,1,3,105,OTs-12,3.745,0.279,4339,2153,2239,169
005 日常（30200）,1000,1000,1000,1000,1,3,116,Z-62,6.006,0.344,4339,2153,2239,271
005 日常（30200）,1000,1000,1000,1000,1,3,120,ARX-160,2.925,0.248,4339,2153,2239,132
005 日常（30200）,1000,1000,1000,1000,1,3,178,F1,5.297,0.326,4339,2153,2239,239
005 日常（30200）,1000,1000,1000,1000,1,4,26,MP5,7.293,0.366,4339,1692,1743,326
005 日常（30200）,1000,1000,1000,1000,1,4,60,AS Val,2.797,0.242,4339,1692,1743,125
005 日常（30200）,1000,1000,1000,1000,1,4,66,56-1式,2.797,0.242,4339,1692,1743,125
005 日常（30200）,1000,1000,1000,1000,1,4,69,FAMAS,2.998,0.250,4339,1692,1743,134
005 日常（30200）,1000,1000,1000,1000,1,4,118,9A-91,2.550,0.232,4339,1692,1743,114
005 日常（30200）,1000,1000,1000,1000,1,4,216,XM8,2.506,0.230,4339,1692,1743,112
005 日常（30200）,1000,1000,1000,1000,1,4,237,SAR-21,2.908,0.247,4339,1692,1743,130
005 日常（30200）,1000,1000,1000,1000,1,4,262,EM-2,3.199,0.258,4339,1692,1743,143
005 日常（30200）,1000,1000,1000,1000,1,4,288,CR-21,2.819,0.243,4339,1692,1743,126
005 日常（30200）,1000,1000,1000,1000,1,4,330,FX-05,3.020,0.251,4339,1692,1743,135
005 日常（30200）,1000,1000,1000,1000,1,4,349,AK74M,3.020,0.251,4339,1692,1743,135
005 日常（30200）,1000,1000,1000,1000,1,4,382,MSBS,3.087,0.254,4339,1692,1743,138
005 日常（30200）,1000,1000,1000,1000,1,5,16,汤姆森,4.264,0.236,4339,494,550,206
005 日常（30200）,1000,1000,1000,1000,1,5,65,HK416,1.201,0.150,4339,494,550,58
005 日常（30200）,1000,1000,1000,1000,1,5,122,G11,0.849,0.128,4339,494,550,41
005 日常（30200）,1000,1000,1000,1000,1,5,338,SIG MCX,1.428,0.161,4339,494,550,69
005 日常（30200）,1000,1000,1000,1000,1,5,356,A-545,1.573,0.168,4339,494,550,76
005 日常（30200）,1000,1000,1000,1000,1,5,365,SCR,1.139,0.146,4339,494,550,55
005 日常（30200）,1000,1000,1000,1000,1,5,378,SCAR-L,0.932,0.134,4339,494,550,45
005 日常（30200）,6000,1000,6000,4000,1,3,18,MAC-10,1.404,0.230,2489,756,779,36
005 日常（30200）,6000,1000,6000,4000,1,3,22,PPS-43,1.170,0.211,2489,756,779,30
005 日常（30200）,6000,1000,6000,4000,1,3,27,蝎式,1.443,0.233,2489,756,779,37
005 日常（30200）,6000,1000,6000,4000,1,3,32,微型乌兹,1.755,0.256,2489,756,779,45
005 日常（30200）,6000,1000,6000,4000,1,3,34,M1加兰德,2.222,0.286,2489,756,779,57
005 日常（30200）,6000,1000,6000,4000,1,3,37,M14,1.989,0.271,2489,756,779,51
005 日常（30200）,6000,1000,6000,4000,1,3,44,SV-98,2.144,0.281,2489,756,779,55
005 日常（30200）,6000,1000,6000,4000,1,3,58,AK-47,1.131,0.208,2489,756,779,29
005 日常（30200）,6000,1000,6000,4000,1,3,61,StG44,0.780,0.173,2489,756,779,20
005 日常（30200）,6000,1000,6000,4000,1,3,70,FNC,1.131,0.208,2489,756,779,29
005 日常（30200）,6000,1000,6000,4000,1,3,95,汉阳造88式,0.936,0.189,2489,756,779,24
005 日常（30200）,6000,1000,6000,4000,1,3,105,OTs-12,0.975,0.193,2489,756,779,25
005 日常（30200）,6000,1000,6000,4000,1,3,116,Z-62,1.443,0.233,2489,756,779,37
005 日常（30200）,6000,1000,6000,4000,1,3,120,ARX-160,0.702,0.165,2489,756,779,18
005 日常（30200）,6000,1000,6000,4000,1,3,145,OTs-44,1.716,0.253,2489,756,779,44
005 日常（30200）,6000,1000,6000,4000,1,3,152,M1897,1.482,0.236,2489,756,779,38
005 日常（30200）,6000,1000,6000,4000,1,3,154,M500,1.326,0.224,2489,756,779,34
005 日常（30200）,6000,1000,6000,4000,1,3,158,KS-23,1.599,0.245,2489,756,779,41
005 日常（30200）,6000,1000,6000,4000,1,3,159,RMB-93,1.287,0.221,2489,756,779,33
005 日常（30200）,6000,1000,6000,4000,1,3,178,F1,2.222,0.286,2489,756,779,57
005 日常（30200）,6000,1000,6000,4000,1,3,190,NS2000,1.521,0.239,2489,756,779,39
005 日常（30200）,6000,1000,6000,4000,1,4,26,MP5,2.328,0.295,2489,1129,1169,60
005 日常（30200）,6000,1000,6000,4000,1,4,36,春田,1.591,0.246,2489,1129,1169,41
005 日常（30200）,6000,1000,6000,4000,1,4,39,莫辛-纳甘,1.436,0.234,2489,1129,1169,37
005 日常（30200）,6000,1000,6000,4000,1,4,42,PTRD,1.668,0.252,2489,1129,1169,43
005 日常（30200）,6000,1000,6000,4000,1,4,43,SVD,0.427,0.129,2489,1129,1169,11
005 日常（30200）,6000,1000,6000,4000,1,4,60,AS Val,0.660,0.160,2489,1129,1169,17
005 日常（30200）,6000,1000,6000,4000,1,4,66,56-1式,0.931,0.189,2489,1129,1169,24
