event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
006 日常（QBU191）,1000,1000,1000,1000,1,3,18,MAC-10,6.346,0.282,7075,3663,3663,449
006 日常（QBU191）,1000,1000,1000,1000,1,3,22,PPS-43,5.837,0.272,7075,3663,3663,413
006 日常（QBU191）,1000,1000,1000,1000,1,3,27,蝎式,5.993,0.275,7075,3663,3663,424
006 日常（QBU191）,1000,1000,1000,1000,1,3,32,微型乌兹,6.671,0.288,7075,3663,3663,472
006 日常（QBU191）,1000,1000,1000,1000,1,3,58,AK-47,3.025,0.201,7075,3663,3663,214
006 日常（QBU191）,1000,1000,1000,1000,1,3,61,StG44,3.138,0.205,7075,3663,3663,222
006 日常（QBU191）,1000,1000,1000,1000,1,3,70,FNC,3.180,0.206,7075,3663,3663,225
006 日常（QBU191）,1000,1000,1000,1000,1,3,105,OTs-12,2.770,0.193,7075,3663,3663,196
006 日常（QBU191）,1000,1000,1000,1000,1,3,116,Z-62,5.654,0.268,7075,3663,3663,400
006 日常（QBU191）,1000,1000,1000,1000,1,3,120,ARX-160,2.940,0.199,7075,3663,3663,208
006 日常（QBU191）,1000,1000,1000,1000,1,3,178,F1,6.219,0.279,7075,3663,3663,440
006 日常（QBU191）,1000,1000,1000,1000,1,4,26,MP5,8.890,0.311,7075,2658,2658,629
006 日常（QBU191）,1000,1000,1000,1000,1,4,60,AS Val,2.276,0.175,7075,2658,2658,161
006 日常（QBU191）,1000,1000,1000,1000,1,4,66,56-1式,2.615,0.186,7075,2658,2658,185
006 日常（QBU191）,1000,1000,1000,1000,1,4,69,FAMAS,2.813,0.193,7075,2658,2658,199
006 日常（QBU191）,1000,1000,1000,1000,1,4,118,9A-91,2.742,0.190,7075,2658,2658,194
006 日常（QBU191）,1000,1000,1000,1000,1,4,216,XM8,2.629,0.187,7075,2658,2658,186
006 日常（QBU191）,1000,1000,1000,1000,1,4,237,SAR-21,2.544,0.184,7075,2658,2658,180
006 日常（QBU191）,1000,1000,1000,1000,1,4,262,EM-2,2.389,0.179,7075,2658,2658,169
006 日常（QBU191）,1000,1000,1000,1000,1,4,288,CR-21,2.700,0.189,7075,2658,2658,191
006 日常（QBU191）,1000,1000,1000,1000,1,4,330,FX-05,2.841,0.194,7075,2658,2658,201
006 日常（QBU191）,1000,1000,1000,1000,1,4,349,AK74M,2.445,0.181,7075,2658,2658,173
006 日常（QBU191）,1000,1000,1000,1000,1,4,382,MSBS,2.686,0.189,7075,2658,2658,190
006 日常（QBU191）,1000,1000,1000,1000,1,5,16,汤姆森,4.283,0.191,7075,754,754,303
006 日常（QBU191）,1000,1000,1000,1000,1,5,65,HK416,1.102,0.119,7075,754,754,78
006 日常（QBU191）,1000,1000,1000,1000,1,5,122,G11,0.636,0.092,7075,754,754,45
006 日常（QBU191）,1000,1000,1000,1000,1,5,338,SIG MCX,0.989,0.113,7075,754,754,70
006 日常（QBU191）,1000,1000,1000,1000,1,5,356,A-545,1.074,0.117,7075,754,754,76
006 日常（QBU191）,1000,1000,1000,1000,1,5,365,SCR,1.046,0.116,7075,754,754,74
006 日常（QBU191）,1000,1000,1000,1000,1,5,378,SCAR-L,0.622,0.091,7075,754,754,44
