event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
007 圣建（23国庆）,8000,1000,8000,4000,1,3,18,MAC-10,1.593,0.174,4958,1110,1110,79
007 圣建（23国庆）,8000,1000,8000,4000,1,3,22,PPS-43,1.775,0.182,4958,1110,1110,88
007 圣建（23国庆）,8000,1000,8000,4000,1,3,27,蝎式,1.614,0.175,4958,1110,1110,80
007 圣建（23国庆）,8000,1000,8000,4000,1,3,32,微型乌兹,1.351,0.161,4958,1110,1110,67
007 圣建（23国庆）,8000,1000,8000,4000,1,3,34,M1加兰德,1.271,0.156,4958,1110,1110,63
007 圣建（23国庆）,8000,1000,8000,4000,1,3,37,M14,0.827,0.127,4958,1110,1110,41
007 圣建（23国庆）,8000,1000,8000,4000,1,3,44,SV-98,0.948,0.136,4958,1110,1110,47
007 圣建（23国庆）,8000,1000,8000,4000,1,3,58,AK-47,0.706,0.118,4958,1110,1110,35
007 圣建（23国庆）,8000,1000,8000,4000,1,3,61,StG44,0.645,0.113,4958,1110,1110,32
007 圣建（23国庆）,8000,1000,8000,4000,1,3,70,FNC,0.645,0.113,4958,1110,1110,32
007 圣建（23国庆）,8000,1000,8000,4000,1,3,95,汉阳造88式,0.746,0.121,4958,1110,1110,37
007 圣建（23国庆）,8000,1000,8000,4000,1,3,105,OTs-12,0.807,0.126,4958,1110,1110,40
007 圣建（23国庆）,8000,1000,8000,4000,1,3,116,Z-62,2.017,0.193,4958,1110,1110,100
007 圣建（23国庆）,8000,1000,8000,4000,1,3,120,ARX-160,0.565,0.106,4958,1110,1110,28
007 圣建（23国庆）,8000,1000,8000,4000,1,3,145,OTs-44,0.908,0.133,4958,1110,1110,45
007 圣建（23国庆）,8000,1000,8000,4000,1,3,152,M1897,0.867,0.130,4958,1110,1110,43
007 圣建（23国庆）,8000,1000,8000,4000,1,3,154,M500,1.069,0.144,4958,1110,1110,53
007 圣建（23国庆）,8000,1000,8000,4000,1,3,158,KS-23,0.867,0.130,4958,1110,1110,43
007 圣建（23国庆）,8000,1000,8000,4000,1,3,159,RMB-93,1.029,0.141,4958,1110,1110,51
007 圣建（23国庆）,8000,1000,8000,4000,1,3,178,F1,1.412,0.164,4958,1110,1110,70
007 圣建（23国庆）,8000,1000,8000,4000,1,3,190,NS2000,0.726,0.120,4958,1110,1110,36
007 圣建（23国庆）,8000,1000,8000,4000,1,4,26,MP5,2.622,0.225,4958,2499,2499,130
007 圣建（23国庆）,8000,1000,8000,4000,1,4,36,春田,0.686,0.117,4958,2499,2499,34
007 圣建（23国庆）,8000,1000,8000,4000,1,4,39,莫辛-纳甘,0.807,0.127,4958,2499,2499,40
007 圣建（23国庆）,8000,1000,8000,4000,1,4,42,PTRD,0.766,0.124,4958,2499,2499,38
007 圣建（23国庆）,8000,1000,8000,4000,1,4,43,SVD,0.282,0.076,4958,2499,2499,14
007 圣建（23国庆）,8000,1000,8000,4000,1,4,60,AS Val,0.484,0.099,4958,2499,2499,24
007 圣建（23国庆）,8000,1000,8000,4000,1,4,66,56-1式,0.726,0.121,4958,2499,2499,36
007 圣建（23国庆）,8000,1000,8000,4000,1,4,69,FAMAS,0.605,0.110,4958,2499,2499,30
007 圣建（23国庆）,8000,1000,8000,4000,1,4,117,PSG-1,0.403,0.090,4958,2499,2499,20
007 圣建（23国庆）,8000,1000,8000,4000,1,4,118,9A-91,0.605,0.110,4958,2499,2499,30
007 圣建（23国庆）,8000,1000,8000,4000,1,4,146,G28,0.666,0.116,4958,2499,2499,33
007 圣建（23国庆）,8000,1000,8000,4000,1,4,153,M37,2.743,0.230,4958,2499,2499,136
007 圣建（23国庆）,8000,1000,8000,4000,1,4,155,M590,3.247,0.249,4958,2499,2499,161
007 圣建（23国庆）,8000,1000,8000,4000,1,4,156,超级肖蒂,1.311,0.161,4958,2499,2499,65
007 圣建（23国庆）,8000,1000,8000,4000,1,4,162,SPAS-12,2.521,0.221,4958,2499,2499,125
007 圣建（23国庆）,8000,1000,8000,4000,1,4,165,M1014,3.146,0.245,4958,2499,2499,156
007 圣建（23国庆）,8000,1000,8000,4000,1,4,180,PzB39,0.645,0.114,4958,2499,2499,32
007 圣建（23国庆）,8000,1000,8000,4000,1,4,184,T-5000,1.008,0.142,4958,2499,2499,50
007 圣建（23国庆）,8000,1000,8000,4000,1,4,189,USAS-12,2.299,0.211,4958,2499,2499,114
007 圣建（23国庆）,8000,1000,8000,4000,1,4,216,XM8,0.484,0.099,4958,2499,2499,24
007 圣建（23国庆）,8000,1000,8000,4000,1,4,235,SPR A3G,0.645,0.114,4958,2499,2499,32
007 圣建（23国庆）,8000,1000,8000,4000,1,4,237,SAR-21,0.726,0.121,4958,2499,2499,36
007 圣建（23国庆）,8000,1000,8000,4000,1,4,247,K31,0.383,0.088,4958,2499,2499,19
007 圣建（23国庆）,8000,1000,8000,4000,1,4,262,EM-2,0.625,0.112,4958,2499,2499,31
007 圣建（23国庆）,8000,1000,8000,4000,1,4,270,四式,0.948,0.138,4958,2499,2499,47
007 圣建（23国庆）,8000,1000,8000,4000,1,4,283,解放者,3.025,0.241,4958,2499,2499,150
007 圣建（23国庆）,8000,1000,8000,4000,1,4,288,CR-21,0.645,0.114,4958,2499,2499,32
007 圣建（23国庆）,8000,1000,8000,4000,1,4,305,塔布克,0.908,0.135,4958,2499,2499,45
007 圣建（23国庆）,8000,1000,8000,4000,1,4,325,V-PM5,3.167,0.246,4958,2499,2499,157
007 圣建（23国庆）,8000,1000,8000,4000,1,4,326,HK512,1.936,0.195,4958,2499,2499,96
007 圣建（23国庆）,8000,1000,8000,4000,1,4,330,FX-05,0.605,0.110,4958,2499,2499,30
007 圣建（23国庆）,8000,1000,8000,4000,1,4,349,AK74M,0.686,0.117,4958,2499,2499,34
007 圣建（23国庆）,8000,1000,8000,4000,1,4,352,新星,3.126,0.244,4958,2499,2499,155
007 圣建（23国庆）,8000,1000,8000,4000,1,4,353,MAG-7,3.146,0.245,4958,2499,2499,156
007 圣建（23国庆）,8000,1000,8000,4000,1,4,368,UTS-15,2.723,0.229,4958,2499,2499,135
007 圣建（23国庆）,8000,1000,8000,4000,1,4,382,MSBS,0.524,0.103,4958,2499,2499,26
007 圣建（23国庆）,8000,1000,8000,4000,1,4,394,CM901,0.524,0.103,4958,2499,2499,26
007 圣建（23国庆）,8000,1000,8000,4000,1,5,16,汤姆森,0.867,0.131,4958,1349,1349,43
007 圣建（23国庆）,8000,1000,8000,4000,1,5,46,Kar98k,0.625,0.112,4958,1349,1349,31
007 圣建（23国庆）,8000,1000,8000,4000,1,5,48,WA2000,0.524,0.102,4958,1349,1349,26
007 圣建（23国庆）,8000,1000,8000,4000,1,5,50,李-恩菲尔德,0.383,0.088,4958,1349,1349,19
007 圣建（23国庆）,8000,1000,8000,4000,1,5,53,NTW-20,0.504,0.100,4958,1349,1349,25
007 圣建（23国庆）,8000,1000,8000,4000,1,5,65,HK416,0.222,0.067,4958,1349,1349,11
007 圣建（23国庆）,8000,1000,8000,4000,1,5,122,G11,0.222,0.067,4958,1349,1349,11
007 圣建（23国庆）,8000,1000,8000,4000,1,5,128,M99,0.161,0.057,4958,1349,1349,8
007 圣建（23国庆）,8000,1000,8000,4000,1,5,148,IWS 2000,0.262,0.073,4958,1349,1349,13
007 圣建（23国庆）,8000,1000,8000,4000,1,5,157,KSG,1.351,0.162,4958,1349,1349,67
007 圣建（23国庆）,8000,1000,8000,4000,1,5,160,塞伽12型,0.867,0.131,4958,1349,1349,43
007 圣建（23国庆）,8000,1000,8000,4000,1,5,163,AA-12,1.230,0.155,4958,1349,1349,61
007 圣建（23国庆）,8000,1000,8000,4000,1,5,164,FP-6,0.666,0.115,4958,1349,1349,33
007 圣建（23国庆）,8000,1000,8000,4000,1,5,188,S.A.T.8,1.029,0.142,4958,1349,1349,51
007 圣建（23国庆）,8000,1000,8000,4000,1,5,197,卡尔卡诺M1891,0.363,0.085,4958,1349,1349,18
007 圣建（23国庆）,8000,1000,8000,4000,1,5,198,卡尔卡诺M91/38,0.121,0.050,4958,1349,1349,6
007 圣建（23国庆）,8000,1000,8000,4000,1,5,257,M200,0.524,0.102,4958,1349,1349,26
007 圣建（23国庆）,8000,1000,8000,4000,1,5,261,QBU-88,0.726,0.120,4958,1349,1349,36
007 圣建（23国庆）,8000,1000,8000,4000,1,5,281,CAWS,1.069,0.145,4958,1349,1349,53
007 圣建（23国庆）,8000,1000,8000,4000,1,5,282,DP-12,1.472,0.168,4958,1349,1349,73
007 圣建（23国庆）,8000,1000,8000,4000,1,5,312,VSK-94,0.383,0.088,4958,1349,1349,19
007 圣建（23国庆）,8000,1000,8000,4000,1,5,323,LTLX7000,1.493,0.170,4958,1349,1349,74
007 圣建（23国庆）,8000,1000,8000,4000,1,5,324,M6 ASW,1.230,0.155,4958,1349,1349,61
007 圣建（23国庆）,8000,1000,8000,4000,1,5,329,SVCh,0.343,0.083,4958,1349,1349,17
007 圣建（23国庆）,8000,1000,8000,4000,1,5,337,德利尔,0.484,0.098,4958,1349,1349,24
007 圣建（23国庆）,8000,1000,8000,4000,1,5,338,SIG MCX,0.282,0.075,4958,1349,1349,14
007 圣建（23国庆）,8000,1000,8000,4000,1,5,348,HS.50,0.545,0.104,4958,1349,1349,27
007 圣建（23国庆）,8000,1000,8000,4000,1,5,350,FO-12,1.614,0.176,4958,1349,1349,80
007 圣建（23国庆）,8000,1000,8000,4000,1,5,351,M26-MASS,1.210,0.154,4958,1349,1349,60
007 圣建（23国庆）,8000,1000,8000,4000,1,5,356,A-545,0.141,0.053,4958,1349,1349,7
007 圣建（23国庆）,8000,1000,8000,4000,1,5,365,SCR,0.323,0.081,4958,1349,1349,16
007 圣建（23国庆）,8000,1000,8000,4000,1,5,366,SPAS-15,1.251,0.156,4958,1349,1349,62
007 圣建（23国庆）,8000,1000,8000,4000,1,5,367,MK3A1,1.472,0.168,4958,1349,1349,73
007 圣建（23国庆）,8000,1000,8000,4000,1,5,377,SCAR-H,0.464,0.096,4958,1349,1349,23
007 圣建（23国庆）,8000,1000,8000,4000,1,5,378,SCAR-L,0.383,0.088,4958,1349,1349,19
007 圣建（23国庆）,8000,1000,8000,4000,1,5,381,M110,0.605,0.110,4958,1349,1349,30
007 圣建（23国庆）,8000,1000,8000,4000,1,5,388,QBU-191,0.645,0.113,4958,1349,1349,32
007 圣建（23国庆）,8000,1000,8000,4000,1,5,389,博斯,0.524,0.102,4958,1349,1349,26
007 圣建（23国庆）,8000,1000,8000,4000,1,5,390,HK433,0.424,0.092,4958,1349,1349,21
007 圣建（23国庆）,8000,1000,8000,4000,1,5,393,贝奥武夫,0.202,0.064,4958,1349,1349,10
