event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
008 日常（82式）,1000,1000,1000,1000,1,3,18,MAC-10,5.758,0.224,9971,4913,5032,588
008 日常（82式）,1000,1000,1000,1000,1,3,22,PPS-43,5.670,0.222,9971,4913,5032,579
008 日常（82式）,1000,1000,1000,1000,1,3,27,蝎式,5.797,0.225,9971,4913,5032,592
008 日常（82式）,1000,1000,1000,1000,1,3,32,微型乌兹,5.944,0.227,9971,4913,5032,607
008 日常（82式）,1000,1000,1000,1000,1,3,58,AK-47,3.094,0.169,9971,4913,5032,316
008 日常（82式）,1000,1000,1000,1000,1,3,61,StG44,2.869,0.163,9971,4913,5032,293
008 日常（82式）,1000,1000,1000,1000,1,3,70,FNC,2.820,0.162,9971,4913,5032,288
008 日常（82式）,1000,1000,1000,1000,1,3,105,OTs-12,2.947,0.165,9971,4913,5032,301
008 日常（82式）,1000,1000,1000,1000,1,3,116,Z-62,5.660,0.222,9971,4913,5032,578
008 日常（82式）,1000,1000,1000,1000,1,3,120,ARX-160,2.918,0.165,9971,4913,5032,298
008 日常（82式）,1000,1000,1000,1000,1,3,178,F1,5.797,0.225,9971,4913,5032,592
008 日常（82式）,1000,1000,1000,1000,1,4,26,MP5,8.164,0.254,9971,3900,3938,822
008 日常（82式）,1000,1000,1000,1000,1,4,60,AS Val,2.563,0.155,9971,3900,3938,258
008 日常（82式）,1000,1000,1000,1000,1,4,66,56-1式,2.582,0.155,9971,3900,3938,260
008 日常（82式）,1000,1000,1000,1000,1,4,69,FAMAS,2.592,0.156,9971,3900,3938,261
008 日常（82式）,1000,1000,1000,1000,1,4,118,9A-91,2.662,0.158,9971,3900,3938,268
008 日常（82式）,1000,1000,1000,1000,1,4,216,XM8,2.662,0.158,9971,3900,3938,268
008 日常（82式）,1000,1000,1000,1000,1,4,237,SAR-21,2.831,0.162,9971,3900,3938,285
008 日常（82式）,1000,1000,1000,1000,1,4,262,EM-2,2.662,0.158,9971,3900,3938,268
008 日常（82式）,1000,1000,1000,1000,1,4,288,CR-21,2.741,0.160,9971,3900,3938,276
008 日常（82式）,1000,1000,1000,1000,1,4,330,FX-05,2.523,0.154,9971,3900,3938,254
008 日常（82式）,1000,1000,1000,1000,1,4,349,AK74M,2.433,0.151,9971,3900,3938,245
008 日常（82式）,1000,1000,1000,1000,1,4,382,MSBS,2.384,0.150,9971,3900,3938,240
008 日常（82式）,1000,1000,1000,1000,1,4,394,CM901,2.314,0.148,9971,3900,3938,233
008 日常（82式）,1000,1000,1000,1000,1,5,16,汤姆森,3.723,0.154,9971,1158,1251,401
008 日常（82式）,1000,1000,1000,1000,1,5,65,HK416,1.290,0.103,9971,1158,1251,139
008 日常（82式）,1000,1000,1000,1000,1,5,122,G11,0.631,0.075,9971,1158,1251,68
008 日常（82式）,1000,1000,1000,1000,1,5,338,SIG MCX,1.040,0.094,9971,1158,1251,112
008 日常（82式）,1000,1000,1000,1000,1,5,356,A-545,1.179,0.099,9971,1158,1251,127
008 日常（82式）,1000,1000,1000,1000,1,5,365,SCR,1.151,0.098,9971,1158,1251,124
008 日常（82式）,1000,1000,1000,1000,1,5,378,SCAR-L,0.687,0.078,9971,1158,1251,74
008 日常（82式）,1000,1000,1000,1000,1,5,390,HK433,1.179,0.099,9971,1158,1251,127
008 日常（82式）,1000,1000,1000,1000,1,5,393,贝奥武夫,0.733,0.080,9971,1158,1251,79
008 日常（82式）,1000,4000,4000,2000,1,3,18,MAC-10,2.564,0.230,4357,1261,1298,115
008 日常（82式）,1000,4000,4000,2000,1,3,22,PPS-43,2.185,0.213,4357,1261,1298,98
008 日常（82式）,1000,4000,4000,2000,1,3,27,蝎式,2.252,0.216,4357,1261,1298,101
008 日常（82式）,1000,4000,4000,2000,1,3,32,微型乌兹,1.806,0.195,4357,1261,1298,81
008 日常（82式）,1000,4000,4000,2000,1,3,58,AK-47,2.809,0.239,4357,1261,1298,126
008 日常（82式）,1000,4000,4000,2000,1,3,61,StG44,3.077,0.249,4357,1261,1298,138
008 日常（82式）,1000,4000,4000,2000,1,3,70,FNC,3.055,0.248,4357,1261,1298,137
008 日常（82式）,1000,4000,4000,2000,1,3,105,OTs-12,2.988,0.246,4357,1261,1298,134
008 日常（82式）,1000,4000,4000,2000,1,3,116,Z-62,2.698,0.235,4357,1261,1298,121
008 日常（82式）,1000,4000,4000,2000,1,3,120,ARX-160,3.278,0.256,4357,1261,1298,147
008 日常（82式）,1000,4000,4000,2000,1,3,178,F1,2.230,0.215,4357,1261,1298,100
008 日常（82式）,1000,4000,4000,2000,1,4,26,MP5,3.263,0.263,4357,1871,1895,144
008 日常（82式）,1000,4000,4000,2000,1,4,60,AS Val,2.946,0.251,4357,1871,1895,130
008 日常（82式）,1000,4000,4000,2000,1,4,64,G36,1.020,0.151,4357,1871,1895,45
008 日常（82式）,1000,4000,4000,2000,1,4,66,56-1式,2.674,0.240,4357,1871,1895,118
008 日常（82式）,1000,4000,4000,2000,1,4,69,FAMAS,2.855,0.247,4357,1871,1895,126
008 日常（82式）,1000,4000,4000,2000,1,4,72,TAR-21,1.971,0.208,4357,1871,1895,87
008 日常（82式）,1000,4000,4000,2000,1,4,118,9A-91,2.810,0.245,4357,1871,1895,124
008 日常（82式）,1000,4000,4000,2000,1,4,171,利贝罗勒,2.153,0.216,4357,1871,1895,95
008 日常（82式）,1000,4000,4000,2000,1,4,216,XM8,3.082,0.256,4357,1871,1895,136
008 日常（82式）,1000,4000,4000,2000,1,4,237,SAR-21,3.105,0.257,4357,1871,1895,137
008 日常（82式）,1000,4000,4000,2000,1,4,262,EM-2,3.173,0.259,4357,1871,1895,140
008 日常（82式）,1000,4000,4000,2000,1,4,288,CR-21,2.765,0.243,4357,1871,1895,122
008 日常（82式）,1000,4000,4000,2000,1,4,330,FX-05,3.218,0.261,4357,1871,1895,142
008 日常（82式）,1000,4000,4000,2000,1,4,349,AK74M,2.719,0.242,4357,1871,1895,120
008 日常（82式）,1000,4000,4000,2000,1,4,382,MSBS,2.447,0.230,4357,1871,1895,108
008 日常（82式）,1000,4000,4000,2000,1,4,394,CM901,2.742,0.243,4357,1871,1895,121
008 日常（82式）,1000,4000,4000,2000,1,5,16,汤姆森,1.855,0.192,4357,1225,1334,88
008 日常（82式）,1000,4000,4000,2000,1,5,62,G41,1.096,0.150,4357,1225,1334,52
008 日常（82式）,1000,4000,4000,2000,1,5,65,HK416,1.286,0.162,4357,1225,1334,61
008 日常（82式）,1000,4000,4000,2000,1,5,106,FAL,0.927,0.138,4357,1225,1334,44
008 日常（82式）,1000,4000,4000,2000,1,5,122,G11,0.443,0.096,4357,1225,1334,21
008 日常（82式）,1000,4000,4000,2000,1,5,129,95式,0.738,0.124,4357,1225,1334,35
008 日常（82式）,1000,4000,4000,2000,1,5,130,97式,0.906,0.137,4357,1225,1334,43
008 日常（82式）,1000,4000,4000,2000,1,5,172,RFB,0.632,0.115,4357,1225,1334,30
008 日常（82式）,1000,4000,4000,2000,1,5,181,T91,1.075,0.148,4357,1225,1334,51
008 日常（82式）,1000,4000,4000,2000,1,5,194,K2,0.970,0.141,4357,1225,1334,46
008 日常（82式）,1000,4000,4000,2000,1,5,196,Zas M21,1.180,0.155,4357,1225,1334,56
008 日常（82式）,1000,4000,4000,2000,1,5,205,AN-94,0.674,0.118,4357,1225,1334,32
008 日常（82式）,1000,4000,4000,2000,1,5,206,AK-12,0.801,0.129,4357,1225,1334,38
008 日常（82式）,1000,4000,4000,2000,1,5,214,ADS,0.906,0.137,4357,1225,1334,43
008 日常（82式）,1000,4000,4000,2000,1,5,215,MDR,0.991,0.143,4357,1225,1334,47
008 日常（82式）,1000,4000,4000,2000,1,5,236,K11,1.180,0.155,4357,1225,1334,56
008 日常（82式）,1000,4000,4000,2000,1,5,243,64式自,1.201,0.157,4357,1225,1334,57
008 日常（82式）,1000,4000,4000,2000,1,5,287,SIG-556,0.738,0.124,4357,1225,1334,35
008 日常（82式）,1000,4000,4000,2000,1,5,290,89式自,0.653,0.117,4357,1225,1334,31
008 日常（82式）,1000,4000,4000,2000,1,5,293,AK-15,0.569,0.109,4357,1225,1334,27
008 日常（82式）,1000,4000,4000,2000,1,5,306,AK-阿尔法,1.138,0.153,4357,1225,1334,54
008 日常（82式）,1000,4000,4000,2000,1,5,313,S-ACR,1.075,0.148,4357,1225,1334,51
008 日常（82式）,1000,4000,4000,2000,1,5,338,SIG MCX,1.265,0.160,4357,1225,1334,60
008 日常（82式）,1000,4000,4000,2000,1,5,356,A-545,1.159,0.154,4357,1225,1334,55
008 日常（82式）,1000,4000,4000,2000,1,5,365,SCR,1.391,0.168,4357,1225,1334,66
008 日常（82式）,1000,4000,4000,2000,1,5,378,SCAR-L,0.864,0.134,4357,1225,1334,41
008 日常（82式）,1000,4000,4000,2000,1,5,390,HK433,1.496,0.174,4357,1225,1334,71
008 日常（82式）,1000,4000,4000,2000,1,5,393,贝奥武夫,0.906,0.137,4357,1225,1334,43
008 日常（82式）,4000,1000,4000,2000,1,3,18,MAC-10,1.693,0.230,2984,955,983,52
008 日常（82式）,4000,1000,4000,2000,1,3,22,PPS-43,2.084,0.254,2984,955,983,64
008 日常（82式）,4000,1000,4000,2000,1,3,27,蝎式,1.758,0.234,2984,955,983,54
008 日常（82式）,4000,1000,4000,2000,1,3,32,微型乌兹,1.823,0.238,2984,955,983,56
008 日常（82式）,4000,1000,4000,2000,1,3,34,M1加兰德,3.288,0.312,2984,955,983,101
008 日常（82式）,4000,1000,4000,2000,1,3,37,M14,3.516,0.321,2984,955,983,108
008 日常（82式）,4000,1000,4000,2000,1,3,44,SV-98,3.451,0.319,2984,955,983,106
008 日常（82式）,4000,1000,4000,2000,1,3,58,AK-47,0.879,0.168,2984,955,983,27
008 日常（82式）,4000,1000,4000,2000,1,3,61,StG44,1.140,0.190,2984,955,983,35
008 日常（82式）,4000,1000,4000,2000,1,3,70,FNC,0.879,0.168,2984,955,983,27
008 日常（82式）,4000,1000,4000,2000,1,3,95,汉阳造88式,1.595,0.224,2984,955,983,49
008 日常（82式）,4000,1000,4000,2000,1,3,105,OTs-12,0.944,0.174,2984,955,983,29
008 日常（82式）,4000,1000,4000,2000,1,3,116,Z-62,1.823,0.238,2984,955,983,56
008 日常（82式）,4000,1000,4000,2000,1,3,120,ARX-160,0.879,0.168,2984,955,983,27
008 日常（82式）,4000,1000,4000,2000,1,3,145,OTs-44,4.363,0.353,2984,955,983,134
008 日常（82式）,4000,1000,4000,2000,1,3,178,F1,1.888,0.242,2984,955,983,58
008 日常（82式）,4000,1000,4000,2000,1,4,26,MP5,2.343,0.271,2984,1157,1175,71
008 日常（82式）,4000,1000,4000,2000,1,4,36,春田,2.442,0.277,2984,1157,1175,74
008 日常（82式）,4000,1000,4000,2000,1,4,39,莫辛-纳甘,2.937,0.301,2984,1157,1175,89
008 日常（82式）,4000,1000,4000,2000,1,4,42,PTRD,2.970,0.303,2984,1157,1175,90
008 日常（82式）,4000,1000,4000,2000,1,4,43,SVD,0.825,0.164,2984,1157,1175,25
008 日常（82式）,4000,1000,4000,2000,1,4,60,AS Val,1.023,0.183,2984,1157,1175,31
008 日常（82式）,4000,1000,4000,2000,1,4,66,56-1式,0.924,0.174,2984,1157,1175,28
008 日常（82式）,4000,1000,4000,2000,1,4,69,FAMAS,0.693,0.151,2984,1157,1175,21
008 日常（82式）,4000,1000,4000,2000,1,4,117,PSG-1,1.419,0.214,2984,1157,1175,43
008 日常（82式）,4000,1000,4000,2000,1,4,118,9A-91,0.693,0.151,2984,1157,1175,21
008 日常（82式）,4000,1000,4000,2000,1,4,146,G28,1.683,0.232,2984,1157,1175,51
008 日常（82式）,4000,1000,4000,2000,1,4,180,PzB39,2.013,0.253,2984,1157,1175,61
008 日常（82式）,4000,1000,4000,2000,1,4,184,T-5000,2.574,0.284,2984,1157,1175,78
008 日常（82式）,4000,1000,4000,2000,1,4,216,XM8,0.891,0.171,2984,1157,1175,27
008 日常（82式）,4000,1000,4000,2000,1,4,235,SPR A3G,2.871,0.298,2984,1157,1175,87
008 日常（82式）,4000,1000,4000,2000,1,4,237,SAR-21,0.627,0.144,2984,1157,1175,19
008 日常（82式）,4000,1000,4000,2000,1,4,247,K31,1.716,0.234,2984,1157,1175,52
008 日常（82式）,4000,1000,4000,2000,1,4,262,EM-2,0.693,0.151,2984,1157,1175,21
008 日常（82式）,4000,1000,4000,2000,1,4,270,四式,2.937,0.301,2984,1157,1175,89
008 日常（82式）,4000,1000,4000,2000,1,4,288,CR-21,0.693,0.151,2984,1157,1175,21
008 日常（82式）,4000,1000,4000,2000,1,4,305,塔布克,2.211,0.264,2984,1157,1175,67
008 日常（82式）,4000,1000,4000,2000,1,4,330,FX-05,1.353,0.209,2984,1157,1175,41
008 日常（82式）,4000,1000,4000,2000,1,4,349,AK74M,0.693,0.151,2984,1157,1175,21
008 日常（82式）,4000,1000,4000,2000,1,4,382,MSBS,0.726,0.154,2984,1157,1175,22
008 日常（82式）,4000,1000,4000,2000,1,4,394,CM901,0.825,0.164,2984,1157,1175,25
008 日常（82式）,4000,1000,4000,2000,1,5,16,汤姆森,1.193,0.191,2984,872,931,38
008 日常（82式）,4000,1000,4000,2000,1,5,46,Kar98k,1.350,0.202,2984,872,931,43
008 日常（82式）,4000,1000,4000,2000,1,5,48,WA2000,1.946,0.240,2984,872,931,62
008 日常（82式）,4000,1000,4000,2000,1,5,50,李-恩菲尔德,1.161,0.188,2984,872,931,37
008 日常（82式）,4000,1000,4000,2000,1,5,53,NTW-20,1.632,0.221,2984,872,931,52
008 日常（82式）,4000,1000,4000,2000,1,5,65,HK416,0.282,0.094,2984,872,931,9
008 日常（82式）,4000,1000,4000,2000,1,5,122,G11,0.094,0.055,2984,872,931,3
008 日常（82式）,4000,1000,4000,2000,1,5,128,M99,0.534,0.129,2984,872,931,17
008 日常（82式）,4000,1000,4000,2000,1,5,148,IWS 2000,0.502,0.125,2984,872,931,16
008 日常（82式）,4000,1000,4000,2000,1,5,197,卡尔卡诺M1891,1.444,0.209,2984,872,931,46
008 日常（82式）,4000,1000,4000,2000,1,5,198,卡尔卡诺M91/38,0.659,0.143,2984,872,931,21
008 日常（82式）,4000,1000,4000,2000,1,5,257,M200,1.758,0.229,2984,872,931,56
008 日常（82式）,4000,1000,4000,2000,1,5,261,QBU-88,1.789,0.231,2984,872,931,57
008 日常（82式）,4000,1000,4000,2000,1,5,312,VSK-94,1.287,0.198,2984,872,931,41
008 日常（82式）,4000,1000,4000,2000,1,5,329,SVCh,1.444,0.209,2984,872,931,46
008 日常（82式）,4000,1000,4000,2000,1,5,337,德利尔,2.072,0.248,2984,872,931,66
008 日常（82式）,4000,1000,4000,2000,1,5,338,SIG MCX,0.408,0.113,2984,872,931,13
008 日常（82式）,4000,1000,4000,2000,1,5,348,HS.50,2.291,0.259,2984,872,931,73
008 日常（82式）,4000,1000,4000,2000,1,5,356,A-545,0.251,0.089,2984,872,931,8
008 日常（82式）,4000,1000,4000,2000,1,5,365,SCR,0.345,0.104,2984,872,931,11
008 日常（82式）,4000,1000,4000,2000,1,5,377,SCAR-H,1.130,0.186,2984,872,931,36
008 日常（82式）,4000,1000,4000,2000,1,5,378,SCAR-L,0.377,0.109,2984,872,931,12
008 日常（82式）,4000,1000,4000,2000,1,5,381,M110,1.946,0.240,2984,872,931,62
008 日常（82式）,4000,1000,4000,2000,1,5,388,QBU-191,1.852,0.235,2984,872,931,59
008 日常（82式）,4000,1000,4000,2000,1,5,389,博斯,0.910,0.168,2984,872,931,29
008 日常（82式）,4000,1000,4000,2000,1,5,390,HK433,0.282,0.094,2984,872,931,9
008 日常（82式）,4000,1000,4000,2000,1,5,393,贝奥武夫,0.282,0.094,2984,872,931,9
008 日常（82式）,4000,4000,1000,2000,1,3,18,MAC-10,2.474,0.253,3406,734,749,86
008 日常（82式）,4000,4000,1000,2000,1,3,22,PPS-43,2.446,0.251,3406,734,749,85
008 日常（82式）,4000,4000,1000,2000,1,3,27,蝎式,2.561,0.256,3406,734,749,89
008 日常（82式）,4000,4000,1000,2000,1,3,29,司登MkⅡ,2.273,0.243,3406,734,749,79
008 日常（82式）,4000,4000,1000,2000,1,3,32,微型乌兹,2.072,0.233,3406,734,749,72
008 日常（82式）,4000,4000,1000,2000,1,3,58,AK-47,1.295,0.188,3406,734,749,45
008 日常（82式）,4000,4000,1000,2000,1,3,61,StG44,1.295,0.188,3406,734,749,45
008 日常（82式）,4000,4000,1000,2000,1,3,70,FNC,1.093,0.174,3406,734,749,38
008 日常（82式）,4000,4000,1000,2000,1,3,105,OTs-12,1.410,0.196,3406,734,749,49
008 日常（82式）,4000,4000,1000,2000,1,3,116,Z-62,1.784,0.218,3406,734,749,62
008 日常（82式）,4000,4000,1000,2000,1,3,120,ARX-160,0.863,0.155,3406,734,749,30
008 日常（82式）,4000,4000,1000,2000,1,3,178,F1,1.985,0.229,3406,734,749,69
008 日常（82式）,4000,4000,1000,2000,1,4,23,PP-90,2.184,0.249,3406,2112,2129,75
008 日常（82式）,4000,4000,1000,2000,1,4,26,MP5,2.913,0.286,3406,2112,2129,100
008 日常（82式）,4000,4000,1000,2000,1,4,60,AS Val,1.078,0.176,3406,2112,2129,37
008 日常（82式）,4000,4000,1000,2000,1,4,66,56-1式,0.903,0.162,3406,2112,2129,31
008 日常（82式）,4000,4000,1000,2000,1,4,69,FAMAS,1.165,0.183,3406,2112,2129,40
008 日常（82式）,4000,4000,1000,2000,1,4,101,UMP9,3.524,0.313,3406,2112,2129,121
008 日常（82式）,4000,4000,1000,2000,1,4,103,UMP45,3.524,0.313,3406,2112,2129,121
008 日常（82式）,4000,4000,1000,2000,1,4,118,9A-91,0.874,0.159,3406,2112,2129,30
008 日常（82式）,4000,4000,1000,2000,1,4,137,PP-19-01,3.087,0.294,3406,2112,2129,106
008 日常（82式）,4000,4000,1000,2000,1,4,150,希普卡,4.194,0.339,3406,2112,2129,144
008 日常（82式）,4000,4000,1000,2000,1,4,216,XM8,0.757,0.148,3406,2112,2129,26
008 日常（82式）,4000,4000,1000,2000,1,4,237,SAR-21,1.019,0.172,3406,2112,2129,35
008 日常（82式）,4000,4000,1000,2000,1,4,262,EM-2,0.786,0.151,3406,2112,2129,27
008 日常（82式）,4000,4000,1000,2000,1,4,286,KAC-PDW,4.107,0.336,3406,2112,2129,141
008 日常（82式）,4000,4000,1000,2000,1,4,288,CR-21,0.961,0.167,3406,2112,2129,33
008 日常（82式）,4000,4000,1000,2000,1,4,304,SAF,3.612,0.316,3406,2112,2129,124
008 日常（82式）,4000,4000,1000,2000,1,4,328,AR-57,2.330,0.257,3406,2112,2129,80
008 日常（82式）,4000,4000,1000,2000,1,4,330,FX-05,1.282,0.192,3406,2112,2129,44
008 日常（82式）,4000,4000,1000,2000,1,4,336,PPD-40,2.301,0.255,3406,2112,2129,79
008 日常（82式）,4000,4000,1000,2000,1,4,349,AK74M,1.019,0.172,3406,2112,2129,35
008 日常（82式）,4000,4000,1000,2000,1,4,355,维涅龙M2,3.582,0.315,3406,2112,2129,123
008 日常（82式）,4000,4000,1000,2000,1,4,363,MPL,3.932,0.329,3406,2112,2129,135
008 日常（82式）,4000,4000,1000,2000,1,4,364,MPK,3.349,0.305,3406,2112,2129,115
008 日常（82式）,4000,4000,1000,2000,1,4,380,APC9K,3.961,0.330,3406,2112,2129,136
008 日常（82式）,4000,4000,1000,2000,1,4,382,MSBS,1.019,0.172,3406,2112,2129,35
008 日常（82式）,4000,4000,1000,2000,1,4,392,欧文,3.495,0.312,3406,2112,2129,120
008 日常（82式）,4000,4000,1000,2000,1,4,394,CM901,1.049,0.174,3406,2112,2129,36
008 日常（82式）,4000,4000,1000,2000,1,5,16,汤姆森,1.239,0.179,3406,560,597,45
