event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
010 日常（FM24）,8000,1000,8000,4000,1,3,18,MAC-10,1.623,0.198,3884,1107,1124,64
010 日常（FM24）,8000,1000,8000,4000,1,3,22,PPS-43,1.547,0.194,3884,1107,1124,61
010 日常（FM24）,8000,1000,8000,4000,1,3,27,蝎式,1.521,0.192,3884,1107,1124,60
010 日常（FM24）,8000,1000,8000,4000,1,3,32,微型乌兹,1.471,0.189,3884,1107,1124,58
010 日常（FM24）,8000,1000,8000,4000,1,3,34,M1加兰德,1.116,0.166,3884,1107,1124,44
010 日常（FM24）,8000,1000,8000,4000,1,3,37,M14,0.938,0.153,3884,1107,1124,37
010 日常（FM24）,8000,1000,8000,4000,1,3,44,SV-98,1.293,0.178,3884,1107,1124,51
010 日常（FM24）,8000,1000,8000,4000,1,3,58,AK-47,0.659,0.129,3884,1107,1124,26
010 日常（FM24）,8000,1000,8000,4000,1,3,61,StG44,0.558,0.118,3884,1107,1124,22
010 日常（FM24）,8000,1000,8000,4000,1,3,70,FNC,0.685,0.131,3884,1107,1124,27
010 日常（FM24）,8000,1000,8000,4000,1,3,95,汉阳造88式,0.609,0.124,3884,1107,1124,24
010 日常（FM24）,8000,1000,8000,4000,1,3,105,OTs-12,0.710,0.133,3884,1107,1124,28
010 日常（FM24）,8000,1000,8000,4000,1,3,116,Z-62,1.902,0.213,3884,1107,1124,75
010 日常（FM24）,8000,1000,8000,4000,1,3,120,ARX-160,0.659,0.129,3884,1107,1124,26
010 日常（FM24）,8000,1000,8000,4000,1,3,145,OTs-44,1.065,0.162,3884,1107,1124,42
010 日常（FM24）,8000,1000,8000,4000,1,3,152,M1897,2.029,0.220,3884,1107,1124,80
010 日常（FM24）,8000,1000,8000,4000,1,3,154,M500,2.155,0.226,3884,1107,1124,85
010 日常（FM24）,8000,1000,8000,4000,1,3,158,KS-23,2.029,0.220,3884,1107,1124,80
010 日常（FM24）,8000,1000,8000,4000,1,3,159,RMB-93,2.206,0.229,3884,1107,1124,87
010 日常（FM24）,8000,1000,8000,4000,1,3,178,F1,1.420,0.186,3884,1107,1124,56
010 日常（FM24）,8000,1000,8000,4000,1,3,190,NS2000,2.308,0.233,3884,1107,1124,91
010 日常（FM24）,8000,1000,8000,4000,1,4,26,MP5,2.054,0.226,3884,1749,1754,80
010 日常（FM24）,8000,1000,8000,4000,1,4,36,春田,0.873,0.149,3884,1749,1754,34
010 日常（FM24）,8000,1000,8000,4000,1,4,39,莫辛-纳甘,1.053,0.163,3884,1749,1754,41
010 日常（FM24）,8000,1000,8000,4000,1,4,42,PTRD,0.899,0.151,3884,1749,1754,35
010 日常（FM24）,8000,1000,8000,4000,1,4,43,SVD,0.205,0.073,3884,1749,1754,8
010 日常（FM24）,8000,1000,8000,4000,1,4,60,AS Val,0.565,0.120,3884,1749,1754,22
010 日常（FM24）,8000,1000,8000,4000,1,4,66,56-1式,0.616,0.126,3884,1749,1754,24
010 日常（FM24）,8000,1000,8000,4000,1,4,69,FAMAS,0.745,0.138,3884,1749,1754,29
010 日常（FM24）,8000,1000,8000,4000,1,4,117,PSG-1,0.488,0.112,3884,1749,1754,19
010 日常（FM24）,8000,1000,8000,4000,1,4,118,9A-91,0.616,0.126,3884,1749,1754,24
010 日常（FM24）,8000,1000,8000,4000,1,4,146,G28,0.565,0.120,3884,1749,1754,22
010 日常（FM24）,8000,1000,8000,4000,1,4,153,M37,2.850,0.263,3884,1749,1754,111
010 日常（FM24）,8000,1000,8000,4000,1,4,155,M590,2.439,0.245,3884,1749,1754,95
010 日常（FM24）,8000,1000,8000,4000,1,4,156,超级肖蒂,1.053,0.163,3884,1749,1754,41
010 日常（FM24）,8000,1000,8000,4000,1,4,162,SPAS-12,2.465,0.246,3884,1749,1754,96
010 日常（FM24）,8000,1000,8000,4000,1,4,165,M1014,2.542,0.250,3884,1749,1754,99
010 日常（FM24）,8000,1000,8000,4000,1,4,180,PzB39,0.539,0.118,3884,1749,1754,21
010 日常（FM24）,8000,1000,8000,4000,1,4,184,T-5000,1.053,0.163,3884,1749,1754,41
