event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
012 圣建（24周年）,8000,1000,8000,4000,1,3,18,MAC-10,1.576,0.252,2347,552,552,37
012 圣建（24周年）,8000,1000,8000,4000,1,3,22,PPS-43,1.363,0.236,2347,552,552,32
012 圣建（24周年）,8000,1000,8000,4000,1,3,27,蝎式,1.704,0.261,2347,552,552,40
012 圣建（24周年）,8000,1000,8000,4000,1,3,32,微型乌兹,1.662,0.258,2347,552,552,39
012 圣建（24周年）,8000,1000,8000,4000,1,3,34,M1加兰德,1.449,0.242,2347,552,552,34
012 圣建（24周年）,8000,1000,8000,4000,1,3,37,M14,1.236,0.225,2347,552,552,29
012 圣建（24周年）,8000,1000,8000,4000,1,3,44,SV-98,0.810,0.184,2347,552,552,19
012 圣建（24周年）,8000,1000,8000,4000,1,3,58,AK-47,0.852,0.188,2347,552,552,20
012 圣建（24周年）,8000,1000,8000,4000,1,3,61,StG44,1.023,0.206,2347,552,552,24
012 圣建（24周年）,8000,1000,8000,4000,1,3,70,FNC,0.852,0.188,2347,552,552,20
012 圣建（24周年）,8000,1000,8000,4000,1,3,95,汉阳造88式,0.426,0.134,2347,552,552,10
012 圣建（24周年）,8000,1000,8000,4000,1,3,105,OTs-12,0.682,0.169,2347,552,552,16
012 圣建（24周年）,8000,1000,8000,4000,1,3,116,Z-62,1.747,0.264,2347,552,552,41
012 圣建（24周年）,8000,1000,8000,4000,1,3,120,ARX-160,0.852,0.188,2347,552,552,20
012 圣建（24周年）,8000,1000,8000,4000,1,3,145,OTs-44,0.810,0.184,2347,552,552,19
012 圣建（24周年）,8000,1000,8000,4000,1,3,152,M1897,0.810,0.184,2347,552,552,19
012 圣建（24周年）,8000,1000,8000,4000,1,3,154,M500,0.895,0.193,2347,552,552,21
012 圣建（24周年）,8000,1000,8000,4000,1,3,158,KS-23,1.491,0.246,2347,552,552,35
012 圣建（24周年）,8000,1000,8000,4000,1,3,159,RMB-93,0.895,0.193,2347,552,552,21
012 圣建（24周年）,8000,1000,8000,4000,1,3,178,F1,1.662,0.258,2347,552,552,39
012 圣建（24周年）,8000,1000,8000,4000,1,3,190,NS2000,0.724,0.174,2347,552,552,17
012 圣建（24周年）,8000,1000,8000,4000,1,4,26,MP5,1.824,0.269,2347,1111,1168,45
012 圣建（24周年）,8000,1000,8000,4000,1,4,36,春田,1.175,0.217,2347,1111,1168,29
012 圣建（24周年）,8000,1000,8000,4000,1,4,39,莫辛-纳甘,0.851,0.185,2347,1111,1168,21
012 圣建（24周年）,8000,1000,8000,4000,1,4,42,PTRD,0.608,0.157,2347,1111,1168,15
012 圣建（24周年）,8000,1000,8000,4000,1,4,43,SVD,0.243,0.100,2347,1111,1168,6
012 圣建（24周年）,8000,1000,8000,4000,1,4,60,AS Val,0.567,0.152,2347,1111,1168,14
012 圣建（24周年）,8000,1000,8000,4000,1,4,66,56-1式,0.811,0.181,2347,1111,1168,20
012 圣建（24周年）,8000,1000,8000,4000,1,4,69,FAMAS,0.324,0.115,2347,1111,1168,8
012 圣建（24周年）,8000,1000,8000,4000,1,4,117,PSG-1,0.608,0.157,2347,1111,1168,15
012 圣建（24周年）,8000,1000,8000,4000,1,4,118,9A-91,0.811,0.181,2347,1111,1168,20
012 圣建（24周年）,8000,1000,8000,4000,1,4,146,G28,0.405,0.129,2347,1111,1168,10
012 圣建（24周年）,8000,1000,8000,4000,1,4,153,M37,2.513,0.313,2347,1111,1168,62
012 圣建（24周年）,8000,1000,8000,4000,1,4,155,M590,2.594,0.318,2347,1111,1168,64
012 圣建（24周年）,8000,1000,8000,4000,1,4,156,超级肖蒂,1.378,0.235,2347,1111,1168,34
012 圣建（24周年）,8000,1000,8000,4000,1,4,162,SPAS-12,2.594,0.318,2347,1111,1168,64
012 圣建（24周年）,8000,1000,8000,4000,1,4,165,M1014,3.161,0.348,2347,1111,1168,78
012 圣建（24周年）,8000,1000,8000,4000,1,4,180,PzB39,0.648,0.162,2347,1111,1168,16
012 圣建（24周年）,8000,1000,8000,4000,1,4,184,T-5000,1.054,0.206,2347,1111,1168,26
012 圣建（24周年）,8000,1000,8000,4000,1,4,189,USAS-12,1.905,0.274,2347,1111,1168,47
012 圣建（24周年）,8000,1000,8000,4000,1,4,216,XM8,0.892,0.190,2347,1111,1168,22
012 圣建（24周年）,8000,1000,8000,4000,1,4,235,SPR A3G,0.689,0.167,2347,1111,1168,17
012 圣建（24周年）,8000,1000,8000,4000,1,4,237,SAR-21,0.811,0.181,2347,1111,1168,20
012 圣建（24周年）,8000,1000,8000,4000,1,4,247,K31,0.689,0.167,2347,1111,1168,17
012 圣建（24周年）,8000,1000,8000,4000,1,4,262,EM-2,0.608,0.157,2347,1111,1168,15
012 圣建（24周年）,8000,1000,8000,4000,1,4,270,四式,0.648,0.162,2347,1111,1168,16
012 圣建（24周年）,8000,1000,8000,4000,1,4,283,解放者,2.270,0.298,2347,1111,1168,56
012 圣建（24周年）,8000,1000,8000,4000,1,4,288,CR-21,0.486,0.141,2347,1111,1168,12
012 圣建（24周年）,8000,1000,8000,4000,1,4,305,塔布克,1.013,0.202,2347,1111,1168,25
012 圣建（24周年）,8000,1000,8000,4000,1,4,325,V-PM5,2.594,0.318,2347,1111,1168,64
012 圣建（24周年）,8000,1000,8000,4000,1,4,326,HK512,2.148,0.290,2347,1111,1168,53
012 圣建（24周年）,8000,1000,8000,4000,1,4,330,FX-05,0.730,0.172,2347,1111,1168,18
012 圣建（24周年）,8000,1000,8000,4000,1,4,349,AK74M,0.851,0.185,2347,1111,1168,21
012 圣建（24周年）,8000,1000,8000,4000,1,4,352,新星,2.472,0.310,2347,1111,1168,61
012 圣建（24周年）,8000,1000,8000,4000,1,4,353,MAG-7,2.796,0.329,2347,1111,1168,69
012 圣建（24周年）,8000,1000,8000,4000,1,4,368,UTS-15,2.715,0.324,2347,1111,1168,67
012 圣建（24周年）,8000,1000,8000,4000,1,4,382,MSBS,0.243,0.100,2347,1111,1168,6
012 圣建（24周年）,8000,1000,8000,4000,1,4,394,CM901,0.608,0.157,2347,1111,1168,15
012 圣建（24周年）,8000,1000,8000,4000,1,5,16,汤姆森,1.190,0.214,2347,684,735,30
012 圣建（24周年）,8000,1000,8000,4000,1,5,46,Kar98k,0.397,0.125,2347,684,735,10
012 圣建（24周年）,8000,1000,8000,4000,1,5,48,WA2000,0.476,0.137,2347,684,735,12
012 圣建（24周年）,8000,1000,8000,4000,1,5,50,李-恩菲尔德,0.357,0.119,2347,684,735,9
012 圣建（24周年）,8000,1000,8000,4000,1,5,53,NTW-20,0.476,0.137,2347,684,735,12
012 圣建（24周年）,8000,1000,8000,4000,1,5,65,HK416,0.238,0.097,2347,684,735,6
012 圣建（24周年）,8000,1000,8000,4000,1,5,122,G11,0.159,0.080,2347,684,735,4
012 圣建（24周年）,8000,1000,8000,4000,1,5,128,M99,0.238,0.097,2347,684,735,6
012 圣建（24周年）,8000,1000,8000,4000,1,5,148,IWS 2000,0.119,0.069,2347,684,735,3
012 圣建（24周年）,8000,1000,8000,4000,1,5,157,KSG,1.546,0.243,2347,684,735,39
012 圣建（24周年）,8000,1000,8000,4000,1,5,160,塞伽12型,0.793,0.176,2347,684,735,20
012 圣建（24周年）,8000,1000,8000,4000,1,5,163,AA-12,0.714,0.167,2347,684,735,18
012 圣建（24周年）,8000,1000,8000,4000,1,5,164,FP-6,0.872,0.185,2347,684,735,22
012 圣建（24周年）,8000,1000,8000,4000,1,5,188,S.A.T.8,0.793,0.176,2347,684,735,20
012 圣建（24周年）,8000,1000,8000,4000,1,5,197,卡尔卡诺M1891,0.476,0.137,2347,684,735,12
012 圣建（24周年）,8000,1000,8000,4000,1,5,198,卡尔卡诺M91/38,0.198,0.089,2347,684,735,5
012 圣建（24周年）,8000,1000,8000,4000,1,5,257,M200,0.515,0.143,2347,684,735,13
012 圣建（24周年）,8000,1000,8000,4000,1,5,261,QBU-88,0.595,0.153,2347,684,735,15
012 圣建（24周年）,8000,1000,8000,4000,1,5,281,CAWS,0.952,0.193,2347,684,735,24
012 圣建（24周年）,8000,1000,8000,4000,1,5,282,DP-12,1.229,0.218,2347,684,735,31
012 圣建（24周年）,8000,1000,8000,4000,1,5,312,VSK-94,0.357,0.119,2347,684,735,9
012 圣建（24周年）,8000,1000,8000,4000,1,5,323,LTLX7000,1.467,0.237,2347,684,735,37
012 圣建（24周年）,8000,1000,8000,4000,1,5,324,M6 ASW,1.071,0.204,2347,684,735,27
012 圣建（24周年）,8000,1000,8000,4000,1,5,329,SVCh,0.278,0.105,2347,684,735,7
012 圣建（24周年）,8000,1000,8000,4000,1,5,337,德利尔,0.634,0.158,2347,684,735,16
012 圣建（24周年）,8000,1000,8000,4000,1,5,338,SIG MCX,0.317,0.112,2347,684,735,8
012 圣建（24周年）,8000,1000,8000,4000,1,5,348,HS.50,0.753,0.172,2347,684,735,19
012 圣建（24周年）,8000,1000,8000,4000,1,5,350,FO-12,1.586,0.246,2347,684,735,40
012 圣建（24周年）,8000,1000,8000,4000,1,5,351,M26-MASS,1.546,0.243,2347,684,735,39
012 圣建（24周年）,8000,1000,8000,4000,1,5,356,A-545,0.317,0.112,2347,684,735,8
012 圣建（24周年）,8000,1000,8000,4000,1,5,365,SCR,0.397,0.125,2347,684,735,10
012 圣建（24周年）,8000,1000,8000,4000,1,5,366,SPAS-15,1.190,0.214,2347,684,735,30
012 圣建（24周年）,8000,1000,8000,4000,1,5,367,MK3A1,1.467,0.237,2347,684,735,37
012 圣建（24周年）,8000,1000,8000,4000,1,5,377,SCAR-H,0.317,0.112,2347,684,735,8
012 圣建（24周年）,8000,1000,8000,4000,1,5,378,SCAR-L,0.159,0.080,2347,684,735,4
012 圣建（24周年）,8000,1000,8000,4000,1,5,381,M110,0.317,0.112,2347,684,735,8
012 圣建（24周年）,8000,1000,8000,4000,1,5,388,QBU-191,0.317,0.112,2347,684,735,8
012 圣建（24周年）,8000,1000,8000,4000,1,5,389,博斯,0.357,0.119,2347,684,735,9
012 圣建（24周年）,8000,1000,8000,4000,1,5,390,HK433,0.515,0.143,2347,684,735,13
012 圣建（24周年）,8000,1000,8000,4000,1,5,393,贝奥武夫,0.317,0.112,2347,684,735,8
012 圣建（24周年）,8000,1000,8000,4000,1,5,397,史蒂文斯520,1.586,0.246,2347,684,735,40
012 圣建（24周年）,8000,1000,8000,4000,1,5,398,史蒂文斯620,0.952,0.193,2347,684,735,24
012 圣建（24周年）,8000,1000,8000,4000,1,5,402,马提尼亨利,0.595,0.153,2347,684,735,15
