event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
015 日常（XM556）,8000,1000,8000,4000,1,3,18,MAC-10,1.252,0.331,1111,321,323,14
015 日常（XM556）,8000,1000,8000,4000,1,3,22,PPS-43,1.700,0.382,1111,321,323,19
015 日常（XM556）,8000,1000,8000,4000,1,3,27,蝎式,1.431,0.352,1111,321,323,16
015 日常（XM556）,8000,1000,8000,4000,1,3,32,微型乌兹,0.895,0.281,1111,321,323,10
015 日常（XM556）,8000,1000,8000,4000,1,3,34,M1加兰德,1.252,0.331,1111,321,323,14
015 日常（XM556）,8000,1000,8000,4000,1,3,37,M14,0.626,0.236,1111,321,323,7
015 日常（XM556）,8000,1000,8000,4000,1,3,44,SV-98,1.431,0.352,1111,321,323,16
015 日常（XM556）,8000,1000,8000,4000,1,3,58,AK-47,0.805,0.267,1111,321,323,9
015 日常（XM556）,8000,1000,8000,4000,1,3,61,StG44,0.716,0.252,1111,321,323,8
015 日常（XM556）,8000,1000,8000,4000,1,3,70,FNC,1.252,0.331,1111,321,323,14
015 日常（XM556）,8000,1000,8000,4000,1,3,95,汉阳造88式,0.537,0.219,1111,321,323,6
015 日常（XM556）,8000,1000,8000,4000,1,3,105,OTs-12,0.805,0.267,1111,321,323,9
015 日常（XM556）,8000,1000,8000,4000,1,3,116,Z-62,1.610,0.373,1111,321,323,18
015 日常（XM556）,8000,1000,8000,4000,1,3,120,ARX-160,0.537,0.219,1111,321,323,6
015 日常（XM556）,8000,1000,8000,4000,1,3,145,OTs-44,0.626,0.236,1111,321,323,7
015 日常（XM556）,8000,1000,8000,4000,1,3,152,M1897,3.310,0.517,1111,321,323,37
015 日常（XM556）,8000,1000,8000,4000,1,3,154,M500,2.415,0.450,1111,321,323,27
015 日常（XM556）,8000,1000,8000,4000,1,3,158,KS-23,2.236,0.434,1111,321,323,25
015 日常（XM556）,8000,1000,8000,4000,1,3,159,RMB-93,1.968,0.409,1111,321,323,22
015 日常（XM556）,8000,1000,8000,4000,1,3,178,F1,1.431,0.352,1111,321,323,16
