table,id,Unnamed: 0,dev_type,user_id,build_slot,dev_uname,dev_lv,gun_id,mp,ammo,mre,part,input_level,item1_num,core,dev_time,gun_rank,gun_name,file,trust_2,trust_3,trust_4,trust_5
3,41629445,,2,96893,2,夜輝月姬,180,245,6000,6000,6000,4000,2,20,5,1647600983,5,P90,230123-000447.json,False,False,False,False
3,41715956,,2,968223,2,忆惘灬,52,245,4000,4000,1000,2000,1,1,3,1649072409,5,P90,230123-000447.json,False,False,False,False
3,41775369,,2,968223,4,忆惘灬,54,245,4000,4000,1000,2000,1,1,3,1649564338,5,P90,230123-000447.json,False,False,False,False
2,40696126,0.0,2,492932,2,痛覚残留,187,206,9999,9999,9999,9999,3,50,10,1649648964,5,AK-12,221028-125505.json,False,False,False,False
2,40732557,1.0,2,706632,2,火焰之神,75,206,1000,4000,4000,2000,1,1,3,1650196543,5,AK-12,221028-125505.json,False,False,False,False
2,40777435,2.0,2,268282,2,亞克塞爾,169,206,1000,4000,4000,2000,1,1,3,1650933579,5,AK-12,221028-125505.json,False,False,False,False
3,41894209,,2,954263,2,CHAAA,105,245,4000,4000,1000,2000,1,1,3,1651451119,5,P90,230123-000447.json,False,False,False,False
2,40838336,3.0,2,147932,2,ZhuLynn,136,106,6000,6000,6000,4000,1,1,3,1652155434,5,FAL,221028-125505.json,False,False,False,False
2,40877555,4.0,2,522712,6,Soloduo,136,106,1000,4000,4000,2000,1,1,3,1652844331,5,FAL,221028-125505.json,False,False,False,False
2,40890215,5.0,2,965532,4,LKING,49,213,4000,4000,4000,2000,1,1,3,1653059752,5,C-MS,221028-125505.json,False,False,False,False
2,40937510,6.0,2,961692,2,dumsit,57,213,4000,4000,1000,2000,1,1,3,1653232835,5,C-MS,221028-125505.json,False,False,False,False
2,40960566,7.0,2,359952,2,卡特磊,162,104,6000,6000,6000,4000,3,50,10,1653495152,5,G36C,221028-125505.json,False,False,False,False
2,40960718,8.0,2,492932,2,痛覚残留,189,104,9999,9999,9999,9999,3,50,10,1653495837,5,G36C,221028-125505.json,False,False,False,False
3,42063025,,2,769643,4,Crier,170,245,6011,6011,6011,4011,1,1,3,1653496910,5,P90,230123-000447.json,False,False,False,False
2,40962011,9.0,2,741972,4,player21,106,125,8000,8000,1000,4000,2,20,5,1653518339,5,MG4,221028-125505.json,False,False,False,False
2,40962037,10.0,2,481322,8,卡蘭迪,180,125,8000,8000,1000,4000,3,50,10,1653518655,5,MG4,221028-125505.json,False,False,False,False
1,41683228,,2,597951,6,肉包助教,192,205,6000,4000,6000,4000,1,1,3,1653523616,5,AN-94,230123-000447.json,False,False,False,False
2,40962525,11.0,2,971322,2,暴击KIA,57,106,1000,4000,4000,2000,1,1,3,1653524081,5,FAL,221028-125505.json,False,False,False,False
2,40964203,12.0,2,526332,4,築夢,116,205,1000,4000,4000,2000,1,1,3,1653543886,5,AN-94,221028-125505.json,False,False,False,False
2,40965213,13.0,2,929872,2,停止加载,84,104,4000,4000,1000,2000,1,1,3,1653558342,5,G36C,221028-125505.json,False,False,False,False
3,42069476,,2,977903,4,だめだ,41,213,4000,4000,1000,2000,1,1,3,1653577644,5,C-MS,230123-000447.json,False,False,False,False
2,40971005,14.0,2,606762,2,小灰兔兔,68,125,8000,8000,1000,4000,1,1,3,1653639766,5,MG4,221028-125505.json,False,False,False,False
2,40978961,15.0,2,962632,4,高处不胜寒,73,28,4000,4000,1000,2000,1,1,3,1653736246,5,MP7,221028-125505.json,False,False,False,False
2,40994365,16.0,2,21502,4,海軍智將,125,206,4000,4000,4000,2000,2,20,5,1653963650,5,AK-12,221028-125505.json,False,False,False,False
2,41000513,17.0,2,130372,4,JohnTaylor,143,28,4000,4000,1000,2000,1,1,3,1654056853,5,MP7,221028-125505.json,False,False,False,False
2,41006701,18.0,2,979002,2,諾諾o,60,306,1000,4000,4000,2000,1,1,3,1654155132,5,AK-Alfa,221028-125505.json,False,False,False,False
2,41012173,19.0,2,38762,8,Galdisom,161,28,6000,6000,6000,4000,1,1,3,1654234196,5,MP7,221028-125505.json,False,False,False,False
2,41013522,20.0,2,285852,2,楓草貓,168,213,4000,4000,4000,2000,1,1,3,1654254812,5,C-MS,221028-125505.json,False,False,False,False
2,41014040,21.0,2,489832,6,上田百合子,155,104,4000,4000,4000,4000,1,1,3,1654261833,5,G36C,221028-125505.json,False,False,False,False
2,41015581,22.0,2,399732,2,神無雪月,184,28,4000,4000,4000,2000,1,1,3,1654275837,5,MP7,221028-125505.json,False,False,False,False
1,41745629,,2,373391,2,夏夕夏靜,188,205,1000,4000,4000,2000,1,1,3,1654358508,5,AN-94,230123-000447.json,False,False,False,False
2,41022210,23.0,2,74492,6,綾瀨夜空,118,106,6000,6000,6000,4000,3,50,10,1654367624,5,FAL,221028-125505.json,False,False,False,False
2,41029324,24.0,2,937052,4,瓶装葡萄汁,71,306,4000,4000,4000,2000,1,1,3,1654481008,5,AK-Alfa,221028-125505.json,False,False,False,False
2,41030122,25.0,2,971712,2,罗振东,82,129,1000,4000,4000,2000,1,1,3,1654491715,5,95式,221028-125505.json,False,False,False,False
2,41035067,26.0,2,597042,2,泓也,165,125,8000,8000,1000,4000,3,50,10,1654560078,5,MG4,221028-125505.json,False,False,False,False
8,41617045,,2,485068,6,SnowPM,165,245,8000,8500,8000,6500,3,50,10,1654570765,5,P90,230123-000447.json,False,False,False,False
2,41037870,27.0,2,276042,6,observer,178,205,1000,4000,4000,2000,2,20,5,1654601165,5,AN-94,221028-125505.json,False,False,False,False
1,41769321,,2,381551,2,忒斯,82,205,4000,4000,4000,2000,1,1,3,1654681964,5,AN-94,230123-000447.json,False,False,False,False
2,41048029,28.0,2,942042,8,蔻芭雅喜,122,293,1000,4000,4000,2000,3,50,10,1654740379,5,AK-15,221028-125505.json,False,False,False,False
2,41049914,29.0,2,161082,2,Hinn,115,206,1000,4000,4000,2000,2,20,5,1654766050,5,AK-12,221028-125505.json,False,False,False,False
2,41051449,30.0,2,257332,4,小鳥游六花,205,290,6000,6000,6000,4000,2,20,5,1654784959,5,89式自,221028-125505.json,False,False,False,False
2,41053056,31.0,2,431652,2,普通军官,135,181,6000,6000,6000,4000,2,20,5,1654792050,5,T91,221028-125505.json,False,False,False,False
2,41055106,32.0,2,388322,2,死宅噴毛,94,293,1000,4000,4000,2000,1,1,3,1654830124,5,AK-15,221028-125505.json,False,False,False,False
